,fold,sampler,pvalue,loss
0,ind,ClassOrderSampler,0.0,62.432823
0,ind,ClassOrderSampler,0.0,57.835114
0,ind,ClassOrderSampler,0.0,105.09043
0,ind,ClassOrderSampler,0.0,160.35535
0,ind,ClassOrderSampler,0.0,157.21407
0,ind,ClassOrderSampler,0.0,240.3457
0,ind,ClassOrderSampler,0.0,48.726982
0,ind,ClassOrderSampler,0.0,61.09923
0,ind,ClassOrderSampler,0.019999999552965164,72.52617
0,ind,ClassOrderSampler,0.0,61.501305
0,ind,ClassOrderSampler,0.0,125.69311
0,ind,ClassOrderSampler,0.0,72.87348
0,ind,ClassOrderSampler,0.0,67.11075
0,ind,ClassOrderSampler,0.0,77.82728
0,ind,ClassOrderSampler,0.0,54.489044
0,ind,ClassOrderSampler,0.019999999552965164,321.20178
0,ind,ClassOrderSampler,0.0,323.76062
0,ind,ClassOrderSampler,0.0,71.79268
0,ind,ClassOrderSampler,0.009999999776482582,72.767654
0,ind,ClassOrderSampler,0.0,72.67645
0,ind,ClassOrderSampler,0.14000000059604645,64.97827
0,ind,ClassOrderSampler,0.0,70.493515
0,ind,ClassOrderSampler,0.009999999776482582,75.505104
0,ind,ClassOrderSampler,0.029999999329447746,62.203114
1,ind,ClusterSampler,0.0,61.31346
1,ind,ClusterSampler,0.0,65.87871
1,ind,ClusterSampler,0.0,47.420944
1,ind,ClusterSampler,0.009999999776482582,58.25316
1,ind,ClusterSampler,0.0,57.361225
1,ind,ClusterSampler,0.0,56.275917
1,ind,ClusterSampler,0.0,54.35824
1,ind,ClusterSampler,0.0,49.642624
1,ind,ClusterSampler,0.0,50.10149
1,ind,ClusterSampler,0.0,47.669716
1,ind,ClusterSampler,0.0,50.089718
1,ind,ClusterSampler,0.0,53.52061
1,ind,ClusterSampler,0.0,45.28915
1,ind,ClusterSampler,0.0,61.209686
1,ind,ClusterSampler,0.0,90.4331
1,ind,ClusterSampler,0.0,353.95633
1,ind,ClusterSampler,0.0,62.733166
1,ind,ClusterSampler,0.0,259.16354
1,ind,ClusterSampler,0.0,342.75763
1,ind,ClusterSampler,0.0,206.28996
1,ind,ClusterSampler,0.0,306.8673
1,ind,ClusterSampler,0.0,59.14479
1,ind,ClusterSampler,0.0,50.503414
1,ind,ClusterSampler,0.0,45.822636
2,ind,RandomSampler,0.5699999928474426,180.56213
2,ind,RandomSampler,0.6200000047683716,107.970604
2,ind,RandomSampler,0.10999999940395355,144.88605
2,ind,RandomSampler,0.7599999904632568,70.4361
2,ind,RandomSampler,0.019999999552965164,77.91373
2,ind,RandomSampler,0.47999998927116394,98.23757
2,ind,RandomSampler,0.03999999910593033,135.48405
2,ind,RandomSampler,0.6399999856948853,156.92664
2,ind,RandomSampler,0.029999999329447746,96.786896
2,ind,RandomSampler,0.05000000074505806,91.17136
2,ind,RandomSampler,0.10999999940395355,86.664375
2,ind,RandomSampler,0.3499999940395355,61.672417
2,ind,RandomSampler,0.3700000047683716,147.87108
2,ind,RandomSampler,0.33000001311302185,75.48274
2,ind,RandomSampler,0.0,132.2685
2,ind,RandomSampler,0.8799999952316284,109.9368
2,ind,RandomSampler,0.09000000357627869,79.19943
2,ind,RandomSampler,0.3199999928474426,69.89445
2,ind,RandomSampler,0.12999999523162842,128.9017
2,ind,RandomSampler,0.009999999776482582,83.51605
2,ind,RandomSampler,0.05000000074505806,75.2268
2,ind,RandomSampler,0.6000000238418579,84.85954
2,ind,RandomSampler,0.07000000029802322,84.96834
2,ind,RandomSampler,0.4699999988079071,117.83583
3,dim,ClassOrderSampler,0.0,62.88635
3,dim,ClassOrderSampler,0.0,59.7794
3,dim,ClassOrderSampler,0.0,61.10974
3,dim,ClassOrderSampler,0.0,56.83597
3,dim,ClassOrderSampler,0.0,78.77048
3,dim,ClassOrderSampler,0.0,142.62547
3,dim,ClassOrderSampler,0.0,149.75777
3,dim,ClassOrderSampler,0.0,100.947845
3,dim,ClassOrderSampler,0.0,78.1007
3,dim,ClassOrderSampler,0.0,61.85774
3,dim,ClassOrderSampler,0.009999999776482582,53.522655
3,dim,ClassOrderSampler,0.009999999776482582,63.13402
3,dim,ClassOrderSampler,0.0,60.31341
3,dim,ClassOrderSampler,0.0,103.11124
3,dim,ClassOrderSampler,0.0,65.7574
3,dim,ClassOrderSampler,0.0,71.72635
3,dim,ClassOrderSampler,0.0,60.319046
3,dim,ClassOrderSampler,0.0,54.907784
3,dim,ClassOrderSampler,0.0,58.82043
3,dim,ClassOrderSampler,0.0,68.58047
3,dim,ClassOrderSampler,0.07000000029802322,73.20254
3,dim,ClassOrderSampler,0.0,68.90816
3,dim,ClassOrderSampler,0.009999999776482582,80.12044
3,dim,ClassOrderSampler,0.0,57.498276
3,dim,ClassOrderSampler,0.0,58.54006
3,dim,ClassOrderSampler,0.0,51.25828
3,dim,ClassOrderSampler,0.0,55.1024
3,dim,ClassOrderSampler,0.0,54.737747
3,dim,ClassOrderSampler,0.0,54.257057
3,dim,ClassOrderSampler,0.009999999776482582,56.866932
3,dim,ClassOrderSampler,0.0,54.940792
3,dim,ClassOrderSampler,0.0,57.124134
3,dim,ClassOrderSampler,0.0,67.778854
4,dim,ClusterSampler,0.0,56.270317
4,dim,ClusterSampler,0.0,62.135067
4,dim,ClusterSampler,0.0,53.513565
4,dim,ClusterSampler,0.0,48.1032
4,dim,ClusterSampler,0.0,50.973515
4,dim,ClusterSampler,0.0,49.08763
4,dim,ClusterSampler,0.0,54.62631
4,dim,ClusterSampler,0.0,53.483532
4,dim,ClusterSampler,0.0,49.985126
4,dim,ClusterSampler,0.0,46.391075
4,dim,ClusterSampler,0.0,53.05047
4,dim,ClusterSampler,0.0,47.92322
4,dim,ClusterSampler,0.0,53.563564
4,dim,ClusterSampler,0.0,47.368755
4,dim,ClusterSampler,0.0,54.08552
4,dim,ClusterSampler,0.0,56.91676
4,dim,ClusterSampler,0.0,163.49023
4,dim,ClusterSampler,0.0,61.44357
4,dim,ClusterSampler,0.0,114.35296
4,dim,ClusterSampler,0.0,50.699165
4,dim,ClusterSampler,0.0,57.733055
4,dim,ClusterSampler,0.0,62.87528
4,dim,ClusterSampler,0.0,55.109398
4,dim,ClusterSampler,0.0,49.59874
4,dim,ClusterSampler,0.0,71.77
4,dim,ClusterSampler,0.0,152.81595
4,dim,ClusterSampler,0.0,43.091095
4,dim,ClusterSampler,0.0,77.8344
4,dim,ClusterSampler,0.0,76.38394
4,dim,ClusterSampler,0.0,87.0128
4,dim,ClusterSampler,0.0,44.473927
4,dim,ClusterSampler,0.0,82.041405
4,dim,ClusterSampler,0.0,196.33356
5,dim,RandomSampler,0.05999999865889549,51.846146
5,dim,RandomSampler,0.0,65.60061
5,dim,RandomSampler,0.0,57.472836
5,dim,RandomSampler,0.0,63.880547
5,dim,RandomSampler,0.009999999776482582,70.07895
5,dim,RandomSampler,0.15000000596046448,74.83791
5,dim,RandomSampler,0.0,89.561775
5,dim,RandomSampler,0.019999999552965164,62.29919
5,dim,RandomSampler,0.0,70.35024
5,dim,RandomSampler,0.0,65.603195
5,dim,RandomSampler,0.0,88.55423
5,dim,RandomSampler,0.019999999552965164,60.726284
5,dim,RandomSampler,0.0,59.12095
5,dim,RandomSampler,0.23000000417232513,60.331806
5,dim,RandomSampler,0.0,63.663864
5,dim,RandomSampler,0.25999999046325684,68.140015
5,dim,RandomSampler,0.03999999910593033,66.97929
5,dim,RandomSampler,0.0,81.89597
5,dim,RandomSampler,0.0,71.29342
5,dim,RandomSampler,0.029999999329447746,90.65898
5,dim,RandomSampler,0.0,86.4982
5,dim,RandomSampler,0.0,66.47067
5,dim,RandomSampler,0.009999999776482582,75.710945
5,dim,RandomSampler,0.0,83.48491
5,dim,RandomSampler,0.15000000596046448,59.09853
5,dim,RandomSampler,0.0,69.10842
5,dim,RandomSampler,0.0,65.62349
5,dim,RandomSampler,0.0,66.913445
5,dim,RandomSampler,0.0,74.9588
5,dim,RandomSampler,0.0,65.12328
5,dim,RandomSampler,0.0,56.776573
5,dim,RandomSampler,0.0,72.15269
5,dim,RandomSampler,0.0,70.994026
