,fold,sampler,pvalue,loss
0,ind,ClusterSampler,0.25129999999999997,0.0
0,ind,ClusterSampler,0.3823,0.0
0,ind,ClusterSampler,0.36129999999999995,0.0
0,ind,ClusterSampler,0.3942,0.0
0,ind,ClusterSampler,0.36539999999999995,0.0
0,ind,ClusterSampler,0.38029999999999997,0.0
0,ind,ClusterSampler,0.355,0.0
0,ind,ClusterSampler,0.33409999999999995,0.0
0,ind,ClusterSampler,0.2942,0.0
0,ind,ClusterSampler,0.2702,0.0
0,ind,ClusterSampler,0.2548,0.0
0,ind,ClusterSampler,0.24680000000000002,0.0
0,ind,ClusterSampler,0.23550000000000004,0.0
0,ind,ClusterSampler,0.24409999999999998,0.0
0,ind,ClusterSampler,0.3982,0.0
0,ind,ClusterSampler,0.36050000000000004,0.0
0,ind,ClusterSampler,0.604,0.0
0,ind,ClusterSampler,0.9998,0.0
0,ind,ClusterSampler,0.4931,0.0
0,ind,ClusterSampler,0.5201,0.0
0,ind,ClusterSampler,0.5847,0.0
0,ind,ClusterSampler,0.5102,0.0
0,ind,ClusterSampler,0.5313,0.0
0,ind,ClusterSampler,0.8285,0.0
0,ind,ClusterSampler,0.5659000000000001,0.0
0,ind,ClusterSampler,0.5378000000000001,0.0
0,ind,ClusterSampler,0.5509999999999999,0.0
0,ind,ClusterSampler,0.5085,0.0
0,ind,ClusterSampler,0.4022,0.0
0,ind,ClusterSampler,0.14070000000000005,0.0
0,ind,ClusterSampler,0.16069999999999995,0.0
0,ind,ClusterSampler,0.15969999999999995,0.0
0,ind,ClusterSampler,0.16449999999999998,0.0
0,ind,ClusterSampler,0.17710000000000004,0.0
0,ind,ClusterSampler,0.1855,0.0
0,ind,ClusterSampler,0.18059999999999998,0.0
0,ind,ClusterSampler,0.16449999999999998,0.0
0,ind,ClusterSampler,0.047699999999999965,0.0
0,ind,ClusterSampler,0.02749999999999997,0.0
0,ind,ClusterSampler,0.02969999999999995,0.0
0,ind,ClusterSampler,0.024700000000000055,0.0
0,ind,ClusterSampler,0.030200000000000005,0.0
0,ind,ClusterSampler,0.031399999999999983,0.0
0,ind,ClusterSampler,0.029200000000000004,0.0
0,ind,ClusterSampler,0.030399999999999983,0.0
0,ind,ClusterSampler,0.03059999999999996,0.0
0,ind,ClusterSampler,0.03390000000000004,0.0
0,ind,ClusterSampler,0.030000000000000027,0.0
0,ind,ClusterSampler,0.02939999999999998,0.0
0,ind,ClusterSampler,0.034499999999999975,0.0
0,ind,ClusterSampler,0.035699999999999954,0.0
0,ind,ClusterSampler,0.03620000000000001,0.0
0,ind,ClusterSampler,0.02290000000000003,0.0
0,ind,ClusterSampler,1.0,0.0
