,fold,sampler,pvalue,loss
0,ind,ClassOrderSampler,0.9979,[     5.6262     0.30052      1.1324      14.699       2.813      4.4329      6.6768      4.2156     0.20216      8.4006     0.56691    0.010482    0.016257       2.571     0.18634     0.25599      7.2978       2.383      8.7849    0.019099]
0,ind,ClassOrderSampler,0.9485,[     11.626      4.0194      10.436      5.3806      1.6943    0.082903      2.7026     0.81462      5.7945       12.01    0.034696      11.607      1.8991      5.4834      7.1535     0.72365    0.026372      3.5358      10.574      7.9709]
0,ind,ClassOrderSampler,0.6676,[      1.826      1.0284      8.5096      4.5213        12.6      7.9133      4.8846      3.0375      8.7521      4.5638      3.1484      1.0635      10.624      3.1321      9.7623      7.5436      10.068      5.9199     0.37236     0.19251]
0,ind,ClassOrderSampler,0.9856,[     4.0771      5.3989       9.763      14.205      11.647      5.7598     0.51724      9.3621      4.8889      11.328       9.064      5.0333      2.7809      4.3007      3.7633      1.5018     0.18203      12.486      7.9112      4.5397]
0,ind,ClassOrderSampler,0.7354,[     1.1009      5.6228      4.8353      2.9174     0.95994      1.4759      5.3988      6.0179      6.9765      6.1208      4.3498      2.8964      4.3089    0.007364      7.7797     0.72957      3.7275     0.96402        3.42      2.6913]
0,ind,ClassOrderSampler,0.17090000000000005,[     2.7662      3.6652     0.44796      2.5864     0.07495    0.067075     0.18739      2.5233     0.10446      7.0423     0.76562       7.315      2.0222      0.4165      6.4206     0.77396    0.013587     0.42067     0.61783      9.7331]
0,ind,ClassOrderSampler,0.6255999999999999,[   0.002799      4.0849     0.14107      3.4439     0.83489      1.4113      5.4733   0.0033314      2.2822      7.1843      4.1308     0.79352      6.6177      3.2657    0.071874      6.7046      6.0461     0.23828      3.8128      3.0583]
0,ind,ClassOrderSampler,0.06710000000000005,[    0.61658       4.025      1.5372      8.5458      7.6012      2.6245      8.4707      3.2111      2.6726     0.61938       4.949      1.2158       0.592      2.0453      3.0839      13.796      8.1542      15.341      5.4935      14.832]
0,ind,ClassOrderSampler,0.3701,[     5.8515      5.6153   0.0035537      4.1432       5.065      12.029       11.57      6.5654      9.3955      5.0664      11.936       11.31      10.301      4.0543      8.1509       11.81      9.6516      11.716      1.8101      18.343]
0,ind,ClassOrderSampler,0.13890000000000002,[     3.1755      12.565       9.622      10.321      8.3687      10.056       5.366      10.464      9.5847     0.30291      2.3602      10.368      9.8223      4.6653       2.898      4.8136      9.4392      6.5551      8.3555      11.912]
0,ind,ClassOrderSampler,0.357,[     12.817      20.108      15.544      12.349       6.454      6.1425      6.3593        5.41      11.757      13.436      16.969      10.225      12.587      15.187      11.516      8.9876      4.2675      11.146      11.787      19.839]
0,ind,ClassOrderSampler,0.7665,[     11.062      11.352      7.8775       9.066      9.8744      8.4766      10.612      10.254      8.8599       13.09      11.569      18.913      17.005      5.0006      7.7073       12.26      12.932      15.192      14.409      13.827]
0,ind,ClassOrderSampler,0.44889999999999997,[     10.997      17.244      13.764      5.8563      15.385      10.971      15.201      5.3697       4.845      15.555      17.433      12.939      13.336      9.4048    0.068093    0.018638    0.082657      7.3976     0.91983      4.4215]
0,ind,ClassOrderSampler,0.377,[     3.5082     0.71303      13.576      1.9773     0.67328      3.8391    0.042834     0.61585      1.9175      7.4591     0.55904       1.621      7.5726   0.0087206   0.0017637      10.339    0.067873     0.28186      14.463        14.7]
