,fold,sampler,pvalue,loss
0,ind,ClusterSampler,4.001979294303253e-09,[   0.061231    0.036666    0.026859     0.73639    0.026859    0.017899    0.022432    0.020351     0.27677     0.16255]
0,ind,ClusterSampler,5.1026564257867e-16,[    0.10343     0.33999     0.59505     0.21091     0.18595     0.16134     0.11931     0.06232     0.11816     0.18136]
0,ind,ClusterSampler,1.1214843237368899e-14,[    0.47746     0.31641     0.17113     0.16349     0.37073      0.0195    0.020591    0.024608    0.024634    0.026072]
0,ind,ClusterSampler,1.059161258976861e-12,[   0.023751    0.021796    0.068916      0.0526     0.05835     0.19984    0.066287    0.062771    0.081761     0.18887]
0,ind,ClusterSampler,6.895481035254005e-24,[    0.99743           1     0.17878    0.088869     0.07476    0.081613    0.092259     0.10555     0.10619     0.17456]
0,ind,ClusterSampler,4.678375203388518e-19,[   0.029404    0.020688    0.026117    0.019343    0.020668    0.020568    0.016259    0.017753    0.026543    0.018747]
0,ind,ClusterSampler,3.4674679144614824e-15,[    0.21878     0.22113     0.50764     0.31326     0.22067    0.026543     0.13504     0.30667    0.034873    0.024228]
0,ind,ClusterSampler,8.334847916245164e-16,[   0.020883    0.042861    0.031703    0.025276    0.025276           1     0.47944     0.11088      0.1299           1]
0,ind,ClusterSampler,2.473517393740632e-15,[   0.087904    0.057999    0.068747    0.075399    0.083337    0.045452    0.082675     0.24513     0.75709     0.53685]
0,ind,ClusterSampler,5.208056459827195e-15,[    0.15613    0.051581     0.16171     0.34276     0.87761     0.15537     0.24534     0.36485     0.13922     0.10393]
0,ind,ClusterSampler,6.961060689099834e-19,[    0.12664     0.23691     0.18528     0.34326      0.6892     0.33908     0.21943     0.31314     0.57836     0.94495]
0,ind,ClusterSampler,3.213435174695778e-13,[    0.48826     0.52611     0.01607     0.18662     0.50757     0.10393     0.84881     0.31776     0.33338     0.94495]
0,ind,ClusterSampler,1.1183672538210286e-16,[    0.87406     0.64128     0.15471     0.13036    0.076132     0.11957     0.13429     0.10568      0.1069    0.068629]
