,fold,sampler,pvalue,loss
0,ind,ClusterSampler,1.0825088224469026e-05,[    0.21587      0.3366     0.50933      0.3684     0.25759     0.12725     0.28043    0.020591    0.023751    0.017027]
0,ind,ClusterSampler,1.0825088224469026e-05,[   0.021796    0.068916      0.0526     0.05835    0.097233     0.09584    0.095804    0.023751    0.094718    0.016358]
0,ind,ClusterSampler,1.0825088224469026e-05,[    0.14521    0.065888    0.044197    0.051956     0.10084    0.061765    0.046702    0.052991    0.057881    0.066287]
0,ind,ClusterSampler,1.0825088224469026e-05,[   0.081761    0.047252    0.054875    0.031703    0.025276     0.17707     0.18887     0.16736      0.2362     0.11133]
0,ind,ClusterSampler,1.0825088224469026e-05,[    0.20482    0.065162     0.16934     0.17569    0.016798    0.018651    0.014924    0.012747    0.012995    0.015849]
0,ind,ClusterSampler,1.0825088224469026e-05,[   0.024295    0.019635    0.016702    0.011742    0.014936       0.173     0.20817     0.17973     0.42993     0.59842]
0,ind,ClusterSampler,1.0825088224469026e-05,[   0.095951    0.029404    0.020688    0.026117    0.019343    0.020668    0.021773    0.035859    0.016259    0.017753]
0,ind,ClusterSampler,0.00021650176448938054,[   0.040017    0.026543     0.31034     0.51551     0.33808     0.14186    0.067472    0.025835    0.075737    0.097521]
0,ind,ClusterSampler,1.0825088224469026e-05,[   0.014936     0.66231     0.61213     0.60335     0.69945     0.64122       0.594     0.25764     0.53691     0.17213]
0,ind,ClusterSampler,0.00021650176448938054,[    0.64779     0.60659     0.50855     0.60145     0.34763     0.45879           1    0.018673    0.019248    0.016183]
0,ind,ClusterSampler,1.0825088224469026e-05,[   0.033018    0.028525    0.032861    0.024464    0.020604    0.020629    0.019426    0.021567    0.023048    0.021518]
0,ind,ClusterSampler,0.00021650176448938054,[   0.018248    0.017954    0.026576     0.53055     0.31862      0.3732     0.67573    0.019248    0.032336    0.020604]
0,ind,ClusterSampler,1.0825088224469026e-05,[    0.16045    0.021518    0.091043    0.013308    0.023113    0.027492    0.038745     0.35328     0.15503     0.17206]
0,ind,ClusterSampler,0.00021650176448938054,[     0.6783           1    0.013308     0.82062     0.34832     0.44273     0.55633    0.066287     0.17756     0.14007]
0,ind,ClusterSampler,0.00021650176448938054,[    0.18499    0.060365     0.10949    0.054875           1     0.10876     0.05191    0.041814    0.087839    0.046781]
0,ind,ClusterSampler,1.0825088224469026e-05,[   0.040947    0.039696    0.037786    0.032465    0.047133    0.052499    0.092223    0.045294    0.034682    0.042436]
0,ind,ClusterSampler,1.0825088224469026e-05,[   0.027178     0.17765     0.12091     0.16033     0.13793     0.39122    0.086163           1    0.017899    0.022432]
0,ind,ClusterSampler,1.0825088224469026e-05,[   0.020351     0.27677     0.16255     0.10343     0.33999     0.59505     0.21091     0.18595     0.16134     0.11931]
0,ind,ClusterSampler,1.0825088224469026e-05,[    0.06232     0.11816     0.18136     0.47746     0.31641     0.17113     0.16349     0.37073     0.39236     0.33854]
0,ind,ClusterSampler,1.0825088224469026e-05,[      0.205     0.06673    0.071155    0.053882    0.032484    0.034537    0.017985     0.02373    0.018008    0.019376]
0,ind,ClusterSampler,1.0825088224469026e-05,[   0.032836    0.023184    0.030593    0.022575    0.031947    0.031658    0.023332    0.029825    0.029829    0.032306]
0,ind,ClusterSampler,1.0825088224469026e-05,[   0.020145     0.03374     0.41311    0.074902     0.11178     0.08129     0.12212     0.17641     0.12317     0.10584]
0,ind,ClusterSampler,1.0825088224469026e-05,[    0.10991    0.072567    0.067914    0.065501    0.078248    0.081608     0.12143     0.10423     0.10069    0.088962]
0,ind,ClusterSampler,1.0825088224469026e-05,[   0.088457    0.067534    0.072637     0.10544    0.062226    0.080339    0.070036     0.12666    0.094767     0.13783]
0,ind,ClusterSampler,1.0825088224469026e-05,[   0.094887    0.052603     0.23754     0.05287    0.084251    0.066476    0.065971    0.031539     0.10833     0.19774]
0,ind,ClusterSampler,1.0825088224469026e-05,[    0.14991     0.14526     0.15775     0.14768    0.051015    0.072986    0.059111    0.062409     0.19235     0.11635]
0,ind,ClusterSampler,1.0825088224469026e-05,[   0.061792     0.48706    0.077522     0.11017    0.048069     0.13924    0.055178     0.10407    0.079085     0.08034]
0,ind,ClusterSampler,1.0825088224469026e-05,[   0.099309     0.11129    0.079222    0.087358     0.10422    0.064985    0.070912    0.061854    0.064562     0.57478]
0,ind,ClusterSampler,1.0825088224469026e-05,[    0.63323    0.070476    0.043505    0.026862    0.020506    0.027372    0.051639    0.026605    0.036069    0.028897]
0,ind,ClusterSampler,1.0825088224469026e-05,[   0.025316    0.038619    0.018941    0.021614    0.040135    0.033324    0.030917     0.02975    0.026741    0.031225]
0,ind,ClusterSampler,1.0825088224469026e-05,[          1      0.1972    0.091531    0.046072     0.02975    0.097536     0.64781     0.70046     0.83544     0.73457]
