,fold,sampler,pvalue,loss
0,ind,ClusterSampler,0.0006178973521373264,[   0.094767    0.032484     0.12926     0.10823    0.068151    0.048015     0.31057     0.24945     0.64183     0.33326]
0,ind,ClusterSampler,2.6553827466604668e-08,[    0.18311     0.27997     0.12973    0.091928     0.15712     0.16708     0.47537      0.4974     0.48302     0.52448]
0,ind,ClusterSampler,0.00035640144010714247,[    0.50581     0.55809    0.059717      0.0526     0.72134     0.99999     0.26166     0.08939      0.2588     0.64279]
0,ind,ClusterSampler,0.006806179435775496,[    0.13249     0.53873     0.96887      0.2675     0.82062      0.4711     0.42908     0.17839     0.02752    0.047933]
0,ind,ClusterSampler,0.0017252080065113414,[    0.19843    0.071921    0.086238           1     0.10082    0.094322    0.013855    0.024295    0.019635    0.019464]
0,ind,ClusterSampler,2.9797081712253577e-05,[   0.016571     0.11989     0.14245    0.043724     0.27677     0.59505     0.21091     0.18595     0.59842      0.1267]
0,ind,ClusterSampler,0.00020037382917069028,[   0.012853    0.012403     0.69501           1           1     0.82051           1     0.15749     0.12322    0.061903]
0,ind,ClusterSampler,0.15199631923056828,[   0.058149     0.13702      0.4438    0.020404    0.092765     0.13352     0.14363    0.093369    0.065815     0.14123]
0,ind,ClusterSampler,0.015364482537903207,[   0.040957    0.015849    0.026045    0.027292    0.051639     0.06227     0.10074     0.19565    0.024128     0.14137]
0,ind,ClusterSampler,0.04541899021115892,[   0.036666    0.031822    0.033948     0.35644    0.028263    0.072988     0.72046    0.083847     0.59504     0.64015]
0,ind,ClusterSampler,1.4058938542208932e-06,[    0.40035     0.59428    0.015195    0.013189    0.019248     0.01529    0.018747     0.19774     0.16537      0.1353]
0,ind,ClusterSampler,0.00035640144010714247,[    0.15827    0.083847       0.764     0.14673    0.062771    0.081761    0.028159    0.026805    0.029513    0.026394]
0,ind,ClusterSampler,5.809627289330904e-05,[   0.041662     0.26856     0.71852     0.13857     0.10844     0.23999     0.38373     0.45698     0.60318     0.36369]
0,ind,ClusterSampler,1.7508018109849231e-09,[    0.53187     0.37934     0.32082     0.82274     0.26289     0.43148     0.62545     0.13044           1     0.52685]
0,ind,ClusterSampler,2.9797081712253577e-05,[    0.42594      0.7849     0.62043           1    0.068747    0.018673     0.74966       0.261     0.44175           1]
0,ind,ClusterSampler,0.06297834565003745,[    0.07814     0.11056    0.054875    0.039547      0.1497     0.10449     0.17641     0.12317     0.14041     0.06723]
0,ind,ClusterSampler,2.6527300166438223e-11,[     0.0629    0.034868    0.014615     0.01397    0.013162    0.015291    0.013806     0.16134    0.037793    0.027496]
0,ind,ClusterSampler,2.6553827466604668e-08,[    0.34777     0.33728     0.37621     0.14728     0.18528     0.21666    0.040009     0.05719     0.06723     0.91165]
0,ind,ClusterSampler,0.010329637176077959,[   0.013162    0.079269    0.074207     0.46859     0.22956     0.37006           1     0.35216     0.11178      0.4139]
0,ind,ClusterSampler,0.015364482537903207,[     0.2884    0.078584    0.081903    0.022725    0.065568    0.032539    0.073991    0.048361    0.060365    0.047252]
0,ind,ClusterSampler,2.9797081712253577e-05,[   0.038319    0.033838    0.037851    0.033261    0.028432    0.045423      0.1152    0.068809     0.69419     0.27308]
0,ind,ClusterSampler,0.004396267459114668,[    0.39468     0.27719     0.12395       0.329    0.058744    0.027677    0.027589    0.025167    0.014523    0.019426]
0,ind,ClusterSampler,5.786399985305171e-07,[   0.011037    0.011082    0.035859    0.016259    0.012262    0.026543    0.021243    0.021958    0.019383    0.018029]
0,ind,ClusterSampler,0.004396267459114668,[    0.02113    0.016468    0.015925    0.016668     0.47113     0.11095     0.81223      0.7976     0.11857     0.42305]
0,ind,ClusterSampler,0.0006178973521373264,[    0.13617    0.016668    0.032825     0.04345     0.04391    0.033522     0.05634    0.046612    0.055055    0.031478]
0,ind,ClusterSampler,0.015364482537903207,[    0.03926    0.043786    0.016944    0.074377     0.61073     0.47597    0.051362     0.18859    0.031658     0.36831]
