,fold,sampler,pvalue,loss
0,ind,ClusterSampler,3.613100901976941e-18,[          0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0]
0,ind,ClusterSampler,6.788353033305671e-23,[          0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0]
0,ind,ClusterSampler,8.442096673203242e-13,[          0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0]
0,ind,ClusterSampler,6.788353033305671e-23,[          0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0]
0,ind,ClusterSampler,1.2022173221984342e-19,[          0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0]
0,ind,ClusterSampler,1.56810955069361e-20,[          0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0]
0,ind,ClusterSampler,3.613100901976941e-18,[          0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0]
0,ind,ClusterSampler,2.2995491593498684e-15,[          0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0]
0,ind,ClusterSampler,2.2060687862341267e-16,[          0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0]
0,ind,ClusterSampler,6.788353033305671e-23,[          0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0]
0,ind,ClusterSampler,6.788353033305671e-23,[          0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0]
0,ind,ClusterSampler,6.823568632918899e-15,[          0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0]
0,ind,ClusterSampler,6.788353033305671e-23,[          0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0]
0,ind,ClusterSampler,1.5756446225605784e-17,[          0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0]
0,ind,ClusterSampler,2.2995491593498684e-15,[          0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0]
0,ind,ClusterSampler,1.4255541369941909e-21,[          0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0]
0,ind,ClusterSampler,1.56810955069361e-20,[          0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0]
0,ind,ClusterSampler,3.613100901976941e-18,[          0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0]
0,ind,ClusterSampler,3.613100901976941e-18,[          0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0]
0,ind,ClusterSampler,6.823568632918899e-15,[          0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0]
0,ind,ClusterSampler,1.2022173221984342e-19,[          0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0]
0,ind,ClusterSampler,6.788353033305671e-23,[          0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0]
0,ind,ClusterSampler,1.5756446225605784e-17,[          0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0]
0,ind,ClusterSampler,2.2995491593498684e-15,[          0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0]
0,ind,ClusterSampler,1.56810955069361e-20,[          0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0]
0,ind,ClusterSampler,6.823568632918899e-15,[          0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0]
0,ind,ClusterSampler,6.160837678906893e-17,[          0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0]
0,ind,ClusterSampler,1.5756446225605784e-17,[          0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0]
0,ind,ClusterSampler,1.2022173221984342e-19,[          0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0]
0,ind,ClusterSampler,1.4255541369941909e-21,[          0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0]
1,ind,SequentialSampler,6.160837678906893e-17,[          0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0]
1,ind,SequentialSampler,1.4255541369941909e-21,[          0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0]
1,ind,SequentialSampler,1.4255541369941909e-21,[          0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0]
1,ind,SequentialSampler,3.613100901976941e-18,[          0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0]
1,ind,SequentialSampler,6.788353033305671e-23,[          0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0]
1,ind,SequentialSampler,1.2022173221984342e-19,[          0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0]
1,ind,SequentialSampler,7.213303933190605e-19,[          0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0]
1,ind,SequentialSampler,1.56810955069361e-20,[          0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0]
1,ind,SequentialSampler,1.5756446225605784e-17,[          0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0]
1,ind,SequentialSampler,6.788353033305671e-23,[          0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0]
1,ind,SequentialSampler,2.2060687862341267e-16,[          0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0]
1,ind,SequentialSampler,7.345547838632435e-16,[          0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0]
1,ind,SequentialSampler,3.613100901976941e-18,[          0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0]
1,ind,SequentialSampler,1.5756446225605784e-17,[          0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0]
1,ind,SequentialSampler,6.788353033305671e-23,[          0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0]
1,ind,SequentialSampler,6.788353033305671e-23,[          0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0]
1,ind,SequentialSampler,1.56810955069361e-20,[          0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0]
1,ind,SequentialSampler,6.788353033305671e-23,[          0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0]
1,ind,SequentialSampler,6.788353033305671e-23,[          0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0]
1,ind,SequentialSampler,1.4255541369941909e-21,[          0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0]
1,ind,SequentialSampler,3.613100901976941e-18,[          0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0]
1,ind,SequentialSampler,6.788353033305671e-23,[          0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0]
1,ind,SequentialSampler,1.4255541369941909e-21,[          0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0]
1,ind,SequentialSampler,1.5756446225605784e-17,[          0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0]
1,ind,SequentialSampler,3.613100901976941e-18,[          0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0]
1,ind,SequentialSampler,3.613100901976941e-18,[          0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0]
1,ind,SequentialSampler,2.2995491593498684e-15,[          0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0]
1,ind,SequentialSampler,1.5756446225605784e-17,[          0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0]
1,ind,SequentialSampler,6.788353033305671e-23,[          0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0]
1,ind,SequentialSampler,5.2404914765639164e-14,[          0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0]
2,ind,RandomSampler,1.931333141844332e-14,[          0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0]
2,ind,RandomSampler,2.2995491593498684e-15,[          0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0]
2,ind,RandomSampler,2.0037182622536994e-12,[          0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0]
2,ind,RandomSampler,6.823568632918899e-15,[          0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0]
2,ind,RandomSampler,1.1245396252925662e-08,[          0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0]
2,ind,RandomSampler,8.442096673203242e-13,[          0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0]
2,ind,RandomSampler,4.921800698157904e-11,[          0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0]
2,ind,RandomSampler,1.0418627151176967e-11,[          0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0]
2,ind,RandomSampler,7.345547838632435e-16,[          0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0]
2,ind,RandomSampler,2.0037182622536994e-12,[          0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0]
2,ind,RandomSampler,7.213303933190605e-19,[          0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0]
2,ind,RandomSampler,7.345547838632435e-16,[          0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0]
2,ind,RandomSampler,1.3688577479706685e-13,[          0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0]
2,ind,RandomSampler,3.453865062349671e-13,[          0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0]
2,ind,RandomSampler,1.0354212020398027e-10,[          0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0]
2,ind,RandomSampler,7.345547838632435e-16,[          0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0]
2,ind,RandomSampler,4.627671008798158e-12,[          0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0]
2,ind,RandomSampler,8.442096673203242e-13,[          0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0]
2,ind,RandomSampler,5.2404914765639164e-14,[          0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0]
2,ind,RandomSampler,8.442096673203242e-13,[          0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0]
2,ind,RandomSampler,5.2404914765639164e-14,[          0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0]
2,ind,RandomSampler,1.6718533168408267e-09,[          0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0]
2,ind,RandomSampler,8.442096673203242e-13,[          0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0]
2,ind,RandomSampler,4.627671008798158e-12,[          0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0]
2,ind,RandomSampler,6.823568632918899e-15,[          0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0]
2,ind,RandomSampler,2.2060687862341267e-16,[          0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0]
2,ind,RandomSampler,2.2995491593498684e-15,[          0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0]
2,ind,RandomSampler,1.931333141844332e-14,[          0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0]
2,ind,RandomSampler,8.442096673203242e-13,[          0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0]
2,ind,RandomSampler,2.2995491593498684e-15,[          0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0]
3,ood,ClusterSampler,6.788353033305671e-23,[          0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0]
3,ood,ClusterSampler,1.931333141844332e-14,[          0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0]
3,ood,ClusterSampler,6.160837678906893e-17,[          0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0]
