,fold,sampler,pvalue,loss
0,ind,ClassOrderSampler,0.9924,"[     1.2177    0.015158     0.13672      1.2249       1.384      4.1269      5.7053   0.0019747      3.1788      2.3071      0.0003      0.1518      4.3913     0.50349      1.7487   0.0034276   0.0046319  0.00041369       7.559     0.94761     0.26681      1.8322  3.7431e-05      8.4303      1.8264     0.47229
      4.7293  0.00021062      9.6822  0.00040726      10.411   0.0070935     0.02861    0.021115       5.445   0.0041176      5.9643  8.3085e-05     0.68906      3.9234      0.8038     0.34209  0.00027402      4.8288     0.19983      0.3908  3.0994e-06    0.024085     0.75826      9.8094  0.00043204      3.2576
        8.09    0.092788  3.3379e-06   1.061e-05      0.3984     0.19472      6.5205    0.036286    0.056552  0.00040988   0.0097473      1.7056      8.9754      2.3577   0.0059806     0.70028     0.79233      4.1552      4.9969      0.7141      3.5241      5.2059      3.3476      4.3441   0.0017112      2.1501
       2.855      6.1711      6.0234      0.1997    0.019852        3.62      6.8216      1.3225      1.5458    0.069954  7.6294e-06  4.7684e-07     0.94895      1.0243      7.0213     0.53453   0.0094862      6.0389      1.3611  4.8636e-05      3.0556    0.025099]"
0,ind,ClassOrderSampler,0.9822,"[   0.016426      2.9093   0.0015772      3.1604     0.79415  7.2596e-05      7.5518     0.79858     0.23273      1.9219       5.547      1.3787     0.15823      5.3979       2.691      1.3168    0.040241     0.14172     0.03315       4.328     0.99241  5.8292e-05     0.65409      2.9855       1.671  0.00013279
     0.10641      8.2461    0.060463       2.086  4.2199e-05      3.1901      3.1513    0.065907  3.3736e-05   0.0039127  0.00016914       3.915      5.2223      6.7646    0.037501     0.37262      5.6176     0.60847    0.031261       7.882      7.4345    0.013691     0.84489    0.080595      1.1003       8.615
  0.00016056  0.00026616    0.036942    0.015857   0.0014264     0.31163   0.0024762     0.16178     0.67481      1.2754      0.9524   0.0072656       3.012      4.2586     0.42219     0.22634      3.9057  3.6597e-05      4.2334        0.02      1.4729  2.7656e-05      4.8629    0.053741     0.11997       7.316
      5.9068   0.0042986    0.046491     0.49367      4.6866     0.31885      3.8132      5.3613      7.3195      1.5518   0.0017463     0.87739     0.55597   0.0067735      7.6151    0.002499   0.0073679  0.00015568     0.24516  1.3709e-05     0.53368       6.697]"
0,ind,ClassOrderSampler,0.9798,"[ 0.00047077      1.1238    0.012649    0.072202     0.39617     0.42958     0.33572   0.0062648        1.82     0.25589      4.5807    0.050683  0.00011896      4.7069      1.3043     0.86064      3.4292  1.7762e-05     0.31137      1.0208       3.672      8.8006      2.8237    0.072438    0.010724       8.774
      4.9734    0.042448      4.3118      3.4556    0.010315     0.17436      1.1068  3.8742e-05   0.0041609      4.1105    0.044475    0.030073      2.1548    0.011601      2.0144    0.014878       1.332      3.9214      3.6019      5.7508      4.3931     0.89793     0.11049      1.5983  2.3842e-06     0.38153
   0.0022113   0.0021125     0.92076      2.5948      3.9949   0.0079448      3.9684    0.013441     0.20294   2.861e-06    0.070793  0.00046695    0.025894     0.93923   0.0075733      2.6117      2.7193  0.00052772      4.9826    0.067638      6.2434     0.43823      3.9427     0.13132      7.0971      2.3875
     0.81034      4.0031      4.6652      4.2683     0.17511      3.5879  0.00010097      3.9051    0.065096      4.4438      4.3113      2.0477     0.37138       5.585      5.9809     0.82331  0.00033123      3.6962      3.0946   0.0033038      5.3504      2.4248]"
0,ind,ClassOrderSampler,1.0,"[    0.44477      6.1505   0.0040501      4.1946  0.00089891      3.2672     0.94057  6.6278e-05     0.26121  0.00066723  0.00040463   0.0003901  2.6226e-06      4.4366      3.8727     0.55208      3.1511      3.8178      3.3951      4.2706      2.8869     0.90523      1.2516    0.013869      4.5097      1.6611
      5.3449     0.73131    0.039062   0.0017823   6.008e-05   0.0073806       4.242      6.3465      7.9473      4.2163      1.5935     0.58026  2.6822e-05  0.00010108  3.0756e-05      6.8697     0.47265     0.31211     0.26415      5.7754      3.5362      1.0126      1.5285      1.1217   0.0015354      2.1549
      4.4591    0.010131      4.2677      5.2508  0.00024828      2.0185       4.899       3.917      3.5404   0.0013765      4.0156       6.109  0.00021634      5.9054      1.5491    0.019391      2.9054      2.8882     0.16319      5.1327    0.011338      10.369  0.00047053   0.0032962      1.1413   0.0074878
    0.027935   0.0018627   0.0024036      6.2281      3.6559      1.3711      3.5568   0.0049007   0.0017043     0.25808     0.42407      1.1153      1.7635      3.5042      5.8863      4.1367     0.16388   0.0019124      1.7583   5.257e-05    0.075224      6.2671]"
0,ind,ClassOrderSampler,0.9762,"[     2.2892     0.13097      6.7204       1.086      1.2991  3.5763e-06      1.7739  2.6106e-05      5.8722     0.12567       5.958      5.4534      6.7483       1.063      4.7062  7.5102e-06        6.03  0.00011193  0.00089832      2.1127  0.00057359  0.00095584    0.040803      2.2883    0.011503  0.00048232
      1.3604     0.65115      2.5762  7.1526e-07      3.7016  0.00011682      5.0035     0.79829      4.6602      1.9936   0.0020626     0.72135  6.0795e-05    0.013735      5.7009  8.9165e-05      4.9463    0.001181      2.7129      3.7005  3.2782e-05      2.6376       12.44      4.9121      1.2979     0.24342
      3.2968      3.0736      2.4073    0.089106         3.5     0.23955     0.24513  1.1921e-07  3.6955e-06   0.0017489      1.1165      3.6623      7.9788    0.018781      2.7169     0.75488  0.00014817      3.5099  0.00034255      6.3689      6.4667     0.12482     0.59624     0.41192      1.3827      1.0572
   0.0020217       0.634      6.5677     0.51569   6.306e-05   0.0010023  0.00076479  0.00036924     0.21127   0.0022899     0.22685      5.3078       5.671  2.3246e-05    0.056466      1.8334   0.0022198    0.083802     0.10348       3.691      3.7089      1.6293]"
0,ind,ClassOrderSampler,0.9843,"[ 2.9802e-06  1.5616e-05      3.5996      2.1651    5.71e-05      0.5888   0.0057518     0.06079      5.0117      5.4523       2.824      1.5126       2.123      1.3717     0.10811   0.0026926   0.0017074     0.37127  6.3181e-06     0.04029      1.0092      1.6258      1.8221    0.055679     0.11128      1.2371
    0.066955   0.0060084      3.7535    0.037821     0.14348     0.56005      4.6841      2.3065  3.0994e-06      3.2065      3.9551      4.2481       3.828      3.2502      7.3007   5.126e-06      1.8963     0.52308   0.0017278      0.5153    0.011469      10.086       10.14       8.153      7.9182      10.834
   0.0011366      8.6924       6.969      5.2832      9.0662     0.30869  0.00013851      7.8554      6.9989    0.027603      10.397      4.6522      1.2323      4.8707      8.9429     0.21078     0.27277     0.92001     0.78325      5.9794      8.1254       9.803      6.3805    0.087124      3.0481      12.939
      3.4178      7.4646      5.8187      4.0059      9.6679      10.252      8.4577      10.356      7.0198      13.599      10.923      0.1525    0.013477     0.53084      6.8227      8.2784      5.9984      2.4503      6.9424       5.389      10.488      8.8023]"
0,ind,ClassOrderSampler,0.9954,"[   0.003027      8.0099      5.6155      6.2106       7.375  0.00068307      12.575       7.442      7.6668      6.1606      1.0383  0.00097811      8.7997      4.1341      1.9167    0.057251      6.4395       6.055      5.3464      6.7555      1.8281      2.0138      1.8354     0.70087      7.1317       10.02
       6.968      1.2625      12.759      9.8029      3.7662      6.0341      10.222      8.2393      5.9186      7.2249      5.6256      8.2512      3.1699      9.6828      4.4101      8.1351     0.18907      1.1395       5.687      8.0206       9.122      4.3444      3.5092       7.087    0.045392       2.106
     0.24019      9.2873      13.122      1.6402      7.8146     0.15988      2.3498     0.10222      9.5997      4.1047      11.583      1.6716      4.1218      10.665   0.0037805      0.0642      10.855      5.1426   0.0025193  0.00039474      12.554      10.758      3.7872    0.098747      7.9379  6.1391e-05
      5.0619   0.0068098      9.4163      9.4326    0.025569   0.0007605      4.4551      8.7186      6.6951      7.5631      9.9649      9.9609      8.8116      7.1911     0.16826      9.6664      3.3803     0.13576    0.020399       9.285      2.5965       2.878]"
0,ind,ClassOrderSampler,0.8446,"[      0.584      8.1611    0.008688      9.7165   0.0068359     0.71111      3.4405      6.0599      5.9901      6.0845      5.3565      11.512       4.101  0.00013005       10.24      8.3314      10.193      10.063      7.1356      8.5619     0.51445      8.3499      8.2328      2.0243       7.646    0.042552
       7.962      7.7242      10.109      8.3623      8.5668      6.7801      10.062      7.9753     0.17083      7.8333      9.3515      3.9322     0.39047      4.1284     0.14488       11.07      2.0546   0.0029885      8.2446      1.1808      4.4586      7.4039      9.0986      5.4404      2.4778      6.8172
     0.86717      7.3179      3.9272      5.2002       5.928      10.396      2.2484      7.0122  0.00073096    0.022031      3.9427       16.25      9.1044      7.1788      0.2549     0.26127      4.3346     0.39674    0.086736      6.6529    0.053679      7.9577     0.22696      11.829      10.564      10.156
    0.086033    8.69e-05    0.096417      3.8018     0.23573    0.041614  0.00028952       8.042      8.1374      5.0929      8.2689     0.31155     0.22464      7.0692    0.044134      10.055      13.053        7.69      9.0852    0.047375     0.92707      2.8138]"
0,ind,ClassOrderSampler,0.9041,"[    0.04665       7.721     0.35137    0.077698      5.7962    0.014258      1.0516      7.1717      8.2539      5.0645      7.3712     0.36005      10.904   0.0067375      9.0835      6.0265      8.2621     0.27074      1.1175   0.0031724      4.7868       7.889    0.028354      9.8567      7.9515     0.47654
      9.9345      9.2765    0.026976   0.0055008    0.034856      1.0224       8.489       1.214  0.00071738      2.0015        5.36    0.061826      7.4416      9.0361      3.6158      3.0216    0.009718       8.041      8.6518     0.11364     0.49584      7.7491     0.09801      7.6677   0.0062379      0.9694
      4.0344      3.4287      7.1035      8.1701      7.6959       6.686    0.005286      13.043    0.024378       9.278      8.2706     0.13179       9.087      7.1569       1.688      4.6167      8.5057     0.47517      8.0388      1.0567      8.6331      1.1298      5.1812      7.0664      11.767       9.241
       4.859      5.4294      8.9459      11.342      9.2009      8.3995      4.8461      6.1661      3.2396     0.22687      8.5729      9.3028      10.223   0.0019183      5.5109     0.67438      9.1018      10.831      1.0849      9.5645      7.7058  0.00055393]"
0,ind,ClassOrderSampler,0.9872,"[  0.0044407      6.5502     0.77079       7.821      6.2922      10.268      4.3647       8.326      6.9681      10.144      10.798       8.232      7.3183      5.1921       10.32      7.9276      2.2656       9.132      9.6551      9.7967      8.2886      8.4077  0.00020907    0.087209     0.70674      4.4557
      3.9741    0.074047      7.4614      10.152      1.5266      4.6812      8.8856     0.20045      10.627      10.427     0.56981       11.46      9.0619      1.5122      6.6814      4.7949   0.0010671      1.8121         2.4  0.00067247   0.0036751      7.9492      5.7913      3.8994      7.7138      9.5425
       6.809      7.2876      4.9103      2.2243      7.1099    0.013174    0.002608      4.6048      6.4457    0.010592      9.7569      10.563      8.5556     0.25706      0.5218      1.5657      4.0735      10.524      7.0142      1.5862      6.5168      7.0247       7.607   0.0003665      8.0246      2.9225
     0.77297     0.35885      8.8007      4.5619      11.258    0.037239     0.69123      7.7908  0.00017153      4.5001     0.28255      4.0831      8.7856      10.032      1.2581      12.041      7.6072      10.217      13.005      6.5424      7.7176        1.52]"
