,fold,sampler,pvalue,loss
0,ind,ClassOrderSampler,0.06327510911738228,"[     4.0194      5.5597      5.0718      4.4329      4.8162    0.010482      6.6768       1.493      4.0859     0.71561      5.7945      3.6546     0.08694     0.44398       2.813      11.607      1.2047      1.4222       9.955      9.5469     0.13791      1.1324      3.8463      1.8991      5.4834     0.10972
      4.4933      6.9754     0.20216     0.30052     0.94612    0.019099      2.7026        12.6      7.9709      8.7849      3.5358      1.3542    0.026372     0.58743     0.12109      3.8093      3.3267       1.826      3.7392      8.5096      1.6406      6.0669      1.6943     0.18634]"
0,ind,ClassOrderSampler,0.6259995558743363,"[   0.016257     0.86375      4.8569      10.574      3.1484      7.7797      3.2349      5.9199      7.2152  0.00033027    0.007364   0.0095951       9.763     0.63526     0.67754      4.3498     0.95994      6.9593     0.18203      1.7688      9.6221      1.0635      3.7633     0.29347      5.3988      10.624
      10.015      7.3472      5.0333      1.1009      4.3089      8.7819      5.3526     0.51085     0.51724       9.064      7.5913      10.399      7.9133      1.5018      3.8002      5.6228      6.5426      10.068      16.975      5.2342      2.7809      7.8324    0.013794        7.08]"
0,ind,ClassOrderSampler,0.334550142466619,"[     7.2523      4.8846      6.9765      4.5638      11.328      8.5426     0.83226    0.046883      7.0796      10.185      4.0771    0.055793      18.491      4.2373      1.5071      9.3621      6.9289      1.4113      2.5523       0.592     0.61938      1.7738      1.0172      1.5372      3.2283     0.40929
      2.5864     0.39891      4.0849      7.0423      6.4206    0.067075     0.76562      6.0461      3.6652     0.13521    0.006592      2.2819     0.10446      10.616       1.042      3.2111      2.5233      3.0583     0.42067   0.0037663    0.013587    0.002799     0.23828      2.7662]"
0,ind,ClassOrderSampler,0.06280422900011766,"[     7.6012      2.0222     0.18739     0.46584      4.5915      3.1755      6.6177      3.8128     0.61658      7.1843       4.025      2.6726       7.315      3.2061       4.949    0.014952     0.83489      6.5654       3.074      8.1542      10.321      6.8918      9.3955      8.7089       7.187      18.343
      16.896      8.5463      11.912      17.187      5.0664       10.26      20.108      9.6246      5.4072       9.622      11.589       5.366      13.787      11.716      9.1827      9.4392      4.3282      10.368      10.056      7.0189       6.454      12.565      4.8136      4.5731]"
0,ind,ClassOrderSampler,5.670950601340595e-07,"[     14.251       5.065      4.6433      3.6496      9.8223      14.069      5.6153      1.8101       11.31      5.1231   0.0035537      11.936      15.341      5.8563      7.8752      13.764      9.5973      11.337      14.827      5.2748      11.352      13.436       10.72      13.336      17.005      11.458
      19.839       14.38      11.778      15.385      15.233      12.088      4.0795      4.2675      6.7853      12.587      9.7825      10.717      17.244      18.913      12.932      10.494      8.9876      17.433      12.704      15.555      5.3697      7.7073      11.765      12.469]"
0,ind,ClassOrderSampler,0.0010274748673464833,"[       15.6      16.969      11.146      10.971      14.329      7.0077      11.062      14.044      12.788       13.55      2.8916      3.5082       10.14      6.4467      2.1446      2.7237      9.4048      3.8355      10.339      3.0008      2.3392   0.0080948    0.068093     0.91983      5.0034    0.013182
     0.25906     0.25852      1.2656      2.5113      7.5726      0.1183      1.9175      1.8076      4.4215      6.4793    0.029845      4.1736     0.28186   0.0025062    0.021566      14.463      1.2637      7.3374      2.5649      4.3273   0.0010523      9.4448      7.4779     0.61585]"
0,ind,ClassOrderSampler,0.7044470974528778,"[     12.429     0.19482      11.131       6.503      3.8391  7.2953e-05      2.3518       6.674    0.082657     0.28263     0.67328      0.3369      12.131      5.5872      1.7858      7.3976      5.2687      8.5255      2.6159      10.123   0.0031907      7.9894      7.0033      9.3905      7.7433      1.9663
      3.4179       6.249      6.3015      8.0695      3.8004      5.6647      8.1261      7.2681      8.1573      9.0104      3.5856      6.4401      2.9007      14.756      10.995      3.2031    0.023299      13.071       13.28      9.5396      7.4984      5.4255      3.4707      7.6068]"
0,ind,ClassOrderSampler,0.6688713100175339,"[     10.534      7.0478      9.5235      7.2739       12.44      2.3959      3.8021      6.2836      12.823      2.8945       14.28      2.0502      10.693      4.2275      11.241      4.2367      5.8057      15.432      10.145      3.3914      11.228    0.075348      8.4094      2.0155          12      6.3579
      6.6829      4.6797     0.67365      9.7935      10.136      5.1338      5.1789      6.8387      10.073     0.55554      7.3644       10.45      3.1072      8.4712      7.0865      4.6487      7.7194      1.0537      4.3689      16.212       7.776      1.3034       6.559      10.503]"
0,ind,ClassOrderSampler,0.2690896770304754,"[     13.381      10.235       4.404       10.03      5.8991      9.5156      6.4665      8.3261       12.59     0.01523  0.00027474    0.010073    0.010961      2.5172      2.4235   0.0015469      10.929     0.11226      2.2199  0.00086294      0.1142     0.10041      8.2348      2.0946     0.86912   0.0032523
    0.015208    0.051469     0.33036  6.7589e-05  0.00039772      1.5734     0.13919      9.7518      1.3175      3.0423   0.0029397   0.0084156     0.01595    0.097035   0.0099038   0.0017892      2.9837      6.6539    0.049859      1.6569    0.027265     0.29181      1.2926      5.3161]"
0,ind,ClassOrderSampler,0.06764994512119135,"[     9.7154     0.12299     0.68527      1.5621   0.0083451      1.5581      1.9522      3.0668      5.2282    0.054647   0.0097938      3.9612   0.0034923   0.0032368      5.6368   0.0044039     0.52247   0.0018208      2.0028  0.00050818  0.00068558   0.0021957  0.00027939   0.0021102   0.0048389    0.031448
  0.00023291   0.0025905     1.8e-05    0.076599     0.17298   0.0093731      2.9556  0.00076575  0.00092845      7.6633  7.2953e-05  0.00074037     0.66921  3.6955e-06  5.8292e-05      5.5104  0.00066568     0.22003      1.2485   0.0024439       3.409    0.093956      2.0143     0.34162]"
0,ind,ClassOrderSampler,0.2264519826945291,"[    0.84884   0.0081017      1.3114     0.52003      6.9274     0.27103      2.5575      3.2785  0.00054392    0.046492      8.9546      1.7245      0.4324   0.0031181     0.37097      3.7752      1.0607   0.0011377     0.29646     0.46918     0.22666     0.21749     0.60626      1.2588    0.048679      6.3785
     0.82358     0.71865      2.6706      2.6468     0.25675     0.39252      2.6609     0.49522        12.9     0.26645      7.7487    0.037604      3.4525    0.021727       1.671      4.1863      3.7647      3.7142     0.26539      12.474      3.9448      1.8284      6.0741   0.0096435]"
