,fold,sampler,pvalue,loss
0,ind,ClassOrderSampler,0.3517541128251689,"[     1.6406      4.8162      3.6546      8.7849      8.5096     0.30052      5.0718      9.5469      2.7026      3.3267      6.6768      10.436      4.0859      1.0284     0.08694    0.016257      3.5358      14.699     0.58743      4.4933      1.3542       7.437      7.2978    0.010482     0.20216    0.021558
      1.1324     0.81806     0.71561     0.81462      3.7392     0.44398      0.1719       1.826      11.626      5.4834    0.026372      5.6262      3.8463      4.8569       1.493     0.12109    0.019099      7.9709      1.6943     0.17536      2.8731       12.01      4.5648     0.13791      1.2047      4.4329
      2.7053     0.86375      10.185       9.064      11.649      9.3621      5.0333     0.51724    0.013794      6.9289      16.975    0.055793      1.5071     0.67754      10.068      3.2349     0.95994       9.763      10.227      7.0796      4.3007      9.7623      7.5913     0.18203      5.3989      7.7797
      7.9133      4.8353   0.0095951      3.1484     0.71647      8.7521      12.486      4.5397      1.4759    0.007364      2.7809       1.257      10.399      7.5436      7.2152      4.3498     0.19251      6.1325      3.1321      3.2514     0.51085      3.0375]"
0,ind,ClassOrderSampler,0.08677133497942083,"[     4.8889      1.5018     0.63526      7.3472      7.2523      5.1582      1.0635      5.2342      5.7598      1.5372     0.96402      6.0461     0.83489       4.025      7.6012   0.0037663     0.34849        3.42      3.2061      1.4113     0.40929      9.2076      3.6652   0.0023289      3.2111       0.592
     0.77396      4.1831      2.2822      4.0849      4.5915     0.39891      2.5864     0.14107     0.10446     0.42067       7.315    0.013587      7.6541      2.0258       1.042      3.0583     0.76562      2.0797      2.6913     0.46584    0.017063      2.2819      2.6245      1.0172     0.12052      1.8174
      6.6177       4.819      3.8128      7.1843     0.72957     0.90193      5.0664      6.1425      9.4392      8.7089      4.3973      10.321      11.716      1.8101      12.349      3.0839      14.069      9.3955       13.49      4.6433      17.187      18.343      12.029      15.341      6.5551      9.6246
      20.108      4.0705       11.57      9.5847      4.3282      5.1231      6.5419      14.832       9.622      5.8515      10.317      4.8136       2.898      10.242      8.1509      4.5731      13.354      3.6496      13.787      11.936      3.1755      9.8223]"
0,ind,ClassOrderSampler,0.0037790228176210676,"[     6.5654      2.3602      3.9172      9.0128      11.458      10.717      14.185      17.005      8.5542      11.569      15.187      12.133      17.244      16.467       14.38      11.765      4.0795      12.939       13.09      5.0006      14.869      10.912      11.757      15.201      11.787      13.436
      4.2675      9.6764      19.839      12.788       10.72      12.704        15.6      12.587      10.494      5.2748      7.1333      15.192      7.7073      9.8744  0.00045289      5.5467    0.045985      2.1446       10.14      5.0034      7.3976    0.067873      3.0008      0.3369      5.3378       1.621
      12.131      2.7237      5.2896      3.8391       6.674      7.3374      6.7128     0.28263      3.6952        14.7      4.1736     0.28186      12.429      2.3518     0.61585      7.5726   0.0087206    0.029845      4.4215      4.3273   0.0025062      2.5222      6.4793      5.5872     0.25906  7.2953e-05
      1.2637    0.068093     0.55288     0.43863     0.55904     0.89254     0.71303   0.0080948      5.1351      1.6251      10.221      7.0033      7.1957      6.5832      4.2275      4.8886      3.8021      5.6647      11.197    0.023299       5.408       14.28]"
0,ind,ClassOrderSampler,0.6202826361448539,"[     13.071      6.3015      12.372       11.76      2.0842      6.2836      9.9943      5.4897      9.5235      3.8004      8.2315      9.0104      7.5602      5.9433      1.5603      2.7346       13.28      7.9894      2.0502      9.8719      3.4179      8.1261      8.9335      9.8115      4.8855      4.7107
      7.6068      11.241      15.143    0.096808      2.5662      12.823      10.534      3.2031      5.8695      4.2367      2.3959      3.5856      6.2776      5.2687      10.693      6.6072      4.4162      5.1903      7.3644      10.503       6.725      6.1498      4.3689      9.7163      12.883      6.4021
          12      4.4981      8.8751      12.528      13.381      15.432      7.8453      2.9894     0.63818      1.3639      5.9406      9.7935    0.019558      0.3541       2.355      16.212      8.4094      6.6829        10.5      0.3222    0.075348      1.0537      2.6232      10.136      5.2022      8.5973
      9.5156      2.5676      11.764      3.3914      11.385      8.8558      9.8737      8.0871      9.9143      9.6624       6.559       6.325      3.8892      10.145      10.168      6.4665      5.1789     0.26828      9.9519   0.0099038    0.027265      1.3657]"
0,ind,ClassOrderSampler,0.36994066756622873,"[   0.020884   0.0020287  0.00075979      8.2348  6.7589e-05      3.0423      3.8554      5.3161  0.00027474       8.118  0.00039772     0.00238      7.7194    0.085206      0.3231  0.00014101   0.0058199      0.4217      3.0717   0.0032833  0.00040058    0.015208  0.00076777     0.20716       0.777    0.069966
      2.4235     0.32139    0.051469      9.7518      6.6539   0.0057535      1.5734     0.34873     0.07154    0.032169     0.33036      1.2926      2.1998    0.054869      2.9837      1.5581      0.1142    0.010073     0.56222      1.4435      9.7154    0.041788      2.0946    0.010961     0.01595      6.7819
     0.95904     0.19361  0.00016569      3.1501  0.00038545    0.017629   0.0034923    0.017803      2.0143       3.409      3.9612  0.00050818  0.00027939    0.017401    0.017295   0.0097413    0.076599   0.0044039   0.0026803  0.00023291  5.8292e-05  1.9789e-05   0.0011766       7.549   0.0032368     0.83555
      2.2517    0.054647      3.0668  1.6212e-05     0.66921           0   0.0014835      5.0226      1.3114   0.0097938  0.00066413   0.0018208   0.0081017     0.07201   0.0024439      5.0251      1.2485     0.59908     0.31055    0.012583      2.5665      4.8223]"
0,ind,ClassOrderSampler,0.3341620109455033,"[     2.3909       4.042      4.1863   0.0011377   0.0096435     0.82358   0.0073497   0.0031181      6.0741      4.4913       1.671      2.5575      2.5027      1.6547     0.11551      1.4218     0.25675     0.56038  0.00054392      2.8359      1.0607    0.090515     0.39252     0.19033       0.171      4.3003
     0.60626      2.6609      4.2166       6.501     0.71865     0.29646    0.021727     0.23425   0.0016093     0.37097      0.4324     0.26539     0.13049     0.63811    0.011057      3.9448      1.2588      2.6595      8.7682      4.7311       4.467      5.4783      6.3334      1.5544      2.8265      3.5154
     0.29644      2.2787      3.4948      4.4439      7.4755      7.2048      7.8496      3.5009      4.1845       5.023     0.24155      7.0682      9.8513      5.3046      5.9759      2.0502      6.0303       1.456      1.8133      9.9934      16.514      3.5799      2.9105      1.0576      2.9377      3.1532
      9.9862      6.1709      4.4917      8.6043      6.8044     0.83231      3.5142       7.021      2.2511      5.6348      3.1603      8.0227      2.8406      6.3403      4.7515      8.6686      5.0184      7.4249      4.2961      1.9182      3.4512      10.156]"
0,ind,ClassOrderSampler,0.016057403144161188,"[     7.5867       3.253      4.7123      13.636      7.0716    0.083302    0.039735       13.63      11.534      1.8581      6.7435      2.2249       5.316       8.887       2.972      8.3324      2.6285      6.0156      2.1498       7.595       4.373      1.5317      10.418      1.5091      1.8772      4.0096
      8.7522      3.4072      5.4368     0.45893      4.4868      3.5529      8.1782      7.1455    0.014281       1.261       6.877     0.16806      4.5176      6.2744      3.2971      13.973      14.175    0.060612      6.8844      6.0049      4.8107      7.4511      2.0535      4.1677      8.8926     0.71445
     0.26838      10.604      8.3492      3.4139      17.661      3.8466      2.6941      11.086      10.261      0.2695      3.3504      11.098     0.68577      7.3639      11.511      8.2316      11.392      9.4562      6.0304      5.4341      7.3991      9.9272      14.133      8.0351      9.8708      15.313
      9.3844      9.4431      6.5939      11.344      2.6284      3.3361      8.5979      7.6388      9.3181      5.1234      4.5703      8.5221      4.1166      15.531      7.6202      5.2473     0.41143      15.157      5.7586      9.4506      2.1503       9.783]"
0,ind,ClassOrderSampler,0.5349259051616103,"[     4.0617      13.413     0.47056      2.2519       9.538      8.8085     0.34558     0.65189      13.452        11.5      3.2544       6.095      12.054      0.8726      2.9667      6.3678       14.18      7.4515      12.052      4.6441      10.957      4.1271      13.194      16.298      8.9637        7.48
      11.073      1.2032      11.089      10.063      9.8042      12.885      1.5101     0.75955      2.3274      8.2792      14.443      12.972      4.9563      13.396      11.453      0.7237     0.75695      9.5834      2.5175      2.4499   0.0056728      7.7999       12.01      2.4793      4.0289      6.2843
      5.4153      3.4156      1.0322      13.417     0.16871      2.6376      2.9071      12.414     0.60534      5.7133        8.73   0.0060518      2.8187      3.2953      2.0024      7.1451   0.0054307      1.6384        12.7      6.0953      4.0681      5.1756  0.00037306      1.9648      7.7052    0.048812
      4.2919      10.017      8.7617      7.1058     0.01788      2.2757      12.078      9.6505      6.2655      4.4462      1.1262      12.305      11.519     0.50848    0.015422      12.763      1.2371      1.7911      1.0706      11.306      4.8286      5.4068]"
0,ind,ClassOrderSampler,0.00034565661234264893,"[     1.0431   0.0036148     0.78354     0.35563    0.027987      1.1746      6.8638    0.027745     0.12532      3.2574     0.70001     0.83798    0.083906      9.8981    0.074629      9.9524      3.5137      4.2248     0.27743      3.0731       6.529     0.21765      3.2006    0.058782       3.573     0.56261
    0.014969      1.7661      7.6203     0.15641   0.0051482     0.66317      4.2597      6.3299     0.32141      1.1573       7.003       9.005      4.2264      1.0383      8.4284      2.9714     0.56158      1.0912     0.11245      6.9514      7.4412     0.62041      1.7863    0.048848     0.78054    0.041316
     0.61779      5.6181     0.82701      4.9208      4.0148      6.4983      6.4024      3.0603      6.5492      4.9985      3.2243     0.11264      4.2167     0.91447      2.7649      5.8172      4.3308      5.6657      7.6838      2.0804      2.7974      1.9618      3.5589     0.86445      8.7108      5.4234
       2.758      6.3778      7.9899      4.5381      13.057      6.5088      8.6765      10.786     0.13648      7.0249      6.3197      7.5811       5.885       2.269     0.06533     0.68267      7.6962      7.3235      3.6486      6.9243      7.4276     0.11742]"
0,ind,ClassOrderSampler,0.24913805275580395,"[     8.3929      4.7174      11.139      6.6719      5.6908      3.3473      7.0704     0.13172      6.4144      8.4335       5.543      5.9543      7.1799      6.0174      3.8117      3.3001      2.1564      6.7184     0.53683     0.25609   0.0027793      1.4716      2.3072      14.031      1.5313      4.6681
      1.8906  0.00030048  8.7615e-05      5.1253      5.1739      5.0673      7.2174      3.5877      4.9834      4.6564      12.079           4      11.579      8.8963      5.7644    0.048475       11.18      10.734      1.9415       7.366      7.3757      2.9978      3.4957      11.423      4.1776      2.4404
      8.5256      9.9659      2.1071      7.2705      3.4807      6.3698      4.4462      3.6411      7.0474       4.211      4.2884      5.1337      2.2061      3.0562     0.39343      6.1437      6.7128       6.832     0.87852     0.12055       1.376      7.2814      3.3696      3.9852      6.0117     0.32508
      6.1314      9.5621      3.3311      4.4281      11.574      2.1065      9.6745      10.255      8.1009      5.5497    0.091339       6.214       13.08      18.853      7.9248      4.1295      4.5276    0.047994      6.0325      5.7063   0.0010511   0.0005581]"
