,fold,sampler,pvalue,loss
0,ind,ClassOrderSampler,0.1299879137521046,"[     1.3247     0.81806      4.0194      2.7053      6.7987     0.13791      3.3267       5.564      0.1719       6.216     0.08694       2.571    0.016257     0.10972     0.30052      5.4834      11.607      1.6943      1.8991       3.625       1.826      5.3806      7.9709     0.12109     0.46985      7.2978
      3.8093       9.955    0.010482      4.4329     0.20216      9.5469    0.026372      4.8569      2.1174      1.4222     0.81462     0.58743       7.437      1.3542     0.18634    0.019099     0.56691      3.6106      2.7026      3.7392      7.1535      2.8731      6.0669      8.5096      3.8002    0.046883
      3.1484      6.9765      2.8964      4.3007      11.647     0.63526     0.71647      1.5071      3.2349      7.0796      5.1582      18.491      3.0375      1.0635       1.257      6.9593      6.1325      3.7633      7.3472       9.763      2.7809      8.7521      11.328      10.964      9.6221      4.8889
      5.2342      5.3989     0.51724      5.7598      11.116      7.9112      9.7532      5.3526     0.83226      7.5913      16.975      1.5018      10.015      4.5397      10.399     0.18203      2.7112      14.205      5.9199      10.227      3.7275      8.4707]"
0,ind,ClassOrderSampler,0.10761049482791468,"[    0.83489      7.2136    0.006592      2.1235       7.315     0.90193        3.42      3.0583    0.017063      1.4711   0.0033314     0.16552      7.6541       1.042      2.0258      3.2657      3.8128      2.0453      1.2158   0.0023289     0.39891      3.6652      6.7046      8.0776      10.616     0.72957
     0.14107      6.6177      4.1831       4.949      3.1755      2.0797      5.4733     0.77396     0.76562     0.40929      1.0172     0.42067      1.8174     0.14528     0.85187      1.7738    0.067075    0.017103      9.7331     0.23828    0.002799      2.6726      2.6913      7.4172      8.1542      10.317
      7.0189      4.6653      4.0705      4.3973      8.3555      4.8136      12.349       7.187      11.912      8.3687      5.4072      10.321      4.3282      9.8223       6.454      15.341      4.6433     0.30291      4.5731      11.934       2.898      6.8918      6.5878      10.367      11.381      10.301
      9.6516       5.366      6.8551      13.787      4.1432      3.1755      5.4935       5.065      14.832       13.87       11.57      11.716      15.544        7.49      18.343      3.6893      12.817      9.7749      6.5551      10.056       9.622       11.31]"
0,ind,ClassOrderSampler,0.004230060225369291,"[     5.8515      8.5463      11.118      3.9172       11.81      14.251      16.969      9.5973      16.467      16.438      7.0077      7.7073      11.337      8.8599      19.839      11.778      7.8775      11.062      9.7874      10.053       13.09      12.932      8.4766      11.352      7.1333      6.7853
      5.4571      10.697        10.4      14.185      10.612      15.555      6.1551      10.971      11.757      5.8563      5.2748      11.146      10.717      6.6972      10.912      15.385      13.827      6.3593      14.827      10.258      10.254      12.133      9.7825      10.494       14.54      11.057
      12.788      8.5542      15.233      5.3697      11.569    0.045985  0.00045289      0.3369      6.0086      7.1273      1.7067      4.4215  0.00020144    0.067873      1.6251      5.2896     0.25906    0.018638      9.8757     0.26677     0.67328      7.3374      5.5467      1.7858      1.9773    0.068093
      11.131    0.042834      7.3976      6.0289      9.4048      7.5726      2.7237       10.14      3.8391   0.0017637      13.576      5.1351      7.4591     0.61585      3.8355      7.4779       1.621      0.1183     0.91983      1.2637     0.55904     0.19968]"
0,ind,ClassOrderSampler,0.06524177915554512,"[      6.503  7.2953e-05      5.0323      7.5602      7.2579       5.683      10.534       13.28     0.92395      7.0033      10.693      3.8004       11.76       11.63      7.0478      5.9504      10.995      9.5235       14.28      6.2776      8.2315      3.4179      8.0695       15.97      7.9894      2.8945
      5.4897      6.2836      9.5396      6.3015      4.2367      7.2739      4.8886      8.9335      1.5603      2.5662       6.249      10.221      2.0215      1.9663      5.8695      2.9007      6.6072      4.4255      3.4925      3.8021      9.9943      7.0814      8.4835       6.439      3.2031       5.408
      7.2681      9.0104      13.071      7.1656    0.096808       6.502      3.4707      5.9433      6.3579      8.8558       8.655      6.4021      3.8207      10.235    0.075348      6.5048      8.5973      10.168      4.6487      11.228      0.3222      11.021      10.073      13.381      7.7677      7.8453
       6.725     0.13247      8.4094      1.3034       1.554      9.9143      7.0054      3.1072          12      6.8387      8.8751      10.503     0.55554       4.404       2.355      1.0537      6.5516      8.7093      15.432      5.8057      5.8991      12.883]"
0,ind,ClassOrderSampler,0.36207412013772194,"[     9.5156     0.63818     0.26828      6.6829        10.5      0.3541      8.3261      6.8435      11.764        10.4      4.3689  0.00040058    0.041788      3.0423      1.5734  0.00014101      1.3657   0.0015469     0.11226   0.0020287     0.14263      0.3231   0.0002509   0.0012508  0.00039772   0.0084156
      3.8554      9.7154  7.5457e-05    0.022461  0.00076777      7.7194      2.5172      2.2199    0.049859   0.0073002      10.929       8.118     0.01595    0.051469    0.032169      1.5621   0.0025764  0.00075979   0.0015077      0.1142   0.0058199      8.2348     0.12299      0.4217      2.9837    0.054869
   0.0032833  0.00086294      2.1998    0.011399       8.633   0.0041449      5.0251  5.8292e-05   0.0011766   0.0097413   0.0083345     0.17298   0.0014632   0.0034923  0.00065556  0.00023291  0.00076575   0.0011696    0.093956   0.0081017      5.0226   0.0018208     0.84884  7.2953e-05  0.00019465     0.83555
    0.017803      11.288   0.0026803   0.0014835  0.00027939   0.0021957      3.1501      1.0537  1.6212e-05      2.9556      2.0143   0.0020546     0.52247     0.54478           0    0.076599      7.9534  0.00026985     0.54344  0.00066413       7.549    0.047776]"
0,ind,ClassOrderSampler,0.1299879137521046,"[    0.17567     0.19361   0.0044039      3.0668   0.0021102      7.6633     0.34162    0.002998     0.07201   0.0024439  0.00016569      2.0028      3.9612  3.6955e-06  0.00038545   0.0032254           0      2.5575    0.026753    0.046492      1.8284      2.5665      2.9293     0.54022     0.26645      4.3003
      2.5027      4.8223      1.4218     0.31055      4.4913     0.60626      0.4324    0.028332   0.0090386      4.2166      1.6707     0.23425   0.0031181    0.021727   0.0023919      5.9799     0.59908      2.6706   0.0016093     0.13049   0.0011377    0.090515     0.26539      3.7752      1.2495      1.6547
   0.0073497      1.3635     0.46918      7.7487     0.37097      6.9274     0.82358     0.21749     0.49522  0.00054392      2.3909     0.83231      2.9928      4.7311     0.84232      6.1544      7.2048      1.5382        14.3      3.4948      4.3456      4.4439      2.0502       5.023      5.2927      4.5569
      8.9063      11.932      4.8402      7.4755       5.087      3.5154      3.5799      4.0301      16.514      8.6043       7.021      1.6333      6.6631      6.8044      9.1522      5.1485      3.1532      6.3334      5.6869     0.24155      6.4797      5.8317]"
0,ind,ClassOrderSampler,0.007927197133645793,"[     4.9882      2.9105      4.4917      7.9137      9.9862      1.8946      7.8496       5.041      5.3741      5.9759      4.6129      11.517      2.5842      2.7539      1.2502    0.039735      13.636      3.4512    0.083302      10.552      11.664      2.8406      7.5522      4.7515      7.0716      8.7522
       5.316      1.8772      7.4249    0.014019      10.156      8.8714       8.887      3.7108      7.0308      4.0957      7.8488      5.2947      10.418      8.3134      4.7123      3.1603     0.33322      5.8781      5.4368      7.9805       8.521     0.10775      11.359      8.9274      4.4868       4.373
      5.2114       3.253       7.595      2.4521      4.5176      4.1677      10.604      5.8954      3.4886      8.0248      13.902      9.9272      8.0351      9.4431      8.3492      8.8926     0.16806      1.2395      5.4341      4.8107      7.4222      3.4688     0.68577      10.261     0.75393     0.91099
      3.4139      9.7277      7.1455      10.439      3.5529      11.626      9.8708      7.8013      2.0535      8.2714      17.661      7.3639     0.94302      6.8844      19.528      11.642      13.973      6.0304      6.0049      11.344      14.054      8.6567]"
0,ind,ClassOrderSampler,0.07234109046603342,"[     9.3844    0.014281     0.26838      9.1895      8.2708      15.313      10.957     0.94734      9.5156       9.538      18.034      17.283      6.0318      13.194      1.2032      7.6202      6.3678      2.3274      6.4078      5.9656      3.9432      10.794      8.9637       14.18      9.8042      9.3181
      12.972      10.291      5.1331      0.8726     0.16903      14.194     0.65189     0.84419      4.1166      15.157     0.67357        11.5      5.2473      9.9484      8.8085      11.565      3.3553      9.3356      6.3974      4.5703      4.0739      10.981       9.783      10.433      5.0913      9.4506
      8.6613      1.6388        7.48      4.6657     0.15761      4.2919      1.0209      10.331      2.5175  0.00037306      11.011      5.5581       1.225      8.0831      7.1451    0.048812     0.01788      7.4983     0.75695      12.414      1.9064      12.113      1.2116      4.0681      2.8187      4.1811
      7.1058       10.16   0.0054307      4.0289     0.02664     0.16871      1.7996      4.4462      11.274      2.2757      12.305      7.1077      8.7617      13.417      11.994     0.30495      6.2843      2.6376       3.126      1.1262      6.0546       12.01]"
0,ind,ClassOrderSampler,0.0044115610249562155,"[     9.3172      6.0953      2.4499      7.7052      9.5834   0.0017219      1.0706    0.083906   0.0036148     0.83798      7.6203      6.3299      11.306    0.041849    0.074629    0.015422      13.921      3.8415      1.7661      8.5016    0.014969      4.2597      1.7911   0.0027553      5.8575     0.50848
      2.7686      11.519      5.5475     0.15641     0.66317     0.98692    0.058305      1.3222      7.9288      9.9524     0.35563   0.0076085      1.2371   0.0077452     0.32141     0.10069     0.21765      12.763     0.31818      3.6477       1.275    0.027987     0.78354    0.058782      6.5079      3.0731
     0.70001      4.2248      7.0539   0.0060838       3.573      2.7974      7.8347      10.786      1.0912      7.8986      13.128     0.82701     0.60082      6.4824      8.9338      4.8318      9.4541      8.7108      2.7649      10.354      6.9878      2.6779      1.9618       9.005      5.5751      3.0603
      7.6838      7.4412    0.041316      7.9899      7.5725      6.3778      4.3308      6.4963      6.4983       4.915      1.8145      7.6142     0.11245      4.9165     0.91447      5.4234      8.4284      5.8172      2.9714      6.5479      4.2264      3.5589]"
0,ind,ClassOrderSampler,0.39969834263588166,"[      7.003      7.0249      6.9514      4.2167      8.4878      8.6261     0.29673      5.6657      1.7863      8.5929       11.18      14.003      7.2174       7.366      3.8117      5.1739      14.248      5.0673       5.261      7.3235       2.269      6.7184      9.1012  0.00030048      1.4716    0.020374
      2.9978    0.048475      6.4144     0.52328      5.8609      7.3757      4.1334      7.5811      1.5313     0.30455      4.3581      11.139      6.3197      10.127      2.3072      3.3473      2.5401       5.885      6.4647    0.031426      3.3001      5.9543      7.4276   0.0040934      6.6647      4.6681
      6.0174    0.014365      8.3929      5.7644      8.4224     0.39343     0.12055      8.5256       6.832       4.211      3.3311      9.5568      6.1681      9.5621      3.9852      5.3985      3.0101      6.7185      2.1071      4.4281      7.9248    0.052837      2.2061      3.0562      6.0633      11.574
    0.091339      3.6344      12.641     0.22064     0.28547      1.8477      18.853      6.3698      9.9659      5.1818      6.2754      9.9037      1.7999      3.4807       10.37      5.1337   0.0068362      5.0415      4.2884      4.1295     0.98528      9.6745]"
