,fold,sampler,pvalue,loss
0,ind,ClassOrderSampler,0.07160287685430562,"[    0.10811     0.11128   0.0010182   0.0022198      1.3043       8.615      4.7069  7.2596e-05     0.37127   0.0097473      1.8264      2.4893   0.0072656      2.4248  1.5497e-05       7.882      6.4372     0.87739     0.79858     0.47229   0.0014194       5.671    0.073889       1.332       5.585      5.6176
    0.014878      2.7169  0.00017689     0.16319   3.314e-05   0.0080196     0.58787  0.00010097  0.00052772      3.0958      7.2594     0.63908    0.051769       6.965   0.0059806     0.55208    0.022365      8.3344       1.272     0.12658       2.547    0.036942     0.88747      7.0971     0.68564       8.774
   5.126e-06     0.28476     0.37483    0.030769   0.0016123      4.5875      4.2706    0.023828     0.72536  2.3842e-06      3.5298  2.3246e-05      1.8417      4.7293     0.89828   0.0042986     0.02665  0.00040463     0.58026  0.00036924  0.00011682     0.49367   0.0096053      2.5115      4.1552   0.0024036
     0.99241    0.017486      4.3368   0.0039127      3.9257      4.1367     0.10373      4.7336  0.00048232    0.021526     0.14354    0.035028    0.024085    0.060463      6.4667     0.37993   0.0012056     0.10348      5.9876      3.0656     0.11112      1.1413]"
0,ind,ClassOrderSampler,0.48153827481474887,"[      10.46  2.3722e-05      5.7053     0.24465  4.8636e-05  2.6226e-06    0.016656      1.8221      3.0736    0.015857      3.2502    0.016426      2.1501  7.6294e-06    0.042448      0.8038     0.15175   0.0003901     0.06069      1.9146   0.0064488   6.306e-05  0.00047077      1.8221    0.037501      3.2065
      9.2145     0.23273   0.0017278   1.061e-05       1.027     0.31211  0.00069153      4.9366     0.13672      3.3476   0.0011364      7.0213      3.9127      7.9372      4.2685  0.00016914     0.23955     0.73627    0.028326      3.4292      1.7056      6.0234      2.0185     0.75826  1.5855e-05    0.092788
  7.1526e-07     0.40115     0.22685      1.2979     0.13097    0.027935   0.0027888    0.049131     0.94895      2.2488      1.2991    0.025099      2.8882      1.3717     0.94761      0.2527     0.22634     0.18976  1.1921e-07      8.1774     0.14792     0.23061      4.0913     0.84489    0.040105      7.4345
       2.086      2.5864   0.0026926      5.1327      3.9051      1.1068    0.013869    0.085101  0.00063149      1.9936    0.065096  0.00020264      1.3827      3.5879      4.0168   0.0013493      7.2595      4.0345      1.5458   0.0057277  0.00026616     0.46202]"
0,ind,ClassOrderSampler,0.23731305124406427,"[  6.008e-05        3.62      8.0485     0.56005      5.0035     0.51569     0.49526    0.067638  0.00080458      3.2968   0.0017074  2.6106e-05   0.0026705        1.82      1.1059      3.2672      4.4438  0.00053368    0.011503      4.3441      4.6759      6.7646    0.012667     0.93923      8.4303   0.0070935
   0.0034165     0.31163      4.4191     0.89793      6.7483     0.42958      2.1548   0.0015772    0.056466     0.26681    0.022341      2.5948  3.2782e-05    0.072202     0.24513      2.1127    0.024317     0.41192      1.7551       5.045     0.68906     0.19472    0.053779   0.0021125   2.861e-06  0.00043621
      7.4848      2.4073      9.0911  7.1526e-07    0.011327      2.5039   0.0019124     0.13413      2.2883     0.27289      3.1788  0.00014411      1.8866     0.55597     0.37138  1.6332e-05    0.040241      1.7583      6.5205     0.74366      4.1606      4.2334       2.855      1.7809      7.9473   0.0017823
      1.7725    0.018866      5.7009      8.4246  0.00076479      3.7016     0.03315      4.6866  0.00027402    5.71e-05     0.14348   0.0015226       3.012      3.9427  0.00016056  8.9165e-05       4.852  0.00015568  2.6583e-05   0.0039726      1.1165  0.00012016]"
0,ind,ClassOrderSampler,0.7235486393299208,"[     3.0556    0.065907     0.53453      4.9121  3.5763e-07     0.43823  0.00011765      7.7215    0.001888      2.3923      1.3189      0.3865      4.8419     0.34209      1.8644     0.73131      2.6376      8.6002   0.0069067      6.0796      1.2114      0.1518      7.5518   0.0019747   0.0003945     0.44477
    0.013441    0.004533   0.0061901      4.6602      2.5762  6.6278e-05      12.207      4.9734      3.1604      3.9551      8.8006      3.9684      1.1238    0.066151   0.0030004      4.3282      1.0092     0.75488   0.0083209  5.2452e-06  0.00010108   0.0060513    0.032545      2.0955       2.691  6.1989e-06
      1.5821  4.4107e-06      4.8288     0.21127   0.0018627      3.5947  0.00085508      3.5099      3.2791      4.9463      2.9557      2.7547     0.24683    0.023616  0.00089891      1.4591   0.0010422      3.1349      0.3908  4.2199e-05    0.011213      5.5706      6.3465      5.2433      8.9041     0.84766
      6.5256      5.9068      3.7535      7.1584      1.7487      3.8178       3.917  0.00015389    0.083802  0.00043204     0.71154      5.7479      5.2418      2.8013      2.0144      3.9949     0.52308      1.1156    0.066955      4.8629  5.8292e-05      4.2848]"
0,ind,ClassOrderSampler,0.5575525887673475,"[   0.015158    0.050683      0.1507  2.5153e-05  3.6955e-06      4.3674      2.3071       3.265      1.2249    0.027196      4.0777      5.7754     0.18856      9.8094      5.3693      2.6497      10.411     0.25829      1.5126      1.7635      2.9855      1.5983   0.0099367      1.3225       2.375     0.19103
   0.0094862   0.0017112      1.7739     0.79829      3.5404     0.70028   0.0079448  3.8742e-05   0.0064899      1.5393   0.0033565      2.6418      0.1135     0.24516      9.6822  0.00011813      1.2497   0.0017463      2.2136  0.00058741      2.8437      3.6623     0.13994  0.00021634      4.9495  3.0994e-06
    0.016566  9.9535e-05      5.3613       1.063    0.002499  0.00081863  7.5576e-05    0.030073      1.9411   7.987e-06  0.00040726       7.559      4.4366  3.0994e-06    0.000272      4.5097      3.1511      3.6697     0.11387   0.0011359   0.0035604     0.81693   0.0040501     0.45107   0.0031706      4.7531
  7.5102e-06      3.7089    0.070793      0.3984       1.384     0.25546    0.055679    0.031261     0.90523      0.4329  0.00054011      1.0414       6.109      4.8884  9.0237e-05     0.43856      5.0189     0.01623     0.20294   0.0014264  0.00056775       4.115]"
0,ind,ClassOrderSampler,0.24514885236164924,"[     6.7504      6.7555      9.5588      6.4004      10.256      9.1018      8.7856     0.10929     0.45443      9.7569      5.4073      11.829     0.64759       6.055       9.803       8.153      4.8707      8.0587  6.1391e-05      3.0976     0.14488      8.0206      7.3712      1.0849      10.203   0.0092365
   0.0024066      7.0126      5.4404      9.9649       1.342      10.268      6.7801     0.10144      8.8754      7.7898       5.687      4.3444      7.6819     0.53084        7.66      10.875      6.5192      7.9379      2.0546       8.232      4.3346   0.0002596    0.054415      6.2977      7.2871      3.8365
      10.851      13.005      3.7557      6.9424    0.023612      8.4339      8.5668      3.4028      4.2368      3.5697    0.031795      4.3243      10.356      11.151      9.5969      5.2161     0.78325      5.2123       6.968     0.21446      10.156    0.004828    0.037239  0.00078111      3.4472      5.6155
      4.5619      8.4777      7.1356      1.8121      11.152      7.7164    0.089794       7.087    0.047375      8.0388      6.0489       8.772      8.7102       10.24      12.017      3.3235      7.7166      6.4395    0.021318    0.034856      9.1702       0.584]"
0,ind,ClassOrderSampler,0.6604120814925943,"[     8.3966      8.9429      10.238      9.2851      6.1606      3.7872      2.2382      11.411      8.5573      1.7886    0.025774       6.969   0.0036751      8.7428      11.037      7.9134       8.988     0.15988     0.69123  0.00013005      10.222   0.0027828      7.2811   0.0007605      0.1539      10.319
      1.8354      6.9022      2.7995    0.073513      8.7997      9.3022    0.096417      5.4518      8.3368      4.9375      7.3179     0.43057      8.0444      8.1701        1.52       7.198      3.7662      3.3718      5.8279      3.7233     0.17083       11.46      9.8995      8.6331      5.7297    0.098747
      1.1808      6.0273       8.955    0.041614      10.209      9.7557    0.086033  0.00076432    0.043352      9.4817     0.47517       7.955       7.536      5.0557     0.26755       6.519      10.449   0.0019183      1.6402      10.223       8.813      10.062      6.3182      10.217      9.6679      5.8187
      1.0802        7.69      8.9466      8.3623  0.00055393      9.3842      13.053      10.619      7.8554       6.249      8.6518      8.4172      7.1896       1.688      5.7913      4.7959      8.0461    0.015887      2.0736     0.47654      8.8116      7.1278]"
0,ind,ClassOrderSampler,0.010851934992596643,"[     4.9103      8.1351      13.043      10.488      9.8029      9.6551      7.0121      7.6668       7.442    0.044134      10.831      4.1047    0.057251      1.1298   0.0084275      9.0835      7.0247      1.1175      11.512   0.0068359      7.9515    0.020399      3.0633      6.0649     0.18816     0.04665
      5.7958      9.1019      8.5905      7.1099       9.241      2.5489      11.258      0.9694      9.0555    0.043429  0.00056179       8.739      12.644   0.0017825      2.1369      11.146      6.4457      7.7138      6.0265      2.2484      6.3828      4.7931      8.8856      8.3922      3.9633      2.4503
      8.2393       2.878      7.4031      1.2581    0.045392      8.8541      8.8033     0.20045    0.022533  0.00062899   0.0021368     0.36005      9.6172   0.0043082     0.77297     0.22719      7.5631      9.3028     0.22464      6.8623    0.035538      1.5107      2.9791      8.5852      6.9901      7.7868
      1.2323      1.1395      9.5058       10.71      5.9901      11.196     0.24019   0.0058727        6.51      6.9038      5.1936      4.2296      5.2832      9.6664      6.3078      8.2483      10.184       7.977      4.6167      10.396      8.5556      11.849]"
0,ind,ClassOrderSampler,0.013479122242083972,"[       5.36      11.583       9.122      4.7403       9.085      6.4535      6.6529       7.943      7.7627      9.7165    0.018929       4.101       6.686       10.14      8.9502      2.4655     0.13975       7.136  0.00073096      1.8281      2.2243      1.4658      11.829      5.2514    0.053679      9.1343
      7.9577  0.00069534      7.3527      9.0292      8.9807      6.7573      10.564       11.07      8.9554      8.0099      1.9637         2.4      7.2497      6.2922      13.211     0.35885      5.7854      3.8018      7.1717     0.27277     0.45234      6.5105     0.16826      4.1284      6.2826      10.187
     0.26781    0.007808      7.8217      9.0662      10.252      10.665       5.928      3.4944      9.2495      6.5502    0.022228      9.2009      8.6924      6.9822      11.281      3.6712      1.2364      2.0243       9.725   0.0038033      1.0516      7.9492      11.049     0.19905      8.3052       3.241
      4.5476      4.6812      10.187      4.9895       9.976      9.4621      3.9322      1.2625       9.087      9.0361  0.00017153      3.3915      10.051      10.303      8.7186      9.2184     0.29813      11.427      10.218      8.2024  0.00054905  0.00071738]"
0,ind,ClassOrderSampler,0.012652609645457185,"[   0.027603      2.6708      1.9167      7.7058      5.0929      11.496      6.6814   0.0015278      10.032   0.0068098      5.4463    0.013477      8.4577     0.67438    0.018054      1.0567       5.389      5.2772      13.599      7.1479      12.759      3.0216       1.214   0.0003665      6.8052   0.0030651
      1.0185      10.178      7.2698      6.6409      5.2002      11.258      3.1222      7.1911      4.9077     0.18907      2.8138      7.3744      4.0059      9.6828      8.4077      4.7949      8.5979   0.0029885     0.43453       8.354      3.6158   0.0047846  0.00083888      8.2446      3.7406      0.3601
   0.0037899      11.013      2.4469      7.6854      6.1661      2.7552    0.053882      8.5619      2.5965      10.323      4.9167       2.628      6.1469      2.7441      11.767    0.042552      11.342     0.49584      10.785      7.3183      5.0645      7.8986      5.3464      4.5684      1.3048      12.215
      7.4416      6.7996      5.6256      4.7868      7.9182      3.0555      7.1345      9.5137      7.4256     0.94756      9.8905       10.55      6.0634     0.41497      2.9081      6.8465      11.265    0.012536      9.5322      8.2965     0.56634    0.027039]"
