,fold,sampler,pvalue,loss
0,ind,ClassOrderSampler,0.00022034530507459682,[ 2.3842e-07   0.0022648           0  3.4451e-05      5.4642  8.1062e-06   0.0018608  0.00018047     0.20308  3.1232e-05  0.00022123  4.7684e-07  5.9605e-07  3.5763e-07           0   0.0024283     0.77858     0.88825  0.00089248      1.8104]
0,ind,ClassOrderSampler,5.647581543021261e-08,[ 5.6623e-05      5.4058  1.7643e-05  2.2173e-05           0  2.3842e-07   0.0018393   2.861e-06  3.5763e-07  4.1723e-06           0     0.52402   0.0016564  4.7684e-07   0.0034613  0.00017784  5.6265e-05           0  2.9563e-05           0]
0,ind,ClassOrderSampler,2.2862977991030826e-07,[          0           0           0      2.1473      10.271  0.00012302      3.0019    0.011375  1.1921e-07     0.87198           0      5.0944    0.039402  2.6703e-05   0.0012497           0           0           0     0.26724   0.0010567]
0,ind,ClassOrderSampler,1.6017613611909112e-08,[ 9.5367e-07    0.045245    0.002449  0.00022766  4.6492e-06  4.7684e-07   0.0054442      5.2073           0  8.9999e-05           0      2.5897           0   0.0060229           0       3.666           0           0           0           0]
0,ind,ClassOrderSampler,1.9868479713127926e-06,[ 1.1921e-07     0.49479           0  2.5034e-06    0.099175  1.1921e-07  1.6689e-06  2.9802e-06           0   0.0043917  2.3842e-07  2.3842e-07       12.52  1.1921e-06     0.18573     0.23483    2.11e-05           0  0.00086687   0.0014246]
0,ind,ClassOrderSampler,5.11292919190944e-07,[    0.56574   0.0096739           0           0  1.1921e-07  4.8994e-05  1.1921e-07           0           0  8.3205e-05           0    0.016447  2.3842e-07      2.0696  1.4186e-05  0.00093202    0.084161           0   0.0012447     0.12839]
0,ind,ClassOrderSampler,2.4966747052348147e-07,[          0           0   0.0014666     0.10553  4.7684e-06  9.1791e-06  5.9605e-07  7.7006e-05           0  6.5682e-05  0.00090606           0      9.1279   0.0048734           0  8.6304e-05  5.0068e-06  0.00024149           0   2.265e-05]
0,ind,ClassOrderSampler,4.045591353033843e-09,[ 2.2173e-05   0.0001229           0  1.1921e-07           0  0.00033659           0      3.4544      5.4085    0.013782     0.21233      7.3578    0.056124      1.4968   0.0025463  1.6689e-06           0           0  4.4107e-06  1.4186e-05]
0,ind,ClassOrderSampler,3.1540297499658055e-07,[  2.265e-06      7.2869      6.6311  3.8265e-05     0.11343           0  2.9563e-05  0.00031454           0      2.0839  9.8943e-06  2.3484e-05           0    0.073037           0  3.6955e-06  8.3446e-07  1.1921e-07   0.0016647  3.9577e-05]
0,ind,ClassOrderSampler,0.0018140948486313553,[  0.0008895           0           0  3.2186e-06      7.8275     0.61383  0.00010776  1.2636e-05      14.233     0.13433           0  5.0068e-06   0.0010007    0.080184  7.0333e-06   0.0066527      1.1494   0.0013337  2.6703e-05      1.7675]
0,ind,ClassOrderSampler,2.1532005169093203e-07,[    0.30888      9.8561           0  1.5497e-06   0.0025789  4.6492e-06           0  2.1458e-06  0.00011455   1.061e-05           0           0  9.1791e-06  0.00028785           0      4.2743      6.1943  4.1603e-05  1.3828e-05  8.2254e-06]
0,ind,ClassOrderSampler,1.838366161567259e-05,[ 1.1921e-07   0.0003031    0.017116           0        2.67      6.7908  2.0266e-06           0           0      1.2769  4.8875e-05       4.832    0.056318           0    0.012727  3.9696e-05      2.9997  2.7418e-06           0    0.015182]
0,ind,ClassOrderSampler,0.00018647556980308372,[          0      4.6482  4.6252e-05   0.0075748      4.1365     0.31424           0  2.0027e-05  0.00014197   0.0021938           0      15.735  9.7151e-05  3.2186e-06      0.9854    0.021738      1.2219     0.93978  7.9509e-05  2.3126e-05]
0,ind,ClassOrderSampler,0.00025708672244182165,[   0.002963      1.0075  2.3842e-07      1.1434  7.0333e-06  3.2186e-05  0.00015997  4.6252e-05  5.2451e-05        4.32           0           0     0.28305  1.1921e-07    0.095453    0.074234   0.0042594      4.3282     0.01612  3.5763e-07]
0,ind,ClassOrderSampler,1.3817309069468388e-09,[ 7.5102e-06           0  1.7881e-06  1.5616e-05  0.00057776  0.00010168           0           0           0  1.5497e-06           0  4.7684e-07  1.5736e-05  0.00020144     0.02097           0           0  1.1921e-07     0.99708     0.18973]
0,ind,ClassOrderSampler,0.017764245120950855,[   0.086148     0.17841      1.1435      0.3621  1.9073e-06  6.8424e-05      1.3306  8.3446e-07     0.34433  7.2238e-05     0.12241    0.077201  0.00033778           0     0.16252           0    0.043448     0.62578     0.23927   2.265e-06]
0,ind,ClassOrderSampler,2.68511335629004e-07,[    0.15148  0.00011575   0.0077006           0           0           0    0.012418     0.26983       7.837   0.0030181           0     0.41381      2.7508  8.3446e-07  0.00037317  2.7418e-05           0      4.7069  0.00046445  1.9908e-05]
0,ind,ClassOrderSampler,2.033827514682441e-05,[      16.75           0           0     0.13057      1.8455  3.5763e-07      1.2147   0.0051296  0.00019393  2.9802e-06     0.20304      8.6347  1.4305e-06           0  1.1921e-06      0.8065           0           0           0    0.026647]
0,ind,ClassOrderSampler,1.09542212929763e-05,[  0.0034374  0.00061064  0.00050687  0.00033385  1.1921e-07    0.060135           0  5.2452e-06           0      3.7914  1.3351e-05      3.4846           0    0.034093     0.74001   0.0016076  0.00076991    0.016636   0.0007773  1.9073e-06]
0,ind,ClassOrderSampler,0.05919183198158067,[          0      1.4046   0.0001664    0.058265  7.2717e-06  0.00012123  1.3113e-06           0    0.072308  5.5073e-05     0.50935   0.0006303  0.00016473      7.2095      14.594      5.1174     0.25238      11.107      3.6339           0]
0,ind,ClassOrderSampler,0.0006312203227127858,[ 0.00036483   0.0011663    0.001459      3.7064  7.8556e-05      21.308      5.8763      2.7695    0.031372  7.7486e-06      3.2101      1.3376  8.4993e-05   0.0001074      7.1317  0.00048137      7.1598      11.163      3.5419  0.00010132]
0,ind,ClassOrderSampler,0.21516092018862512,[          0      3.7774      6.2246      9.1894  4.7684e-07       1.916      21.786      15.455      8.4897      9.6812      8.2422      10.119      12.945       3.702           0  9.6559e-06      4.8104       7.097      5.9481      3.9549]
0,ind,ClassOrderSampler,0.5044330509574981,[     1.4502      1.0923  2.3842e-07   0.0002776      8.0231  3.9339e-06      25.013  3.1232e-05     0.10083  5.9841e-05  3.5763e-07  0.00067914      4.5778     0.09798      5.2321  0.00016283     0.22643     0.39416      0.4563     0.53947]
0,ind,ClassOrderSampler,0.26993743671924514,[      7.171    0.037154      0.3103      6.2915       1.212      3.5041      30.469      2.5037    0.066428  8.3446e-07      10.643      3.7855      4.9095  2.0027e-05           0  0.00021694  0.00029488      2.7513      19.446           0]
0,ind,ClassOrderSampler,0.08531247600013442,[    0.12494    0.071675       10.89      0.5989     0.56262  5.9605e-07      25.414   0.0099077  0.00010871  0.00045397  1.7047e-05  0.00011896     1.8e-05     0.59901      6.7221     0.31349  1.5497e-06      17.003    0.015355      2.0586]
0,ind,ClassOrderSampler,0.009793777744219613,[     17.123      3.5723      9.6857     0.14991      8.2941  0.00011098      1.5263           0      8.4896           0  2.8967e-05           0      12.301      3.5303      16.363     0.36671      22.047  0.00025126      2.3315      7.6969]
0,ind,ClassOrderSampler,0.14727149856189012,[ 9.5367e-07  6.4373e-06     0.34582   0.0076718  3.5763e-07       1.617   0.0023128      3.2659      1.1241           0           0      5.2944      9.6935  2.3842e-07   0.0059357     0.11107           0      11.659     0.12732      15.755]
0,ind,ClassOrderSampler,0.09482806029887669,[    0.27543    0.030555           0       14.46       4.264     0.01139      5.1395           0           0       5.265     0.03339  8.3446e-07  4.9232e-05   2.861e-06  4.7684e-07  0.00085186      4.1785     0.10996      1.4363      1.3306]
0,ind,ClassOrderSampler,0.024620502966614905,[   0.011355      2.3401      12.645       15.39      3.4283   0.0024743  4.6133e-05     0.73647  1.1682e-05      7.3317       8.228      22.474      5.7095        9.06     0.11433  2.3842e-07      14.762   0.0020333     0.54375     0.22236]
0,ind,ClassOrderSampler,6.419903427190961e-05,[    0.37943    0.021639     0.33865   0.0014684  3.5763e-07  7.7245e-05      24.124  0.00032658      24.773       6.449  0.00070904      18.073    0.035427      3.6293     0.44838   0.0021636   0.0032066      7.7683  0.00072787           0]
0,ind,ClassOrderSampler,0.10601076975324315,[     3.3288  1.5497e-06      11.127      2.1233   0.0035836      10.038  2.8967e-05      11.926           0      1.6659      2.5877    3.91e-05  0.00031955     0.23271   0.0022717   0.0034383      7.1806  5.9722e-05      14.861   0.0017184]
0,ind,ClassOrderSampler,0.11132879502924735,[ 0.00021014      16.178      3.6393           0  2.7656e-05      7.8441  1.4782e-05      10.147    0.065613   0.0060465      3.3936      0.0185     0.72371     0.12871     0.58434      10.348  3.3736e-05  3.6954e-05   0.0012608    0.041763]
0,ind,ClassOrderSampler,0.006048266258381892,[     10.309      5.7918      8.6501      8.1173   0.0022567      5.3651  3.4571e-06  0.00017391      5.8008       7.565  0.00015103   0.0083638      1.3269           0  1.1921e-07       8.534    0.007275      0.4146   0.0017412  6.4373e-06]
0,ind,ClassOrderSampler,0.30138452679662947,[     7.8041      12.472      6.4502     0.13695      4.3082           0      2.0969   6.151e-05      2.9861  0.00035959     0.53549  0.00056001  9.7751e-06      4.2623      18.619       1.006    0.023175      20.297      3.7295      3.1627]
0,ind,ClassOrderSampler,0.06941971375167141,[     3.3348      13.097   0.0011633    0.010979     0.18708       2.024      8.2543  7.1526e-07    0.014171    0.064666      2.5526  6.1989e-06      3.9517  1.1921e-07      3.2476    0.075394      5.0052     0.10505      3.5437      6.8908]
0,ind,ClassOrderSampler,0.002974556797735491,[ 4.8279e-05     0.12543  0.00081351       19.79      19.232           0    0.013035    0.027642      14.705      4.8003  4.4583e-05    0.031173     0.41817      7.7608      1.2617           0  1.9193e-05     0.10134      2.4585  0.00012731]
0,ind,ClassOrderSampler,0.09456043561035192,[     15.056      1.0607      14.233     0.69452      17.094      6.0109      2.4114      7.6057      22.517  0.00022218      2.0601     0.41849           0   0.0016492      4.8188      19.178      11.896      3.3182      5.9542  1.1921e-07]
0,ind,ClassOrderSampler,0.5508232479624077,[     15.648           0      9.0575      11.465     0.46136  2.4199e-05    0.032644     0.06553      7.1084           0    0.070669   0.0003634      7.2919      5.1643    0.014727  1.2278e-05      4.6052      18.023      9.4927   0.0088906]
0,ind,ClassOrderSampler,0.10297152837513988,[ 0.00065055  0.00069785      1.0645  3.2186e-06      4.5261     0.32872  0.00069665      15.201      10.208      4.7391     0.33655      3.5381     0.33231      1.6291    0.068634       11.23      9.1949       2.837  0.00034946      11.981]
0,ind,ClassOrderSampler,0.2525195154800111,[     9.3483  0.00031681           0           0           0  0.00019894      7.7797  0.00062279  7.3909e-06    0.011365  1.1921e-06      4.9826      7.0383     0.16087  4.8875e-05       10.22      2.8266    0.022038           0  0.00044074]
0,ind,ClassOrderSampler,0.8356482560771412,[          0      5.2011      7.8424           0    0.086036           0  5.4716e-05      12.052  2.1458e-06      3.7611  2.3842e-07      7.3142      4.9743  7.7486e-06      2.8585       1.056     0.18064           0  0.00027605  0.00073787]
0,ind,ClassOrderSampler,0.617658685788449,[ 1.1921e-07  0.00050246   0.0065062           0       12.67      1.1605      2.7874     0.71178      1.7238  8.4993e-05   0.0011763           0  1.1921e-06    0.001124  0.00075383      20.932  1.3232e-05  8.2251e-05           0      16.595]
0,ind,ClassOrderSampler,0.030527503486500483,[   0.020182  0.00015281  5.9605e-07    0.012642  2.3842e-07   0.0041604  2.3842e-07           0   0.0084003     0.36171  7.0333e-06    0.015442  0.00076336  7.0333e-06  0.00034148      1.9797           0  8.7257e-05  0.00041154       13.72]
0,ind,ClassOrderSampler,0.23904782682303477,[          0           0  0.00014829      9.6379           0      1.4233  1.9193e-05  1.1921e-07           0  2.3842e-07   0.0020633  0.00011312     0.74055    0.047204      16.035     0.27723           0  1.1921e-07  4.7684e-07  0.00020836]
0,ind,ClassOrderSampler,0.19618961389475906,[ 2.3842e-07           0           0           0      8.2759    0.040737      32.177    0.056986      3.6662           0  1.1563e-05     0.03611      1.5482     0.85504    0.068247   0.0019967    0.033101    0.021848   0.0020557           0]
0,ind,ClassOrderSampler,0.4470878746538915,[     2.3173    0.016745      1.3738           0   0.0015352      4.1261     0.41622  5.9604e-06           0     1.8e-05           0  1.6451e-05     0.24169      1.8472      1.7585      2.7709  2.7418e-06     0.42713  2.0385e-05     0.97755]
0,ind,ClassOrderSampler,0.30700289720290097,[ 0.00025043      1.7131  2.1577e-05           0     0.48866  2.0504e-05           0        11.4      9.6487     0.30489  3.3379e-06     0.19417   0.0016271      2.3662     0.52246      2.9269      11.063      9.0105      7.5158      9.5269]
0,ind,ClassOrderSampler,0.7399095248775006,[          0      6.2421      13.196   0.0059178      1.6466   4.065e-05           0      12.445     0.71695       6.618  0.00021908  5.9605e-07    0.010076     0.15868    0.012873    0.012166   0.0039619      27.779      19.278  4.2915e-06]
0,ind,ClassOrderSampler,0.5269140730135484,[ 0.00013732   0.0083408      8.6988    0.034887      9.2212   0.0003404  2.3842e-07      26.853     0.19514   0.0031449           0  9.5367e-07      8.1842           0      0.1204  4.1484e-05      18.418     0.10725  1.6689e-06   0.0023302]
0,ind,ClassOrderSampler,0.2503110197800515,[     17.537    0.094499  7.1526e-07   0.0019468     0.44021      6.6919           0  3.5763e-07           0   0.0024001      2.6856      2.0058      2.6145    0.032731     0.23057     0.15485   0.0031784    0.013432    0.035213  5.0068e-06]
0,ind,ClassOrderSampler,0.9354402741454484,[ 9.5367e-07           0   0.0012826      5.1371     0.22408    0.001172   0.0045966   0.0011635           0     0.68656      21.366      10.705    0.005534           0      2.7282      1.4715  4.5299e-06      8.6941   5.722e-06           0]
0,ind,ClassOrderSampler,0.9231708671754782,[ 3.5763e-07     0.36499      1.9234   0.0044638      7.4893      13.431  5.9604e-06      11.157  8.4638e-06  3.5763e-07           0    0.014643           0           0  3.4571e-06      2.5766     0.10785      0.1893      7.2644      4.6094]
0,ind,ClassOrderSampler,0.0022890209823548755,[ 1.0371e-05  0.00025484      2.8403           0           0   0.0030888           0      2.3015           0     0.32575    0.043516           0  1.0729e-06  1.3232e-05   0.0060532    0.092298  3.2186e-06     0.23337    0.010378      24.902]
