,ind_dataset,ood_dataset,rep_model,sample_size,vanilla_p,kn_p,loss
0,cifar100,cifar100_0.0,Wrapped,100,9.965720787843311e-22,0.016604826009144452,7.671466427820269
1,cifar100,cifar100_0.0,Wrapped,100,2.099276905425246e-13,0.02883503827570163,5.97052453139855
2,cifar100,cifar100_0.0,Wrapped,100,2.223533944287243e-31,0.032068017514261284,7.818525663597975
3,cifar100,cifar100_0.0,Wrapped,100,1.229800457311823e-35,0.05895422140436825,7.953800393579513
4,cifar100,cifar100_0.0,Wrapped,100,3.2351047530785146e-89,0.013188183980475807,2.1338649024169083
5,cifar100,cifar100_0.0,Wrapped,100,5.84216301929523e-81,0.002948022173855442,1.8080124159397384
6,cifar100,cifar100_0.0,Wrapped,100,2.5836579484423346e-22,0.023218438292161275,3.24671588752637
7,cifar100,cifar100_0.0,Wrapped,100,5.924479792545627e-14,0.008182925625578114,7.969176560818159
8,cifar100,cifar100_0.0,Wrapped,100,7.537998313995055e-20,0.009239025221501678,8.019887472157388
9,cifar100,cifar100_0.0,Wrapped,100,7.4095280679462835e-53,0.07143654944636102,4.546619431544531
10,cifar100,cifar100_0.0,Wrapped,100,4.680386926603876e-25,0.0483882228069963,6.146806000617508
11,cifar100,cifar100_0.0,Wrapped,100,5.800003813621178e-26,0.0009715963032051572,5.376284921204205
12,cifar100,cifar100_0.0,Wrapped,100,3.8877404872710034e-22,0.0038369748542590085,5.527877329064358
13,cifar100,cifar100_0.0,Wrapped,100,1.2641845904376534e-26,0.005638388773359207,5.1274148583784696
14,cifar100,cifar100_0.0,Wrapped,100,3.057980143588396e-36,0.016604826009144452,4.736853376980871
15,cifar100,cifar100_0.0,Wrapped,100,1.2475173135557815e-38,0.020791997193519672,5.832784890533585
16,cifar100,cifar100_0.0,Wrapped,100,1.0732837813234889e-33,0.0008404203989428429,8.984220340530065
17,cifar100,cifar100_0.0,Wrapped,100,1.7234181953811055e-30,0.018593599293376836,4.3188175326492635
18,cifar100,cifar100_0.0,Wrapped,100,3.0498871493050634e-23,0.032068017514261284,3.024653083021606
19,cifar100,cifar100_0.0,Wrapped,100,1.6761169691372367e-49,0.039499619549488454,3.6854375176335634
20,cifar100,cifar100_0.0,Wrapped,100,2.71054039991532e-18,0.010417041646170072,7.073770684152842
21,cifar100,cifar100_0.0,Wrapped,100,4.7543657821179535e-26,0.05895422140436825,6.4942059149337
22,cifar100,cifar100_0.0,Wrapped,100,1.0554891280802221e-27,0.007237544452751682,4.478890459450977
23,cifar100,cifar100_0.0,Wrapped,100,1.8195722869553705e-23,0.0003984689654652551,6.574727716585621
24,cifar100,cifar100_0.0,Wrapped,100,1.5959299302553017e-36,0.0014886846887501536,7.375200842446648
25,cifar100,cifar100_0.0,Wrapped,100,3.5759902500817104e-43,0.05344703231951623,2.881244913898408
26,cifar100,cifar100_0.0,Wrapped,100,1.2466107089845195e-24,0.035614712633158394,3.2231144737964494
27,cifar100,cifar100_0.0,Wrapped,100,2.001020428953785e-66,0.011729077340633958,3.0113560532858537
28,cifar100,cifar100_0.0,Wrapped,100,1.7851344168997548e-31,0.032068017514261284,4.906889475155039
29,cifar100,cifar100_0.0,Wrapped,100,2.7965389253527063e-18,0.010417041646170072,4.038399838162077
30,cifar100,cifar100_0.0,Wrapped,100,4.528032521171643e-39,0.0022524542887572296,5.35745553392575
31,cifar100,cifar100_0.0,Wrapped,100,8.374937412016419e-26,0.0009715963032051572,7.523453036360443
32,cifar100,cifar100_0.0,Wrapped,100,1.8697505082456873e-36,0.006392541507766507,5.234377388544817
33,cifar100,cifar100_0.0,Wrapped,100,3.970217273216837e-18,0.025892518939781218,4.26122515581913
34,cifar100,cifar100_0.0,Wrapped,100,3.448867376979261e-12,0.009239025221501678,5.61136945810169
35,cifar100,cifar100_0.0,Wrapped,100,4.6116394113932785e-14,0.009239025221501678,4.516845833309926
36,cifar100,cifar100_0.0,Wrapped,100,1.5492530372320392e-17,0.001711433685181948,4.2479675299488004
37,cifar100,cifar100_0.0,Wrapped,100,2.0723531779796176e-22,0.032068017514261284,4.354148391421648
38,cifar100,cifar100_0.0,Wrapped,100,7.778784476554833e-18,2.8832977476987865e-05,5.074204294535943
39,cifar100,cifar100_0.0,Wrapped,100,2.0187589265742386e-45,0.020791997193519672,4.281501744882262
40,cifar100,cifar100_0.0,Wrapped,100,2.8495880151522565e-55,0.006392541507766507,1.3999653527532745
41,cifar100,cifar100_0.0,Wrapped,100,1.0323980155081622e-54,6.758995110591544e-06,5.565388277731836
42,cifar100,cifar100_0.0,Wrapped,100,1.2766906380367349e-26,0.00336559330702058,5.597853447347879
43,cifar100,cifar100_0.0,Wrapped,100,1.4463917833019141e-13,0.0012931184410822332,6.083072294736922
44,cifar100,cifar100_0.0,Wrapped,100,6.517554675400043e-50,0.0009715963032051572,5.656731272228644
45,cifar100,cifar100_0.0,Wrapped,100,2.3229445413625954e-26,0.004368308046293661,3.060571860434211
46,cifar100,cifar100_0.0,Wrapped,100,1.7012061790946536e-46,0.025892518939781218,2.458469596884336
