,fold,sampler,pvalue,loss
0,ind,ClassOrderSampler,0.07606181106560896,"[     5.6262      2.8731      4.5213      10.214     0.56691     0.71561      3.7392       2.571      1.3542      1.2047      4.5084        12.6      5.4834      7.2978      4.0194      6.7052      6.6768       12.01      1.8991    0.034696       1.493      6.9754       2.383    0.026372      3.6546    0.010482
       6.216     0.86375      7.9281     0.12109     0.94612      9.5469      4.0859      1.4222      1.6943      3.3267       2.813      6.0669      2.7053     0.28622     0.10972     0.81462    0.016257      4.5648      8.7849      4.4933      1.9383      0.1719      1.3247       9.955]"
0,ind,ClassOrderSampler,0.637899203693037,"[      3.625     0.25599       7.437      3.8463      4.2156     0.37236      10.624      5.3989      18.491      4.8353     0.51724      7.9112      7.7797      3.0375      11.328    0.013794      10.068      3.8002      11.116     0.51085      2.9174      16.975  0.00033027     0.71647      9.7532    0.046883
      7.2523      7.0796       9.763      6.5426      7.2152      4.8846      11.647      4.3007      9.6221      5.0333      10.399      6.9765      5.3988      2.7809       1.257      7.8729      9.7623      6.1325      6.0179      4.0771      4.3089      1.5071      5.3526      6.9593]"
0,ind,ClassOrderSampler,0.0766156292830643,"[     10.227      14.205      1.5018      3.2349      12.486      1.4759      3.1321     0.95994      7.9133      4.2373     0.19251     0.14107      2.5864      3.7275      7.6541      1.8184      1.4711      6.0461     0.60327      10.616   0.0037663      7.1843      5.4733      3.2061     0.61783      0.4165
    0.006592      3.6652      3.2283      8.9551      8.4707       4.819      3.2111      2.7662      6.6177       4.025       1.042      2.6913      2.0797     0.12052     0.39891    0.002799      1.2158      6.4206     0.85187     0.40929      2.1235      4.1308    0.013587        3.42]"
0,ind,ClassOrderSampler,0.40786917213656493,"[    0.44796    0.014952      2.6245      2.2819      4.1831     0.79352       7.315     0.34849     0.18739      2.0258      2.6726     0.42067      9.8223      8.1542      10.248      9.3955        7.49      4.6433       7.187      2.3602      13.354      5.1231      4.0705      9.6246       5.366      9.4392
      8.5463      6.8551      4.7034      5.0664      7.0189       2.898      10.242      4.0543      8.1509      14.069      4.6653      11.716       11.31     0.30291      12.817      4.3282      11.135      12.349      7.4172      15.544       13.87      1.8101        6.17      6.5551]"
0,ind,ClassOrderSampler,0.00048658533133550346,"[     8.7089      10.056      11.912      17.187      10.368      11.381      5.8515       5.065      9.7749      11.936      11.589      7.8752      5.3697      10.997      13.436      11.765      15.555      14.689      11.352      10.254      14.185      10.225      12.932      13.764       9.066      8.9876
      9.8744      11.036      10.717      10.912       14.38      14.869      7.0077      17.244      7.7073      9.7874      19.839      15.192      5.2748      8.5542      15.201      6.7853      4.2675      16.438      5.0006      12.788      11.757      10.612      5.8563      14.329]"
0,ind,ClassOrderSampler,0.02015943582799176,"[       10.4      9.7825      10.971      9.8405        5.41       10.72      14.409      12.587      15.187      3.6952      1.7067     0.55288    0.037718   0.0025062      1.6251      3.8355      1.2656      1.9175   0.0048349      9.8757    0.041625      5.3378       10.14      6.7128    0.018638      14.481
    0.029845     0.89254      3.0008     0.25906       6.674      3.1059       2.329      12.131      2.3392    0.082657      7.4591      7.4779      2.5649        14.7    0.067873  7.2953e-05      6.4467      6.0289     0.19968      14.463      5.5467     0.71303      1.2637   0.0087206]"
0,ind,ClassOrderSampler,0.9094428200718482,"[     3.5082    0.045985    0.021566       1.621     0.25852     0.67328      10.339      2.5222      9.4448   0.0031907      7.9894       14.28      3.2031      7.1957      5.1903       11.76     0.92395       6.502      5.8695       5.408      10.221      2.7346      7.0814      14.257      3.4707       12.44
      2.5662      9.7534      7.0033       7.346       15.97      9.0104       6.249      9.5235      1.9663      2.0215      4.2367      14.756      7.2579      5.4897      2.8945      6.4401      2.3959       5.683      2.0842      6.5951      4.4162      12.823      11.197      3.5856]"
0,ind,ClassOrderSampler,0.8065787709836406,"[     6.4021          12    0.075348      8.7093      9.5156      9.5175      10.235        10.5      3.1072      7.0865        10.4      11.021      15.432     0.13247      12.528      10.387      6.6829      9.8737      16.212      6.3739      2.4651      3.8207      6.8387      11.385      11.764      7.3644
      7.8453       10.03      0.3541      8.8751     0.26828      5.8057     0.67365      2.5676      6.5516       10.45      2.9894     0.63818       7.776      9.7935      12.893      9.9519      8.4094      7.0054       2.355    0.019558      5.9406     0.41746      8.3261      10.145]"
0,ind,ClassOrderSampler,0.2414558148286808,"[     3.3914      9.6624      9.7163      2.4235    0.085206      2.2199      1.3657     0.20716      5.3161     0.86912      2.0946      3.0423      0.1159  0.00075979    0.069966      2.5172  0.00076777    0.010073    0.007485      2.1998  0.00014101   0.0012508    0.027349       9.675      1.5581     0.33036
    0.020884   0.0058199    0.015547     0.10041   0.0040098    0.032169   0.0032523   0.0025764    0.022461  0.00086294      1.4435   0.0020287     0.68527      1.5734      0.4217      1.0609   0.0032833    0.027265     0.29181      1.6569     0.95904    0.049859   0.0026918      9.7154]"
0,ind,ClassOrderSampler,0.004815640160906712,"[    0.01595     0.12299      3.0668  0.00065556      2.0028      2.2517      7.6633     0.54344   0.0014835   0.0011696  7.2953e-05     1.8e-05   0.0034923      2.0143   0.0021957  5.8292e-05  1.6212e-05      3.1501    0.047776   0.0097413  0.00019465    0.031448   0.0002403    0.054647     0.17567     0.83555
    0.013868     0.54478  0.00068558  0.00023291    0.086575    0.017295   0.0026803   0.0013528   0.0048389   0.0020546    0.017629       1.394  0.00027939     0.52247   0.0041449     0.34162      5.2282      11.288     0.28035   0.0018208    0.010167      5.6368  0.00050818      5.0251]"
