,fold,sampler,pvalue,loss
0,ind,ClassOrderSampler,0.25521151989298524,"[     0.1719       6.216      4.5084     0.81462      9.5469      1.1899    0.019099      10.436     0.08694     0.10972     0.94612     0.25599     0.72365       3.625       1.493      10.574      4.5213    0.021558      5.7945       9.955      3.7392     0.21291      6.7987    0.010482       12.01      3.8093
      2.8731     0.17536      7.9709      8.4006     0.30052      1.0284      1.1324      11.626      1.6406      10.214      5.4834       7.437     0.46985      4.0194      4.8162     0.44398      3.8463      5.0718     0.20216      4.4933      4.0859      1.2047        12.6      3.6546      1.9383     0.12109
      6.9289     0.29347      7.3472     0.95994      1.7688     0.51085      4.8846     0.71647      4.0771      10.068      3.0375      9.7623      2.7112      5.0333      11.328      5.9199      7.7797      5.3989      1.0635     0.18203      6.9593      11.647      6.1325      10.227      2.9174      9.6221
      2.8964      4.2373      12.486      4.3089      3.1484      10.185      11.116     0.37236      10.624      10.964      7.9133   0.0095951      1.1009     0.19251      3.8002      8.7521      7.5913      4.5397      7.8324      4.3007      5.3526      8.5426]"
0,ind,ClassOrderSampler,0.07535875432684895,"[     3.7633      4.3498      3.2514      7.2523      3.2349      0.4165     0.07495     0.61783    0.014952   0.0023289     0.61938      2.5864   0.0037663      3.1755      1.4711        3.42      3.6652      7.0423      1.8184    0.013587    0.017103      3.2061      1.7738     0.18739      4.0849     0.16552
      2.6245      2.2819    0.002799      3.0583       7.315      9.7331     0.34849      3.7275      3.2657     0.77396      2.0222      4.1831      4.5915      2.5523     0.60327      9.4392      5.4935      4.6433   0.0035537      7.4172      18.343      11.934      5.4072      12.817      6.5419      10.242
      1.8101      4.8136      10.317      4.7034       6.454      5.8515      11.589      6.6975      5.1231      20.108      8.1542      8.7089      4.3282       13.87      12.565      11.381      10.056      14.251      9.6516        7.49      8.5463       10.26      6.8918      15.544      14.832      2.3602
      6.5654       5.366       12.34      11.912      9.3955      5.0664      11.716      8.3687       5.065      11.062      16.969      14.689      9.8744      15.192      15.201      8.9876      6.3593      8.8599      10.258      9.0128      12.088      10.225]"
0,ind,ClassOrderSampler,0.0021486294430076427,"[     5.2748      11.738      6.1551      17.433      9.6764      10.612      11.352      13.336      19.839      10.697      6.7853      7.0077      13.436        10.4      12.587      9.8405      12.932      15.187       12.26       13.55      10.997      10.459      5.4571      11.778      4.2675       10.72
      10.912        5.41      14.827       14.54      14.329       13.09      7.7073      14.185      14.409      7.8775      5.1351      1.9773      10.339      4.4215      9.8757      3.8391    0.035893      7.3374    0.021566     0.26677      2.3518      1.9175      3.5082      5.0034    0.029845   0.0048349
      12.429   0.0017637    0.018638     0.28186      14.481   0.0080948  0.00020144      4.1647       1.621     0.55904       6.503       2.329      2.8916      7.4779      6.4793      1.6251      0.3369      1.7067      1.0558     0.25852      2.5222      5.5872     0.91983      7.5726      7.4591    0.082657
    0.045985      5.2896     0.67328   0.0010523      4.2275       13.28       5.683      14.257      5.8695      5.4255      8.4835      11.197      4.7107      7.5602      8.5255       5.408       11.76      4.2367      5.0323      3.4707      11.241       15.97]"
0,ind,ClassOrderSampler,0.4754246758794529,"[     5.1903   0.0031907      10.995      8.9335      2.0215      4.8855      4.4255      7.9007      7.2579      8.1261      2.8945      6.2776      6.2836      14.756      6.6072      7.6068      7.0478      2.6159      3.8021      7.1656      9.0104       12.44      8.1573      3.4179      7.1957      7.9894
      9.9943      1.9663      10.534      7.4984      9.5235      7.2739      7.0033      2.9007       11.63      6.3015       6.502      3.5856      6.4401      2.5662      3.4925      6.5832      3.2031      5.6647      7.7433      9.8737      1.3639      9.6624      10.503    0.019558      6.4021     0.55554
      4.6797      12.528      7.3644     0.63818       8.655       2.355      5.1789      3.3914      7.7194       10.03      7.0865      1.3034      10.387       10.45        10.5     0.67365      1.0537      3.1072      0.3541      9.3058          12      4.3689    0.075348      5.8991      3.8207      6.3739
      8.8751      8.0871      9.7935      2.4651      6.5048      6.8387      13.075      5.2022      2.6232      11.228      5.5879      10.168      6.5516      8.5973      3.8892      2.0155      8.3261      10.136      4.4981      7.8453      3.0717    0.007485]"
0,ind,ClassOrderSampler,0.007416423266897669,"[      8.118   0.0018299      1.0609      1.5581      10.929      1.5734      2.4235     0.20716      1.6569      2.0946   0.0026918      0.3231   0.0041448      9.7518   0.0084156   0.0040098      3.8554      2.5172  6.7589e-05    0.085206   0.0025764   0.0002509   0.0032523      6.7819      2.1998      9.7154
  0.00040058     0.07154       0.777      0.1159      1.4435     0.29181      2.9837     0.95904      7.7194     0.01595      0.4217    0.015208  0.00039772   0.0015469   0.0083451  0.00066413    0.093956      5.6368   0.0013528    0.017295  0.00074037   0.0014835    0.047776   0.0014632   0.0021102  0.00065556
  0.00092845  0.00038545      1.7057   0.0097413  1.6212e-05      1.3114      7.6633  0.00066568    0.086575    0.054647      3.9612   0.0011766           0      1.2485    0.017629  0.00026985      5.0226     0.83555      2.2517      7.9534           0   0.0093731     1.8e-05     0.17298   0.0097938   0.0021957
  7.2953e-05  0.00050818  0.00019465      2.0028   0.0020546  5.8292e-05    0.002998      2.0143      6.9274       10.04      3.4525     0.39252     0.23425        12.9      2.8359       1.054      6.3785     0.54022     0.56038      2.5027      3.7142      1.2495]"
0,ind,ClassOrderSampler,0.5640745328108233,"[  0.0022962      5.9799      2.6468  0.00058121      7.7487      1.6707      4.8223     0.26645     0.22666      1.7245     0.13049    0.012583      4.1863      8.9546      3.7647      12.474     0.19033    0.046492       6.501    0.028332      6.0741      2.9293      3.9448      4.4913     0.29646     0.82358
   0.0016093    0.090515   0.0013534      3.2785     0.37097      3.9696      1.4218       10.56      2.2511      2.9897       4.467      1.6333      6.0303      4.1845      1.2673      2.9377      6.3334      7.4755       5.087      9.6601      2.2787      3.5009      6.5785      2.8922      7.8496      4.8402
       1.456      7.4783      12.861      3.5799      9.1522      6.6604      3.6816      5.3046      1.8946      6.8739     0.84232      2.0502      4.9232      2.6595      4.9543     0.83231      3.4607      1.5382      16.514      2.9928      3.1532      2.9415      4.9773      7.9591      8.6043      6.4797
      3.5142      5.9759      6.7435      4.2775      7.8488     0.10775      14.624      8.8714       8.887      7.0716      4.4868      11.534      7.4249      8.0038        10.5      4.0957    0.083302      2.2249      10.552      4.7515      7.0308      10.156]"
0,ind,ClassOrderSampler,0.024529765072065515,"[     3.5096    0.015648      4.7123      4.9848      10.773      1.9182      2.1498       5.316      2.3592      8.0227    0.014019      5.0184      2.0775      4.1685      2.6285      8.3134      3.7108      2.4521     0.33322      9.5515      8.7522      11.517     0.76134      3.1224      3.4072       8.521
      13.636      1.2502       7.595      2.5842      1.8581      8.3324       13.63      8.9274      4.0096      7.5867      11.359      13.414      8.8926     0.91099      11.098      8.2316      7.7227      3.2971      4.5773     0.68577      9.9272      7.4222      5.8954      10.262      9.4431      2.6941
      6.2744    0.080386      11.344     0.25588      7.1455      7.4511      0.2695      8.3492      6.5939      6.2658      4.5176      7.8013    0.014281      3.4139      11.642      10.439      6.0049     0.26838      8.9403      7.3991      8.3639      8.2708      8.2714     0.47309      9.3844      11.626
      19.528     0.94302      11.511      2.0535      10.604      11.392      8.2208      4.1677     0.71445     0.75393      8.1433      12.052      4.9563      6.3678      2.2519      4.6441      16.298      4.0617      2.6284      9.9484      4.5703      5.2473]"
0,ind,ClassOrderSampler,0.31956040777850914,"[     11.073       9.783      13.452      9.8042      3.2544      3.9432      8.2792   0.0042629      1.6388      7.4515      1.5101        11.5      4.0278      10.981      10.063      3.3361     0.65189      7.6388      10.703      4.1271      5.1331      5.0913      11.089      15.531      10.291      8.6613
      5.1234      6.0318      7.6202      10.433     0.75955     0.34558      8.8085      1.2032      12.885      9.8262      12.054      2.8577      14.194      7.3154      9.3356      10.573       9.538      5.7586  0.00037306     0.30495      2.6376      7.7052      8.0831      4.2919      4.0681    0.035939
      13.268     0.01788      2.9071     0.46037      9.3172       3.126      1.6384      0.7237       10.74      1.1262      3.2953      6.0953      8.8705   0.0054307        12.7      11.011      5.4153      4.0289      2.4793       14.96      9.5834      12.078      7.7332      1.2116       1.033      1.0322
    0.048812     0.60534      7.1451      9.6505      11.994      2.5175      1.9648      12.113      4.1811        8.73      7.4983      1.6626      10.017      9.9524      4.2248      7.0539      2.6691      1.1965     0.32141      4.8286      1.1746      1.7911]"
0,ind,ClassOrderSampler,0.0029210857452600597,"[    0.15885  0.00035256      3.8445     0.66317     0.62649      6.3299      5.8575    0.074629    0.053536      6.7701       3.573     0.10547       8.794      9.1641      7.6612   0.0027553     0.21765      12.763    0.083906      1.3222     0.98692      1.4327      7.6203      6.8321     0.50848     0.27551
      5.5475      4.2597     0.41442      1.0021    0.027745      5.4068      7.0794    0.058305    0.058782  0.00041524     0.37771      3.2574      1.7661      3.2042     0.13648     0.57196      2.2621     0.11264      6.9514      2.7974      2.6779      7.5725      8.6261      1.6154      7.1681      4.3679
      10.354    0.048848     0.86445     0.51772      2.7649      4.2167      10.786     0.62041      7.1528      7.6838      4.1388     0.29673       9.005      4.0835      6.4024      8.4284      8.6765    0.010802      4.0148       2.758      1.9618       7.003      1.0912      6.4963      6.5479      1.7863
       4.915      6.5088     0.60082      6.5492      4.9165      6.9878      4.2264      8.7108      5.0848      6.4983      3.2243     0.91447     0.56158      4.5381      9.4541     0.61779     0.35359      4.9208      3.0603      5.8172    0.020374      2.5401]"
0,ind,ClassOrderSampler,0.3030844707028626,"[     14.031      1.8906    0.061293      3.6486     0.66238     0.26703      2.3072      5.0673     0.28191      3.3001      14.248      11.579   0.0027793      5.8609  0.00030048      11.139           4      7.0704      6.4144      0.2948      5.1077      10.127      6.6647      6.4647      1.4716      7.6962
      5.9543      8.8963      5.6908     0.13172     0.53683     0.25609      14.003      4.9834   0.0040934      8.4335      7.4276      3.4957   0.0051977       5.261      7.1799      10.734      10.424      6.7184      5.1739       7.366      5.9159      7.3235   0.0043933      4.6564      9.5737     0.18188
      5.1253      4.1334      8.1084      5.7647      5.3985      3.6344      3.6533      10.338      6.9461      6.1314      4.1776      9.7606       4.211      7.2705      8.9649      4.4062      18.853     0.22064      6.1681   0.0068362      12.641      5.0415      6.0633     0.39343      3.3311      5.0909
      3.0562      5.9022      9.1575      8.5256      8.0493      6.0117      9.5621      9.6745       10.37      6.3698      6.0325      9.6976      5.1818     0.98528       6.832      7.9248      3.6411      11.423      7.8893      6.7128      15.015      7.0494]"
