,fold,sampler,pvalue,loss
0,ind,ClassOrderSampler,0.46332194800902726,"[  0.0032898  0.00063149       2.338      0.8038      1.3717     0.06979      5.0117      4.6602      4.0173  0.00011813    0.023213      2.1549  3.5763e-06      2.3875    0.013869    0.030073     0.16988      1.3611      3.0946     0.37483      2.5115      4.6652      3.2409    0.080595      4.4591  7.2596e-05
  9.9535e-05      5.7053   0.0015354     0.23955       8.615  0.00095274     0.89793    0.028865  7.0333e-06      2.0332  0.00017689    0.040241     0.13994   0.0017489    5.71e-05      3.7404   0.0064899    0.075224   1.061e-05      2.7547  0.00016604   0.0042986      8.4246   0.0017823      0.1518      3.9684
      1.5126      5.3449     0.89828     0.26415     0.19103     0.02665      1.0414  0.00043681  0.00016914   0.0010422      1.7909      4.4452    0.037821     0.37138      4.3931  8.3085e-05   3.314e-05      2.3577  0.00027402      2.7169    0.022104  0.00085508      5.7009      3.1511       5.585      3.4556
   0.0094862  0.00014817   0.0017074    0.036286     0.13097      5.0035      5.6176    0.004533      3.0572      5.2059  7.6887e-05       5.045      3.9949      8.6002      1.9411     0.47265     0.49367   7.987e-06      3.5362  0.00010097      2.6376      2.8869]"
0,ind,ClassOrderSampler,0.5203675786821806,"[ 2.9802e-06    0.022365      3.2672     0.53368   0.0039726    0.069954     0.01623     0.71154      4.4438   0.0040512   2.861e-06        1.82     0.56005     0.65115  1.6332e-05       4.043  0.00080934     0.99241      1.3225       5.445      1.2991      5.1327       6.109      2.9557      0.2527       7.882
   0.0080196     0.34209  7.6294e-06      8.4303    0.025894      5.2433      1.1003      4.5338     0.12851      2.1651     0.22538   0.0019124   0.0032962   0.0013821  0.00013279   0.0051796      4.9969     0.11063   0.0010104      2.0721     0.11049   0.0062235    0.066955     0.06079  0.00054011   0.0019747
    0.023616     0.10641      3.4099      6.5677  2.3722e-05    0.040803     0.27289      1.8202       2.123      8.1774      2.6117  8.7019e-05     0.50349     0.14792       12.44     0.42219      1.6293      5.2635      2.1127     0.10373      1.0126      10.016      1.8264    0.012728      7.1584     0.37127
       2.547    0.010131     0.24683   0.0061415      6.0234      7.7215      1.2114     0.53684    0.021115      3.9878    0.013735    0.013472     0.53453  0.00015389     0.14172      1.1165      3.8178   0.0041176      4.2677     0.22685       1.272   0.0040501]"
0,ind,ClassOrderSampler,0.791837570209753,"[     4.5714      2.4893     0.73871      0.0003      1.7587      1.3064  0.00026044  3.5763e-07   6.306e-05      2.6497    0.053741     0.43856    0.092788       2.131      0.6323      1.5983     0.15823      2.3065    0.031261      8.3344      3.6623  4.4107e-06     0.81034      6.6882      4.2237     0.19983
      1.0515     0.21127    0.014128      0.7141      0.1997      8.6291      1.0243      4.0031  0.00014411    0.072202     0.24428      4.2249  0.00047077       3.672     0.45107      2.6418        8.09      1.4729     0.06684      5.7754      4.9665      1.2516      3.2502    0.049647     0.11112      4.7336
       2.992     0.39617     0.06069     0.60535     0.18822   0.0049007      8.9754      2.1548     0.12482   0.0031149  3.8742e-05  3.6597e-05     0.24465       0.634      0.3865      4.2481      5.9054      2.2227      1.1217      4.6216      1.1589   0.0073679     0.59624   0.0017463  8.9165e-05      5.3979
   0.0021125      3.1788     0.31137  1.5855e-05      6.0389   0.0024036       4.242      3.9234   0.0041609   0.0060084  0.00024828     0.58026    0.023828     0.94704      1.0208      1.3953      1.2754     0.57044   0.0075733      3.7535       4.852    0.019391]"
0,ind,ClassOrderSampler,0.46332194800902726,"[     0.9524    0.020829      3.8727      6.2434   0.0061901     0.11092      7.3007  0.00048232      3.5568       2.086      3.7089      3.1349  0.00080458      3.6328    0.055679  3.2782e-05       5.547    0.081957  0.00040463      1.9708  5.2452e-06  0.00040726     0.25589     0.88747  0.00011765      1.8963
      4.5203     0.81693   0.0026926      5.2418      6.1505     0.22093      4.3337   0.0033565  6.3181e-06      5.4523  1.5497e-05      1.3168      4.1367    0.053779  0.00057359      6.4998   0.0073806     0.14916     0.25455  2.9802e-05      1.7725      2.8699      4.4852      4.4366        3.62   0.0016123
    0.072438     0.31163      1.7259     0.31885  0.00015568      4.3113  0.00066723      6.5205     0.13413     0.36618      8.2461      2.8922   0.0022113      6.7483      2.9855      4.1552       6.965      6.8697     0.16178   0.0034276      5.4534     0.47425     0.22389   0.0072656     0.79415      2.6311
    0.034885      4.1606   0.0094016  0.00012016      8.8954  7.1526e-07     0.49526      1.3827     0.19472      3.3476    0.065907     0.46202   0.0033038     0.12658      1.3711    0.051769  7.5576e-05    0.001616      1.8866      2.2778      1.0734  0.00040988]"
0,ind,ClassOrderSampler,0.8458839028922771,"[     2.1501     0.37364      3.2839   0.0011359       3.265      6.8493      2.9054   5.257e-05    0.065446      1.9607  0.00077277   0.0064488      3.3156    0.014878  2.3842e-06      4.3871      5.4946  5.3404e-05   0.0034165      4.8884   0.0013846   0.0046319    0.011711     0.55597      4.7293       6.697
    0.036942      0.1135  6.1989e-06     0.60299      6.2281  3.3736e-05    0.037501   0.0027888      4.2848      2.1826     0.23061      4.1105   5.126e-06   0.0017112     0.25546  3.7431e-05  4.2199e-05      2.2488      5.9068      7.4345    0.035028      4.0168      1.0572  0.00067926     0.50955    0.000149
      3.2968      4.2706  3.0756e-05        0.02     0.11128     0.17511   0.0074878   0.0011364       7.409      9.8094     0.11387      2.9839      6.5256     0.18976      9.6822      1.1059      5.3078  2.7656e-05       3.881      7.9372  0.00046695    0.016426    0.024317   0.0017278   0.0039127      4.7062
      6.6343      4.9366     0.94057      2.8237      1.1153      1.9219       2.992      4.9463       5.958      2.0477     0.67481    0.027196      6.4372     0.22634     0.10348     0.43823     0.24513       10.46     0.94895   0.0097473      3.4292   0.0029842]"
0,ind,ClassOrderSampler,0.8932765517392821,"[     3.5298   0.0010182      1.9936      1.2371       2.824    0.010315    0.067638      3.2867   0.0079448      0.3984  0.00010108        6.03  3.0994e-06     0.93923  0.00011896      2.2892    0.039177      1.4591    0.027935      4.6866      4.6759     0.94761     0.03315      1.6402      6.6409      10.831
      6.2282      7.9492       8.153      8.8754    0.029028      4.9167      4.7949      13.599    0.002608   0.0071363      0.1059      4.4101      11.802     0.10122      7.0142      1.2902    0.020399       7.607      3.4028      4.9375        6.51      8.5979      7.4614      7.2871      9.4621      3.6158
      5.3143      5.0645      6.6951      1.2633       3.241      7.6309   0.0044407     0.47517       6.692  0.00056179      6.8172      10.595      9.6664      6.5168      3.9322      10.051      7.7242      10.319      5.2002      10.106      5.9705      7.1569      5.4294      9.9661      10.323      7.1717
      9.3414      4.2063      10.152      8.8856    0.007808      2.7441      4.8365      6.9989      10.268      7.5631       5.687      6.8623      3.7176      9.1874    0.057165      1.4537     0.26127      7.0793      11.196     0.51445      5.1909      8.6621]"
0,ind,ClassOrderSampler,0.4360301858665726,"[   0.028354      5.1812      9.2495      0.1539      2.8903    0.034856   0.0018849      5.0557       6.328     0.45443   0.0052135  0.00097811      9.5645      12.215       7.136      9.6828       8.489      3.2823      3.4178      5.2161      11.829      10.356      8.9807     0.18816      11.146      5.3633
     0.24019      9.6551      6.5581      11.049     0.77297      2.4047       6.428   0.0021368      4.1218      6.0489      8.9502      4.9818      4.1047      7.6331     0.56981      7.4833      4.9077    0.077698       9.122   0.0047846      1.9215      12.017      5.9603      5.4518       7.977      9.8029
      8.0099      8.8103      9.3022       9.132       8.232     0.29813      4.9819    0.086033     0.18907       2.106      11.684      2.4469    0.027603      1.5657       5.389      5.2514      2.3363      8.5729      9.6945      3.7141   0.0042509   0.0068098      8.0246      1.2364      10.524      3.4405
       0.342      11.301      3.7406      4.3346      7.4964    0.042552      11.427    0.067002      12.939      10.851     0.03793      8.1701      7.1911   0.0068359      1.5122      6.7017      13.122      7.7674      8.6195      8.7997       6.593   0.0029885]"
0,ind,ClassOrderSampler,0.5203675786821806,"[      9.614      3.6712      1.2061      9.0529      8.3111   0.0048333      8.6924      8.2689      3.0481     0.92001    0.020386      1.9539      2.0138      7.6697      5.4073      7.5713      9.9345      9.2765      0.2971      7.3199       6.249      7.0247    0.003027      1.1442      8.5911      9.0361
      11.451      9.0492      4.5001      11.571      8.3314    0.023612        1.76      1.4566      10.397      6.6814      6.1653      8.3868      4.2296      3.7872      6.2106      7.4031      2.4655      8.5852      8.7428       8.323      8.0444      4.1284      4.2368      3.9984       1.688      11.849
      11.403      10.144      0.5218      1.0516      8.8949     0.20208     0.53084    0.022533      7.7491      1.4858     0.22696      2.0243      9.2359      10.237      9.7569      9.5058    0.074047      9.8423       8.041     0.30869     0.22719       2.704      2.2382      5.6481      7.7138      6.9038
       7.943       6.174      8.0461      13.053      9.8995  0.00073096      10.252      8.8007   0.0017825    0.053679       8.988       10.32      4.5476       1.342      7.8217      1.7886      13.043      4.7931     0.80001      9.2873      6.2904    0.018929]"
0,ind,ClassOrderSampler,0.9877878006860294,"[  0.0019097      6.0341      4.0929      12.041       10.71     0.12475      2.2656      9.6172    0.043429   0.0092365      5.8187      10.032      3.4472      6.8052      6.0649      5.2832     0.10222   0.0019183   0.0016289       6.055      7.3179       6.968   0.0037899      1.1907      8.6518      8.8033
      10.178      6.5424      7.8394      4.6522      2.9225      3.4901      12.644      8.5619      13.005      7.3527   0.0023804      7.1099      1.9167      10.449  0.00096334      2.7995      11.258   0.0015278   0.0046891      10.865       10.41    0.010592    0.025569      6.0683      10.256      8.4172
       9.278        5.36      4.3112      7.5076      5.5109      3.8018      4.9895      6.3078      6.3956      2.9791    0.037946      6.4395      3.1222      8.2706      10.222   0.0036751   0.0047135      7.6677      8.5905      1.2705      8.7186      8.2539  0.00071738      6.9332      2.4412       9.285
      7.9379      5.0061      3.9427      6.7996      8.7254      4.5684     0.21446      5.9474     0.67312   0.0078279      7.8554    0.013174      1.5862      4.4663   0.0067375      4.7868      7.3183      2.8138     0.13383      9.8216       10.24      5.9186]"
0,ind,ClassOrderSampler,0.2724966677507765,"[      10.95    0.010594     0.43057  0.00013005      8.2393      2.3498      3.3434      9.5781      10.086      11.013    0.054415      7.3712      8.8541      6.7573   0.0074069      7.7164    0.001249      10.203      10.834      8.1374    0.045392     0.33967      5.4404      2.1009     0.22522      9.2851
      10.187    0.087124      7.1035      3.8365      7.8986    0.009718      7.4039      8.2024      5.6256      6.1989      2.1369      8.2328      3.3235      6.0265      6.7801      1.2323      10.427     0.73681      9.2823      8.3052      6.1469      9.1044      8.0587     0.39674        8.61      8.3623
      9.5969      5.3565      8.3922      9.0852     0.49584    0.024378   0.0031724      10.218      6.6864      10.855       7.375      12.575     0.70087      9.1019       9.803     0.23709      3.3718      9.4817      4.6812   0.0003665      6.3828      5.7854      4.1341      1.0534      12.759   0.0038033
      4.0344      5.8279      5.0619      12.124      8.3499       6.809      7.3186     0.27277      9.6187  7.1523e-05      4.6913      3.3915      8.1254       7.721       10.14      7.1479     0.10929      10.785       9.085     0.00697    0.041614      9.3028]"
