,fold,sampler,pvalue,loss
0,ind,ClassOrderSampler,0.012129203270576662,"[   0.013739    0.033164  0.00047005  0.00080779   0.0017525    0.025933      1.5563    0.069565  0.00027474      1.5342    0.023187     0.19003    0.019904  1.5497e-05      8.0859  8.8214e-06   0.0017292      2.5101     0.12787      1.8284      3.7734    0.050912      1.0602      2.8935      3.8755     0.94551
  0.00026521     0.84841    0.001207      6.5638      2.5076      4.3446    0.016506  1.5974e-05  0.00017641      1.8235     0.67539    0.027881     0.43264      1.5119   0.0013491     0.43788   0.0041479  3.3379e-06     0.10634  0.00095501   0.0060699      5.5457      2.8522     0.95223  4.4107e-06      1.2174
  0.00076718      1.9714  0.00052617    0.036324      4.5171      4.3322     0.24505      9.2183      1.7941     0.37463    0.056779  0.00024781   0.0020705     0.11088     0.25967    0.070818      8.3293     0.21154      1.9143        2.09    0.039158   0.0057302    0.074216   0.0032944     0.69523      0.5329
  4.8755e-05      2.3359      2.0154    0.024233      2.4301      6.8166    0.071925      12.442      0.1426      5.2478        6.69      3.9373     0.65513      4.6882  0.00023517     0.52279  0.00047112  0.00040666      4.2406    0.029045  1.5497e-05  2.6226e-06   0.0080021  0.00054214   0.0097598     0.10264
    0.044406  7.1526e-07    0.056647     0.43839     0.23148    0.021528      5.6675      7.5576       7.485    0.028055      5.0237      4.9356       5.487      1.3701       4.269      3.9083  2.3842e-05      3.7032      4.1499    0.013838   0.0013794     0.80367  0.00080636      1.8946   0.0017156      1.6629
      5.5667   0.0010098   0.0099763      5.0096      7.9545     0.31183      5.7497      1.5575      2.7179      1.1362      0.3752  0.00010073      1.8205      4.1409  3.2782e-05  0.00036817   0.0057549      5.7472   0.0001192  0.00095751       3.059  7.0333e-06      5.2403  5.8292e-05  2.6941e-05      7.9935
   2.861e-06   0.0032964    0.014198       6.233   0.0019092      7.5528      3.9103   0.0011345      1.8423   0.0060051     0.15168   0.0011321     0.78924    0.006612     0.14953     0.24708     0.15846    0.036876     0.03019     0.22375      6.1722      2.1494       2.401     0.24465   0.0069113      8.2479
    0.065281      2.1213      4.0211      1.0453  0.00089915  5.3404e-05      2.7969       1.431     0.57241      0.3418      3.5385   0.0051194      0.4289     0.51653      3.9248     0.81783      4.4122   0.0018804]"
0,ind,ClassOrderSampler,8.238777079565747e-05,"[     7.9766      4.2907      2.4944      1.0147     0.01269  8.7022e-06      7.7196       1.723     0.63979  0.00048637      5.8727     0.63543  0.00021086     0.90421      1.7085    0.082301      2.2078      4.4539      4.5713      1.3023     0.06086    0.064862      1.3184      6.7033      3.5328      3.8303
    0.039017    0.001049    0.051628       9.097      4.0512     0.19515     0.42621  0.00027236    0.012701    0.080911     0.14183      2.5777      8.1709    0.065823      8.5979   0.0046142     0.92343      1.2495   0.0029961      1.7541  5.2451e-05      1.0394      8.9711   0.0034213    0.067057    0.016632
       2.484  0.00077134  7.2834e-05     0.61048       2.154      1.4602      11.492  0.00067724    0.001375      2.5468      3.7386    0.010763    0.053647   0.0075281      10.416  0.00039784      0.3995      10.013  4.0292e-05      5.2027      2.9902      3.5964      2.7605  0.00014399   0.0092336      6.0306
      5.9599  0.00063089      4.8899    0.013753   0.0015297     0.42291      5.3606     0.50293  2.3246e-05      7.2971   0.0032737      5.8878      2.5887      8.7687      2.8564      3.4087    0.009424     0.25823    0.089148    0.085355    0.083479      5.1358      4.8477    0.011683     0.58473     0.36416
      8.9013   0.0064278  0.00014912   2.265e-06     0.58371   0.0072994  3.0756e-05     0.25841      2.2753     0.69342      2.0161  2.5153e-05     0.39495      1.3589      2.2917      3.9251   0.0017863  1.6212e-05   0.0016994       1.749      3.0937      4.2625      2.7091      3.8168      1.8273      1.3819
   0.0051921      0.7143      2.7142     0.73202      1.8157      1.0104      4.0351   0.0068231     0.12044      1.2511     0.73828    0.002503      0.3112    0.035053    0.019992     0.13626     0.11017    0.015895      3.7003     0.23074    0.027334   0.0083534     0.72052     0.22046      1.2076       1.548
     0.10394      3.4997  3.5763e-06   0.0017047   6.306e-05      2.9086     0.18951      5.2133      4.5911     0.17433      3.9043      2.7097    0.017454     0.63343      4.1554   0.0052141     0.16832      1.1063     0.31741      2.3729  0.00011777     0.11039    0.023698      4.2677  0.00066735     0.55015
  0.00043454      4.8409      3.2008     0.11131      3.1386   0.0042915  6.1033e-05    0.040056      1.1132      7.9423     0.99377     0.01628   0.0040303    0.075407        3.52     0.13165      1.9925      4.0264]"
0,ind,ClassOrderSampler,0.00035561342309805096,"[     5.5804     0.37103      3.9144      4.4263      4.6606     0.93635    0.072508  0.00046695  7.6294e-06   0.0026747      4.6838    0.067102     0.89626      6.0614    0.019504      3.6197    0.013577     0.92411     0.37199    0.006102  0.00015353  0.00046791    0.067163    0.022443      5.3115      1.8686
     0.21227       1.116      1.5781      3.5039     0.94412      9.9984      5.4486      3.3578      4.3284    0.024411      1.2717     0.98085     0.70021    0.011593     0.94333      6.7157      5.8766  0.00030024  5.2452e-06      2.8988      3.8244  0.00016032  0.00089796      5.0043      3.5072      4.2674
    0.055924    0.015198     0.10814     0.84503  6.0199e-05  7.1526e-07      6.8718  9.0476e-05    0.001577      3.9274      5.6171      1.1225  3.6597e-05      6.2423      4.7091      4.9498  3.5763e-07     0.12697     0.26437     0.20173      2.0644      3.3169     0.14326   0.0035965      3.4211      4.2232
      1.9586      4.2684    0.016652      2.5858      4.9595      1.8099     0.12585      5.2443     0.88891     0.16302      2.6405    0.040916  5.2452e-06      0.8064      1.7601      7.0909    0.066071    0.010143      4.9394    0.072701      6.5321       3.531    0.015633     0.51275      4.6198  0.00011253
      4.8344   0.0064887      2.3096   0.0045416      4.2287     0.11068      5.3552      7.9183    0.034793      10.242      4.7965      9.3544   0.0037842     0.22662      1.0266   0.0087049     0.47803    0.072926      1.9684      4.8467      3.6191      9.4851       10.09      4.9823      8.1316      7.8988
      8.1601   0.0069619      4.2308      11.385   0.0079646     0.36029      6.8188      6.0364      3.7179      8.9539     0.29655      7.4826      8.5945      4.1092      9.2865    0.057343      9.1248      5.4469      8.8115      1.0363    0.023558    0.078096      8.9435      7.3155     0.23728      6.5119
      10.787      10.031       5.215    0.013545      11.854      7.7945      9.9783      9.7275   0.0002894      6.8625      6.3795      7.8527      9.2962      7.2279      8.8069      6.6002       3.998      7.1319      3.7587      2.9222      8.8924        1.19     0.58133      10.415      4.6966      9.7102
      7.4631    0.022592      9.5462       9.612      11.829      13.217      1.5238      6.9372      9.8241    0.021333  0.00056847      13.601     0.80114      4.7956      7.2732      4.6117       4.072      12.122]"
0,ind,ClassOrderSampler,0.014294593628545193,"[ 0.00073132       7.653      8.8782   0.0017844     0.22691      9.7983      9.2323      3.9243      5.3555      8.0772   0.0068516     0.21105      9.6185      8.3067      7.9523      2.3669   0.0078284      7.4035      4.3233      2.2917      8.6143   0.0019181       6.653      2.1353      8.2531      7.1974
    0.054077       2.553      10.056      6.9358    0.028984      7.1357      5.9593      10.226      8.0126      7.0165      4.2228    0.038137      2.4447      5.2009       1.815      5.2533      3.5138   0.0058456     0.39647      6.9837      6.9659  0.00067223    0.087029    0.015875     0.17202      8.2689
      2.4225  0.00054845      6.1667       4.785      6.6846      6.4381  0.00012993    0.020316      10.113      4.9144   0.0062499      3.3054    0.022236       5.986      1.2073       11.26      5.3576      7.2818      9.1002      7.6282      8.5729     0.22484     0.18803    0.027581       7.675    0.004319
     0.23578      2.2613      8.7117      4.3678      10.404      6.0311      3.8978     0.10126      13.122      4.5026      8.3608      8.7999      9.7602       2.083      6.1613      6.1488      4.9168      1.0577       4.658      7.7894     0.67604      6.2899    0.044097      6.4171      3.4474      7.4001
      11.342      8.4983      0.7735       7.015      7.7598      7.7213      7.1323      2.8763     0.39297      7.0255      5.5121      9.7254      11.687       8.041      8.1385      9.9676      7.6907    0.035664       8.314      9.1068      3.9268      10.568      8.2362      1.2142      9.0685      6.5214
      4.3124      7.9164      9.5965      4.4641  7.1642e-05      6.9679      6.7543      9.6208    0.057428      4.6794      8.8102     0.51221     0.14523       7.816      7.6311      10.848      6.0848       2.801  0.00071834      0.2604      7.1828      10.203      8.4603      6.6828      10.529      7.6076
      4.9811      2.7412      2.2435     0.12472       7.078      10.062      7.0706      5.9003      7.8905      8.2047       7.505      7.3717      3.1707      9.8014      9.1377      2.1099      6.6871      2.5958     0.16917      8.2395      7.3713      6.2116      9.2158   0.0048442      9.6681      10.241
      5.7947    0.000172      6.4536     0.45215      8.2566      9.8592      1.4644      4.3448      7.7697     0.52116      10.617      7.3215      8.9471      1.0162   0.0049362    0.020437      5.9198    0.004234]"
0,ind,ClassOrderSampler,0.08310832561591441,"[     3.1459       9.577      7.1718      9.1384      6.5209      8.5652    0.003799      7.7237      8.4191      10.625        7.57      5.8516    0.046777      9.0577    0.003671      6.8098      10.223      11.502      6.2262      8.4071      9.6021      8.9784       1.182      6.6433      8.1738      1.5158
  0.00055357      2.8131      5.6562      8.7202     0.64709      10.759       2.762      6.0554      9.2882      8.2658      13.058      11.406    0.099292       1.517      10.194    0.064404     0.26759   0.0058737      1.3764      9.1049     0.21496      1.3414    0.012542      5.9404       8.351      8.6004
      5.6254    0.098692      7.9553      10.242   0.0025177      8.2765       3.282      9.9122      9.3812      9.1969      7.9738     0.28232      4.1307      1.0226      8.5058    0.018923      0.4548      12.217      9.6697   0.0068534      0.4544      8.8695       9.056  0.00078075      6.0627     0.69243
      10.306      1.0591      3.0742      0.7107      2.3378      11.273      3.4302      12.554     0.27041      9.0557    0.025844    0.005794  8.7734e-05      8.4403   0.0029909       6.072      8.6251     0.00482       12.65      2.6778   0.0042376      8.5591      9.4221      1.1237    0.061772      7.9456
      3.9656      10.185  0.00084114     0.29699      10.452      13.044      4.3352       9.345      3.1205      1.9583      2.4523      3.9766      6.1809      1.1453   0.0052983      7.7351      9.2847      9.9311      10.398       10.36     0.08989     0.31188      7.1906   0.0021341      8.6537      0.1546
      6.5594      8.6319     0.10919      8.8158      5.2033      3.3719      3.4045      6.6967      6.3092      8.7301      7.7216      8.7188       2.447      1.5706      7.6672       4.767      10.323      8.3414      6.9751    0.037291      5.2805     0.34259      7.8218    0.013192      1.2713      8.1305
       7.191      7.7534      16.252       8.664      4.9953      7.1575      10.023      6.2919      9.2207      6.7992      0.3523       5.637      11.832      7.3262    0.041477      1.5885      8.0458   0.0030642       7.714      4.0422      7.3538      9.4636      7.4465      9.6588    0.086978     0.13973
      6.1493      9.3524      4.6225      7.8199    0.037816      5.4538     0.86144      8.4846      2.7586      4.5603       8.331      9.2749      5.4283     0.01056      9.2432      4.8713    0.047535      7.4429]"
0,ind,ClassOrderSampler,0.0015088680075547797,"[     6.5089      8.4338       7.023      1.4836      3.3258     0.20026  4.4941e-05      7.5804      4.0781      4.4577    0.024924       9.501      10.878       0.276      9.4971      6.1524      6.7493      8.0705      12.077      2.7587      4.6176     0.21251     0.68912     0.76012      2.0799      7.7902
     0.60466      8.7143      9.0111  3.9339e-06   2.265e-06      6.9896    0.033811      10.002       8.454      10.175      7.0133      8.7275    0.010228      6.2578    0.010694       8.116  5.6742e-05      3.0576      1.3893       1.163       1.999  0.00063149      11.268      5.8545      8.1984   0.0070058
      10.559      10.159   0.0029821      7.0134    0.054532    0.042916      8.4542      8.0283      5.2149  0.00017081      8.0913  0.00027534      6.3091      5.6362      5.7231    0.026996      1.4563       7.287      2.7649  1.7881e-06      10.696      9.5723      3.0457      5.3956  0.00070225   0.0005668
   0.0046486      6.6004        8.73      2.7749      1.1806      2.1051  0.00056537      5.0327      6.1474      4.8689   0.0067669      1.4272      2.3741      5.3457      7.2739      4.1779      12.502  2.5034e-06      5.7079   6.306e-05   0.0011615  5.8292e-05      8.2159  6.2225e-05    0.083157      11.356
       10.71      8.9834      7.9798      5.8793  2.3842e-05      5.4352    0.041597     0.66527      4.5331      7.1799      5.9235      9.5343      5.4409      8.8131      10.143      4.9523    0.073269      3.4526  0.00028785  0.00028201      4.9394      7.5704      4.1867     0.61746      2.0882       11.43
      8.7829      5.7258      9.0448      8.0673      10.996      1.6789     0.12607      4.3052    0.051256      0.3674      10.922      11.777      8.2233  0.00016211       3.342    0.092748    0.040681      5.3417      3.0375      7.9174      4.9037   0.0012203      9.1189      8.3242     0.90502      6.4788
    0.012787      8.3827      3.5442      0.8465    0.017907      8.9294      2.4383      6.2149       7.156    0.063795   0.0013429  7.8317e-05     0.32395      5.3301      3.8918      15.762      9.7734      3.6489      5.7661  0.00068736      6.9134      8.6268   0.0028025       7.179      7.6634      7.1504
      1.7714      9.3342    0.098386      9.2196      8.7401      6.0611      0.3824      2.3619      4.4429      9.2546      3.0417      3.9425      9.8912      9.6697      10.183     0.14624      4.5329      4.0934]"
0,ind,ClassOrderSampler,0.006681444717771273,"[     8.2814     0.14178      3.4222   0.0004237      4.1523      2.6938     0.24487      9.3402     0.10244      6.1456      7.1171     0.71182     0.96517    0.043959      7.1985      5.2625      9.5194       2.962      7.6126  4.6492e-06      5.7298  1.4305e-05    0.033869      7.1069      9.7582  2.2411e-05
      10.502      6.1738      7.8008      9.3953      8.1699      6.7188      9.2749      5.8411      10.415      6.8993      6.2545      2.2322      6.9753      9.8061      9.1146      7.1488       3.779      8.2656     0.44521   0.0019328     0.86266   0.0010634      3.2743    0.021141      6.6254      4.8954
      7.4145      9.2371     0.92754       6.004      6.5582      6.6424      8.0477      2.3603    0.050989      9.5473      3.2266  8.1062e-06      5.7088      12.078     0.27392     0.13257      5.1057      5.9338      2.5868  0.00026521      2.0068  0.00051414      9.3298      7.4376      8.9952      1.1547
      8.9013  0.00019548      9.5967      3.9478     0.16914      3.2512      9.3563   0.0013358        5.25      9.6783     0.16398      12.316      9.4214      1.9682      4.1468     0.55161      9.3315      1.9633     0.12977      6.7846      12.541      11.882      7.3772      8.0186      8.6666     0.17161
      8.5829     0.79897     0.65497      1.5791      4.4445      1.9748      9.1053      12.333     0.10824  0.00038533    0.058548       9.582      8.6753      5.7011      8.7097      3.2102      9.3738      1.1308      10.581      6.8484      10.263      8.1357      9.5421      8.8448      1.4148       8.649
      2.7604      5.3141      4.7928      11.154   0.0036501      5.7473   0.0010187      4.3343       2.369      4.8317     0.50465      7.8138      6.2648       7.906      2.8385      9.0955      5.7329      2.8187      10.127      9.5229      2.1617       4.952      7.9741  2.2292e-05      12.078      5.9036
      9.2962      10.727      8.8598      8.9337      4.7134      5.7926     0.13663   0.0025787  0.00036352     0.49476    0.063626      6.1271    0.070788      4.6163  2.6226e-06      9.2072      5.1451       6.759    0.021703      7.3814  0.00032563  7.3669e-05      7.1162      9.4147  4.4822e-05      3.5021
      1.2539      1.4252  3.8385e-05     0.05692    0.075497   0.0050652   0.0073757  0.00010168   0.0017204      7.1024      9.7865      8.4202      0.9048      4.0231      7.8931      2.9102  4.4941e-05      8.6391]"
0,ind,ClassOrderSampler,0.009432261670561128,"[     7.6536       9.792      6.7509      3.5133      7.7487      7.7604      9.9665      6.0797   0.0039381      7.1886      4.6275      7.9256      11.925      8.0422      9.0249      7.4791      4.8136      5.9349      4.3257      7.6319      8.7341      8.3468      2.7414      7.1697          11      5.4496
      7.6141      2.5718     0.37751      6.0408    0.002882      7.6698      5.4943      6.7675      5.0648      3.5948   0.0035334      7.2956      1.3512      7.9874      4.7018      7.6241      7.3717       10.13  0.00051604   0.0014642     0.57064      10.188      12.358      0.2615      7.2603      8.0484
      9.5357       3.599    0.029832  8.7022e-06      1.2462      7.3376   0.0019892      5.3144  6.5565e-06      5.0657     0.12205      11.209     0.24972       9.718      10.898    0.032332    0.039049      6.5866      8.2962      9.0328      11.298      7.4474      7.4405      6.6493  9.9773e-05      9.1927
      1.9455      11.112    0.041413      6.4097      2.3372      1.1124      9.2583      1.9643    0.032445       9.328      10.868        2.31    0.022448  0.00037174    0.079319   0.0014193     0.52579   0.0040348      1.1213  5.2332e-05     0.46939  0.00096346     0.22661  0.00051366     0.12187   0.0065338
    0.003182    0.025568        2.52    0.033194       0.315      7.7992    0.015396     0.26918    0.008653    0.034949  0.00010311   0.0061494     0.21611    0.022537     0.31238      0.2303      1.3672   0.0062494   0.0006353  4.5299e-06      1.4657     0.32352      1.4156   0.0017501   0.0026881   0.0061218
   0.0040455     0.13977    0.008585    0.019157      0.7159     0.42689     0.48226    0.063764   0.0040868    0.026344    0.010987    0.030209   0.0092738      3.4387    0.014916     0.12828  3.9457e-05     0.11343  7.2596e-05    0.054661      0.3426     0.54236     0.11358      4.2248     0.26098     0.21599
   1.502e-05    0.059057    0.077063  0.00073072      1.2782   0.0018955     0.24712    0.077864   0.0078493     0.33847    0.001561     0.19611     0.35675  0.00030024    0.055566      1.7897     0.46676   0.0029189     0.25392   6.306e-05     0.95753      2.6804      0.2556     0.36732    0.039016  0.00088998
  0.00040714     0.17832     0.61639    0.099307    0.041485    0.022089    0.049813      6.7485     0.06901     0.52706    0.042461     0.17793     0.28812      1.1287     0.05184     0.12453  8.7022e-06     0.48029]"
0,ind,ClassOrderSampler,0.0008256171623322229,"[    0.20943    0.033609    0.026069  0.00083162  0.00031037    0.010762   0.0001397     0.25348     0.10226     0.37119    0.013684      3.4157    0.052669  0.00091046    0.011861  0.00018655     0.69234     0.36834     0.87906      0.0669    0.017039     0.21753  4.2915e-06    0.009523     0.81382      0.3211
    0.099333    0.066389  9.8943e-06    0.030878   0.0018805    0.079214    0.020955     0.74288    0.026379      0.3285   0.0053183      1.9575      0.2875      3.8234      3.0223     0.68062     0.16211  0.00011694      0.6361      1.3309   0.0063465   0.0021322    0.012458     0.14059   0.0010885    0.001611
      0.1109      1.0387    0.016152     0.68547      2.2229    0.001002     0.13688    0.010818         2.3      3.9911     0.18994     0.46783   0.0015957      0.8141    0.092912     0.29483   0.0047918  0.00021289     0.63631  0.00038485  0.00053034    0.017993    0.041761    0.025243     0.57258    0.096171
      1.1893    0.055313   0.0015918      0.7376    0.013809     0.99849      0.0851     0.58995     0.33205  0.00058872    0.011136     0.99123     0.13696    0.052874    0.048665      1.7216      1.2599  0.00062637      0.2169      2.2593  0.00027402       4.248     0.77905     0.20896     0.55226  0.00041929
      3.1017     0.26182      2.8393   0.0013887     0.16634  4.5895e-05      1.4617    0.024457     0.11611     0.17212    0.011094  6.0437e-05  0.00051759      2.8375   0.0010962     0.62469    0.024726     0.63647     0.30548   0.0016381   0.0007231    0.044928    0.022293      3.0153    0.013528     0.66089
     0.67372     0.22595     0.22667     0.35583  0.00028511   0.0029942  2.4438e-05     0.23036   0.0014427     0.13997   0.0048945      3.4755     0.10514     0.01302     0.44468      1.0393   0.0059244      0.9254     0.13108      1.5899    0.001534    0.042358     0.18133     0.73625     0.46887  0.00073549
     0.78626     0.10742    0.020659     0.79984     0.15017    0.090793      2.7739    0.050681     0.14962  7.6768e-05     0.25617      1.5537     0.33097   0.0076846    0.015222     0.30526     0.29513      2.2285    0.027454     0.13267      1.5077    0.091121    0.034977      1.0638     0.22612  0.00028809
  0.00029405    0.082196    0.019352     0.16175     0.57157       1.912    0.061583     0.01569   0.0038253  5.7934e-05   0.0084332     0.41516   0.0008926     0.18093  7.7364e-05  6.6755e-05   0.0019785    0.013812]"
0,ind,ClassOrderSampler,0.01680099453568539,"[    0.55715      2.6321  2.9325e-05    0.014627    0.025165    0.033982   0.0080272   0.0031689     0.11748      0.3466     0.01049     0.23455    0.048543   0.0048175    0.027023    0.043083    0.070628     0.50856     0.03822     0.15593  8.0105e-05  0.00017367     0.23203     0.74787      0.3118      1.2871
    0.018329     0.45909  0.00046076    0.097331     0.11096   0.0032634     0.24563      3.9384  0.00087271  5.2452e-06   0.0014904     0.17675    0.095941     0.46168     0.39209   0.0063102     0.16375     0.34897    0.080966  0.00018404  0.00031109     0.01402   0.0018075    0.062007    0.013725    0.042585
      1.2261     0.12701  0.00014936     0.18341  1.5378e-05      1.3634      1.8009      3.3717    0.043549      3.0702    0.027624     0.35655   0.0013776    0.015994     0.37201    0.049131      1.8688    0.028001  1.1563e-05      2.7056    0.013846    0.019845    0.000126  7.2717e-06      3.3825     0.88341
    0.063634     0.55103     0.97414   0.0020914   0.0040009    0.071549  3.2901e-05    0.041644     0.44926     0.53365     0.02318  0.00077647    0.073256   0.0031223     0.62551    0.008472   0.0014321     0.04951    0.076809   0.0086143      1.6496    0.012639  0.00023195    0.087581     0.13882  0.00042394
    0.097819  0.00010514    0.038528     0.48937   0.0024284     0.06618   0.0010017    0.063924   0.0016987   0.0037718   0.0079397     0.50795    0.028191    0.011551    0.021865  0.00045885    0.014028     0.12657   0.0065856     0.78826      1.0688    0.027619  0.00035458   0.0021138    0.070494    0.080304
    0.021444     0.18229   0.0066554    0.091815      2.1139  6.1987e-05   0.0073109      4.5886    0.087231    0.033574   0.0081771    0.095863    0.074021      2.4107   0.0031094      1.2129       3.714    0.053272   0.0057655     0.24889   0.0047383     0.42668   0.0068988      0.1579     0.12082      0.0596
      1.4331   0.0010085    0.018983     0.03903   0.0044465  3.8623e-05   0.0017984   0.0074381  0.00020824  0.00076896     0.20217    0.034893      4.5784   0.0071381   0.0031803  0.00084305    0.011203  9.7751e-06    0.001643      0.1863     0.09414    0.006816    0.025515     0.24786    0.095585     0.02514
      1.0161    0.045516  0.00066235      2.9408    0.035322  0.00015234    0.033907      1.8988    0.086657     0.24225     0.12072     0.24298      1.2788    0.023072     0.18285      2.8593   0.0005612     0.79352]"
