,fold,sampler,pvalue,loss
0,ind,ClassOrderSampler,0.0021037731981414327,"[-1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1]"
0,ind,ClassOrderSampler,0.002373570044100509,[]
0,ind,ClassOrderSampler,2.9678972222746008e-09,[]
0,ind,ClassOrderSampler,2.851402499175112e-11,[]
0,ind,ClassOrderSampler,2.2867113558660658e-08,[]
0,ind,ClassOrderSampler,1.4712322572831822e-20,[]
0,ind,ClassOrderSampler,0.003590322979730928,[]
0,ind,ClassOrderSampler,1.166785845567627e-06,[]
0,ind,ClassOrderSampler,4.292520729397344e-05,[]
1,ind,ClusterSampler,8.351691540599376e-09,"[-1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1]"
1,ind,ClusterSampler,1.3082521352974315e-07,[]
1,ind,ClusterSampler,0.0003025664628528708,[]
1,ind,ClusterSampler,0.00024592823688116455,[]
1,ind,ClusterSampler,0.003386943463518774,[]
1,ind,ClusterSampler,1.8046936960574232e-06,[]
1,ind,ClusterSampler,1.0684508135401408e-06,[]
1,ind,ClusterSampler,6.658663971694618e-10,[]
1,ind,ClusterSampler,6.851724733813669e-07,[]
