,fold,sampler,pvalue,loss
0,ind,ClassOrderSampler,0.08579999999999999,"[ 0.00047482      8.5524  4.5895e-05  0.00018297  4.1723e-06   0.0001074  7.1525e-06    0.016438      3.7869     5.4e-05  2.6226e-06  3.5763e-06  3.9696e-05  1.1921e-07  2.0266e-06  0.00018345  6.8901e-05    0.022597  4.0531e-06   0.0019783  1.1921e-06  4.7087e-05  6.9141e-06  1.8596e-05  4.6492e-06           0
  0.00013756  0.00089522  1.5378e-05  1.2875e-05  1.3113e-06  0.00072632  7.2238e-05  0.00011598  2.0027e-05     0.10126      1.2575  3.5285e-05   0.0023874  2.3842e-06  0.00040666   2.265e-06  1.6689e-06  1.5139e-05  7.1525e-06   0.0011034   5.722e-06  2.0266e-06      4.6724   1.502e-05  2.3842e-07   7.987e-06
  4.7684e-07   0.0011858  4.9232e-05      2.7074  1.5855e-05  7.5457e-05  3.5763e-07    0.077251   0.0024647      3.6815  8.8214e-06     0.12599    0.000113           0  0.00013827  3.9339e-06  0.00021837  0.00032384  2.7418e-06  0.00013112  1.0729e-06    0.002606  9.1191e-05  1.1921e-07     0.44401    0.075454
  0.00010657   2.265e-05    0.009533      1.3062  1.1921e-07   0.0038453  1.2994e-05  5.9605e-07  5.9605e-07   0.0002801  7.1526e-07  0.00033468  4.5299e-06  2.3842e-07           0    0.049448   0.0003634  2.3842e-07  4.7684e-07   0.0019118  2.4795e-05  2.0266e-06  4.1723e-06   0.0013895      4.6519  0.00021837
  8.4638e-06       5.378  0.00089367  1.1921e-07  1.5736e-05  1.4663e-05  1.1921e-07  1.1921e-07  1.8477e-05  8.7257e-05  7.9033e-05  1.1921e-07  7.3909e-06  1.1325e-05   0.0018682  4.6492e-06  2.4914e-05   0.0001906   0.0011068   2.563e-05    0.001505  4.2795e-05     0.02771      14.243      2.7885    0.002067
      5.2897   0.0010505      3.7439  0.00014542      7.5383       3.901  4.4583e-05   0.0001136   0.0012848   0.0062915  0.00010919  7.1526e-07  0.00033933  6.0676e-05   7.343e-05   0.0010124  0.00017308    0.039579   5.126e-06  3.0994e-06   9.572e-05  0.00010561  0.00025376   0.0014788   0.0002981  0.00011479
  3.2186e-06  5.6028e-06    0.018303  9.3933e-05  0.00023374  0.00010073   0.0054614    0.013514   0.0093537  2.5153e-05  0.00025591   0.0022644   0.0002372  0.00025341  1.6093e-05  5.5788e-05     0.01803  4.7563e-05  9.4886e-05  4.8875e-05     0.60155  4.1723e-06  1.0371e-05   0.0020012     0.29315   0.0012016
  2.5034e-06  0.00010049  6.3181e-06  2.3007e-05    0.010171  2.1458e-06  2.7656e-05     0.13984  7.0927e-05  2.7299e-05  2.1577e-05      4.4194  3.4928e-05   0.0024923  0.00024483   1.955e-05  1.1921e-07  4.5179e-05]"
0,ind,ClassOrderSampler,0.9278,"[ 3.1828e-05  0.00039605  7.4741e-05  4.9232e-05           0           0           0  5.4358e-05  2.9087e-05  4.2199e-05   0.0023093  5.9605e-07           0  2.2888e-05  1.4305e-05  1.1921e-07  3.5763e-07  4.7684e-06   0.0001608  3.1709e-05   5.126e-06           0  8.8092e-05  5.9605e-07           0  0.00090975
  0.00010418  4.1484e-05  0.00011944  1.1086e-05   0.0026447  0.00072346  2.9087e-05  8.1893e-05  0.00010514  2.1458e-06  0.00056835   0.0024758  0.00010514  2.3842e-07   7.987e-06  0.00069511  4.1246e-05  1.1206e-05  2.3842e-07  3.3379e-06  0.00017558  3.5763e-07  0.00010132           0      8.6765  8.9999e-05
  6.0676e-05  8.3446e-07      3.0146  8.8214e-06  0.00055524  0.00034708  5.8412e-06  1.6689e-06  0.00092166  2.0027e-05  0.00021968  1.7762e-05  2.1458e-06  3.5763e-06  1.4305e-05    0.001347  5.9605e-07  1.1921e-07  5.9605e-07  5.5431e-05   1.359e-05           0   3.755e-05  7.1525e-06           0      2.0325
  2.3842e-07  4.4464e-05  9.2621e-05  2.9802e-06  5.7338e-05  5.9605e-07   0.0081463  2.0385e-05  9.5367e-07  3.5763e-07      14.918  1.9073e-05  1.4305e-06           0   0.0077529  0.00059778   0.0006135    0.001556  5.3047e-05  6.8662e-05  0.00010466  2.1458e-06  2.5034e-06  1.7166e-05  7.8678e-06  0.00041846
   0.0005058  6.8066e-05  1.1921e-05   8.583e-06  0.00029917  1.8477e-05  7.2715e-05  1.1682e-05  2.8967e-05  1.9073e-06   0.0020641  1.0014e-05  0.00041977  2.3484e-05  3.7073e-05  1.7762e-05  9.4409e-05   5.126e-06  4.0531e-06  1.4305e-05  4.8994e-05   1.657e-05  0.00043776  0.00022457  5.1855e-05  0.00014399
   8.583e-06  0.00043597    0.067224     1.8e-05  6.0676e-05   7.987e-06  2.3842e-07   0.0003833           0  8.1062e-06   0.0021326  1.2398e-05  5.9605e-07   0.0001341   1.204e-05  0.00023756  8.3446e-07  0.00019536  5.8412e-06     0.24609  1.4305e-06  8.1062e-06  3.7669e-05   0.0034401  9.8943e-06   3.302e-05
  9.5367e-07   0.0001819           0           0           0      1.2208  7.7486e-06   0.0078244      2.7903           0   0.0010999     0.08681  8.3446e-07    0.015488  2.6822e-05     0.57785  0.00072727  1.2159e-05  9.5367e-06  5.9605e-07  0.00063078  3.2186e-06    0.040461  5.5788e-05  0.00010716      1.2766
  1.1921e-07   0.0017669  0.00015782     0.29078  2.1696e-05  0.00043788   8.535e-05  2.7537e-05  1.1444e-05  0.00092571  2.3603e-05  3.6835e-05   0.0002888   0.0001583  4.7325e-05    0.006533   0.0013982   1.359e-05]"
0,ind,ClassOrderSampler,0.0004999999999999449,"[ 2.3842e-07           0   0.0018002  2.6464e-05  8.7022e-06  7.4503e-05  6.3181e-06           0  5.3644e-06  4.4822e-05    0.014727  3.3379e-06  3.8147e-06  7.1525e-06  0.00014221  0.00099597     0.39082  1.9073e-06  0.00028964  1.1921e-07  5.6028e-06  1.5736e-05  0.00010764  3.8146e-05  3.5763e-07      1.7289
  9.2983e-06  7.1526e-07   0.0086956  2.3842e-07  0.00022421  0.00020109  1.6332e-05    0.019218  1.2159e-05  0.00033826   8.094e-05  0.00089462  0.00041512  0.00013255  7.6768e-05  1.0729e-06  6.1868e-05   0.0018539  0.00061934   0.0003945   0.0038899  6.8901e-05  3.5763e-07  3.2067e-05   0.0028711  0.00059635
      7.8684  0.00015639  0.00020788   0.0010111      8.5444      6.2273  2.5749e-05  0.00030882  6.9616e-05  7.1526e-07  0.00075336   3.755e-05      5.2053  3.6597e-05  5.7219e-05  0.00059968    0.002783   0.0032386   4.506e-05      10.757   0.0013826   1.204e-05  2.1458e-06       1.192  2.3842e-07  0.00068307
      0.3773  5.0068e-06  0.00054738  1.6808e-05  0.00057514       2.056    0.002302   0.0020672  1.1921e-06  1.5497e-06  0.00019203      0.0013  1.4305e-06  1.1921e-06  8.8214e-06  8.9407e-06  1.0729e-06  4.9351e-05   0.0029577  1.1921e-07  1.1921e-07  3.7789e-05  1.5497e-06           0      2.3902  4.6492e-06
  4.1126e-05  3.4689e-05  4.7684e-07   0.0011698   1.049e-05   4.208e-05  3.5763e-07      4.6155   0.0016115  1.8954e-05  4.7684e-07  2.8848e-05  0.00011062  9.2983e-06  5.9605e-07  1.3113e-06  1.1921e-06  4.4107e-06      2.1971  9.5367e-07  7.7006e-05  4.7563e-05  3.7312e-05  1.4305e-05  0.00011253  1.0967e-05
    0.002202  5.2452e-06   0.0010298    0.032775  2.7418e-06  3.3379e-06     0.98104  0.00012469   1.502e-05  0.00024495  6.0795e-05  4.6492e-06  1.1921e-07  1.0371e-05  0.00026592  0.00010323  3.5763e-07  1.6212e-05   0.0019937   0.0053465  1.9073e-06      5.7441    0.068299  0.00026282           0  1.2278e-05
  9.9416e-05  6.0797e-06           0           0   2.861e-06      0.0264     1.8e-05  1.6808e-05      3.8695  2.4676e-05  8.9407e-06  3.4451e-05      2.6435  1.0729e-06     0.16495  1.7404e-05  0.00010466  5.4239e-05      5.9677     0.39646  0.00020812  0.00022361   0.0002509  0.00063042  0.00030024  1.0729e-05
     0.18128  2.5391e-05      1.1039   0.0018682           0  5.0068e-06  1.3113e-06  7.2953e-05  1.9073e-05  6.3181e-06  7.8678e-06  2.3842e-07   0.0020239  2.1219e-05  4.9709e-05  7.1525e-06  0.00020919  1.1921e-06]"
0,ind,ClassOrderSampler,0.7147,"[ 8.3446e-07  0.00022766  2.0265e-05  9.5367e-07           0  8.3446e-07  4.8875e-05  4.7921e-05  1.7881e-05  0.00087176           0   0.0096161   0.0011985  1.2636e-05   0.0013571   0.0017651    0.002951  9.4175e-06  1.0729e-06  5.7696e-05   0.0013948           0  6.1033e-05  0.00077885  4.9471e-05  0.00022361
  0.00024125  0.00023529   0.0012339  0.00037282   0.0003814  1.9193e-05  2.0266e-06   0.0042626  0.00056203     0.01147  4.7684e-07  6.6757e-06  0.00033659  5.0068e-06    0.083764   0.0028846  0.00076432  8.8214e-06  0.00078742  0.00012528   0.0099994   0.0021287   0.0090751  0.00035113   7.987e-06  2.3842e-07
  9.5367e-07  4.4702e-05  1.7881e-06  6.5086e-05  9.7985e-05   0.0014253  0.00013064  0.00040714  1.1921e-07  3.0517e-05  7.7006e-05   0.0045255  0.00090284  0.00051426  0.00024733  2.0266e-06  3.1113e-05   0.0003634   0.0014469  0.00093595   0.0012726  0.00049055   0.0031339    0.058537           0  1.6451e-05
  2.3842e-07  2.6345e-05  1.2278e-05   0.0015484    0.016645  0.00072501  2.3842e-07  6.0676e-05  0.00010168  0.00011217   0.0020766   0.0034006  1.0729e-06  1.9669e-05           0  0.00071845     0.33785  5.9605e-07  3.6477e-05  2.6226e-06      5.0938  9.8943e-06   0.0021301     0.15773  0.00031633     0.26503
  4.7684e-07  2.3842e-07  3.5763e-07  5.9605e-07   0.0013438      1.4099  2.7179e-05  9.6559e-06     0.73965  0.00017081   0.0003261  2.4914e-05  0.00018559   2.265e-06  1.3471e-05      5.5479  1.1921e-07  5.9245e-05   2.265e-06      3.3468  0.00012254  0.00025519  3.7908e-05  9.0357e-05  1.1921e-07  3.5763e-06
  6.0676e-05  0.00023398  1.3232e-05  1.1921e-07  3.4571e-06  0.00017069  0.00033588  1.1921e-07  8.3446e-07  4.7684e-06  7.1526e-07      8.2365   0.0011118   0.0013363    0.017713  4.6967e-05  1.1921e-06  0.00017022  0.00086246     0.22647  1.2755e-05   1.955e-05   0.0027328  2.3842e-07           0  2.6226e-06
  1.3113e-06  7.0808e-05  6.1989e-06    0.062417  1.1921e-07  2.7418e-06   0.0040634           0  2.5034e-06  2.2888e-05  2.6226e-06           0   0.0001602  2.0742e-05  2.3842e-07  2.3842e-07  2.1458e-06     0.10755  0.00011753  0.00031061    0.037703  4.0888e-05    0.013354  0.00011741  3.4093e-05  2.6345e-05
  2.1458e-06      5.2187      2.4243  6.3298e-05  1.4901e-05  8.9761e-05  3.5763e-07  4.8876e-06  0.00049066  0.00018833  9.1072e-05  0.00053594  2.0981e-05   0.0004287   0.0010806  0.00011706      1.8747  0.00021098]"
0,ind,ClassOrderSampler,0.08020000000000005,"[ 0.00039605   0.0014919   0.0025718  4.0531e-06  8.3446e-07  2.6345e-05  9.1791e-06     0.10166  5.3644e-06      0.7305  0.00043943  9.5367e-07    0.000527  0.00094202  4.5299e-06  1.5497e-06  1.9073e-06  1.3471e-05  0.00043788  2.1458e-06  1.1921e-05  7.9867e-05  0.00047279           0      12.419  0.00035292
     0.04715  7.1526e-07  2.9325e-05  2.7418e-06   0.0025484   0.0021571  0.00030978  2.7656e-05      4.8855  6.4013e-05  4.4107e-06           0  8.3446e-07  2.6106e-05  2.0266e-06      3.7099  0.00015305  2.8848e-05  2.2053e-05  2.9921e-05   0.0010435      1.3679  3.5285e-05  0.00082506   0.0031353  0.00082375
   0.0016234  9.4175e-06  8.3446e-06  1.4305e-06  2.2769e-05  0.00023184  7.7486e-06  1.2994e-05      2.5438  0.00010859  0.00015317  2.5034e-06  0.00050079  8.3446e-07  4.0531e-06  0.00010347  0.00044717  4.2914e-05   0.0022314  1.3113e-06  0.00024602  2.5987e-05  0.00065043  2.3842e-07  2.3842e-06  0.00026759
  0.00024351  1.1206e-05   4.351e-05  0.00070011  3.5763e-07  1.5497e-05  0.00011467  2.5034e-06  0.00010621  8.7019e-05  3.4571e-06  2.5034e-06  3.7312e-05  4.4345e-05  4.3153e-05  2.5034e-06           0  3.6954e-05  7.1526e-07  3.4571e-06   0.0045152  0.00019966   4.351e-05  2.3842e-07  5.7934e-05  1.1563e-05
  6.1989e-06  4.2915e-06  2.3842e-07   6.306e-05    0.029966  0.00016307  3.2901e-05  1.2398e-05  9.1791e-06  0.00012683  7.8678e-06   0.0013832  4.5418e-05  0.00049043       14.37   0.0039723   0.0003553  8.2254e-06       3.376  9.8943e-06  3.2067e-05  8.3446e-06   0.0013035  1.4305e-06           0           0
  1.9908e-05  0.00040011  5.4836e-06  0.00020097   0.0003348           0           0   0.0017129  1.1921e-07  4.7684e-07           0           0  3.6955e-06  4.2915e-06  7.1526e-07   5.722e-06  3.1471e-05  9.5367e-07  9.5367e-07  0.00053987           0  5.2093e-05           0           0  2.6226e-06           0
    0.059826   0.0037229  2.3842e-05  3.5763e-07  1.1921e-06   2.265e-06  3.5763e-07  1.3113e-06  8.3446e-07  3.5524e-05  9.7747e-05  5.9604e-06           0  1.6093e-05  4.7684e-07           0  0.00014972  6.1989e-06           0  1.6689e-06      0.2123   2.265e-06    5.71e-05  5.9605e-07           0           0
  1.3113e-06           0  1.1802e-05  0.00011074      1.3102  3.5763e-06  3.2186e-06  0.00029965   0.0014233   0.0002372   0.0018377  2.7418e-06  0.00012337  0.00082876  0.00017451  0.00015818  2.3722e-05  0.00069951]"
0,ind,ClassOrderSampler,0.7202,"[ 0.00017475  4.7684e-07   0.0002111  7.6649e-05           0  0.00013219      2.5719      7.7655      5.2785  4.7087e-05  1.9789e-05  0.00070452   2.861e-06  1.9312e-05  0.00017796  7.4622e-05  0.00062184  1.4305e-06  7.9867e-05  4.4107e-06  7.6529e-05       12.45  7.8678e-06  0.00010597  0.00077778   0.0042164
  6.0797e-06  1.9312e-05   0.0025408  7.7006e-05  2.2769e-05  2.8967e-05      1.2996  0.00019834  0.00073299   0.0049999  8.3446e-07  2.1458e-06  7.2238e-05      0.5467  1.5259e-05  6.0797e-06   7.987e-06   5.722e-06    0.075731  6.0795e-05  6.2941e-05   0.0011804  3.0279e-05   0.0007779   0.0083565   1.061e-05
  2.3842e-06     0.20744   0.0007985  2.5034e-06   0.0070654  1.1921e-06  1.9073e-06  3.4809e-05           0  0.00085472  1.6928e-05  0.00048352   0.0081021  6.4729e-05     0.58309  0.00090427  1.5497e-06   0.0013028  9.2983e-06  1.1921e-05  9.5367e-07  0.00043573    0.001451  4.0531e-06  4.0769e-05  0.00012194
  2.1696e-05  6.2821e-05  1.3828e-05      7.5102  0.00076396      4.2702  0.00051104   0.0079065  5.4239e-05  2.6345e-05  0.00026163    0.060031  5.3404e-05  5.0068e-06   0.0067666  1.7524e-05  0.00018786  1.3351e-05  9.5363e-05  0.00011348     0.12122  1.1921e-07  0.00013362  0.00033016  0.00012159  2.3842e-06
  2.1934e-05   0.0014509  8.3324e-05  0.00029178           0  0.00042894  4.4107e-06  2.7656e-05  4.9947e-05  8.9407e-06  8.3446e-06  4.1007e-05  2.1934e-05  4.1007e-05       8.908  8.8688e-05  6.6757e-06  0.00039975   0.0062209      3.9912  1.1921e-06  1.5497e-05      2.6793     0.21722  0.00034207   2.861e-06
    0.003411   0.0001577   1.049e-05      1.4295  0.00050318  2.9802e-06  8.9407e-06  4.0531e-06   5.126e-06  3.5763e-07  0.00015997   7.796e-05  0.00041583  4.2915e-06  0.00016497     0.24142  0.00053511       3.189  0.00010609  1.3113e-06  6.0797e-06      0.8806  2.9802e-06      1.1485  0.00031764  1.6689e-06
   0.0012384  1.5497e-06   0.0029642  1.7881e-06  3.0636e-05  0.00013208   0.0020165      1.2888  3.3736e-05     0.17097  1.1563e-05  1.1921e-05  1.1921e-07  7.2715e-05      1.4702  3.9339e-06  1.3113e-05     0.56378  1.6689e-06  8.9407e-06   0.0001546      9.6563     0.23438  5.9605e-07  4.6014e-05  4.4107e-06
     0.23702      7.0183   0.0037837  8.3446e-07    0.033213  1.1921e-05  0.00059396  8.3446e-06  0.00017391  9.4171e-05  0.00019548  1.6689e-06  0.00013958  5.3285e-05  9.5367e-07  0.00013637  0.00060063  5.3285e-05]"
0,ind,ClassOrderSampler,0.9867,"[ 2.5272e-05      4.0256  1.4543e-05  0.00033647           0  8.6065e-05  3.9339e-06   0.0006633  4.7684e-07  0.00021622  4.7684e-07  7.2834e-05  8.8449e-05   0.0040036  0.00053844  1.1921e-07  1.4901e-05      3.3042  0.00014125  0.00012564  0.00029989  9.5367e-07  0.00011169  5.7696e-05  7.2717e-06  3.6001e-05
  0.00015675  0.00016807   0.0005836  8.9407e-06    0.000988  2.3842e-07  3.7431e-05  6.9141e-06   0.0015743      3.3673  4.7206e-05  9.6559e-06  7.6294e-06  0.00051866  5.6028e-06  1.0729e-06           0  9.8224e-05  6.5205e-05      5.0311  4.8279e-05   0.0002161   0.0010273   0.0011429    0.051966      5.9632
  5.2452e-06  5.6028e-06  1.7047e-05  4.7684e-07  3.1709e-05  0.00027259  6.5565e-06   0.0015271           0  1.3113e-06  2.3842e-07           0  5.8292e-05   8.583e-06           0  0.00045277  2.6226e-06   0.0014451  1.1921e-05  4.7684e-07           0           0  0.00015389  2.7418e-06  9.5367e-07      2.4432
  3.8147e-06    0.064137  1.1444e-05    0.046778    0.020141  1.3113e-06           0  6.0797e-06  0.00031717  8.1062e-06   0.0016605   0.0019349   5.722e-06    0.012134  1.6689e-06  6.3181e-06  2.0266e-06  6.9735e-05  1.5497e-06  6.7947e-05           0      4.1191  0.00020919  7.7486e-06  0.00077659  4.7684e-07
  0.00015448    0.001311  2.3842e-07  6.7947e-05  0.00013827  0.00036483  8.3446e-07     0.06401  7.0331e-05  1.5139e-05  4.2438e-05  0.00022218  0.00079672      2.0285  1.1921e-07  3.2186e-06  0.00010454      5.5602  0.00094083  4.2199e-05  1.1921e-05       2.005  0.00062208  0.00025376  9.5367e-07    0.018079
  2.9802e-06  2.3842e-07  3.8265e-05  0.00049472  6.5565e-06  0.00055036  3.0994e-05    0.011408   0.0069089  7.1526e-07  0.00014101  3.3974e-05  6.7949e-06     0.75653   0.0015686  2.0861e-05      5.6495  9.5367e-07  4.6014e-05  0.00064019    0.019103   6.604e-05     0.10759     0.53628      0.4075  5.6028e-06
   1.061e-05  1.5497e-05  6.8305e-05  0.00013506   0.0027637  7.9509e-05   0.0018617    0.001299  0.00022147     0.14556  0.00012814      7.9578           0      5.9768     1.8e-05      2.9849  0.00022266  7.0333e-06  7.3909e-06  1.6093e-05   0.0010554  1.6093e-05  1.5497e-05  2.3842e-07  9.2979e-05   1.049e-05
  0.00016521      5.2038  5.3644e-06           0  3.3379e-06           0  1.2159e-05  0.00016116  5.9604e-06  3.0279e-05   0.0057412  6.7949e-06  2.8133e-05  2.4199e-05  0.00048137  0.00018881  1.4543e-05     0.56599]"
0,ind,ClassOrderSampler,0.9506,"[  2.551e-05  7.2717e-06  0.00047744  0.00084579   0.0044554  3.9577e-05  7.0212e-05  4.3034e-05  1.3113e-06  7.1526e-07  2.3842e-07  2.3842e-07  6.9616e-05  3.5763e-07   0.0037068  0.00081506    0.017279  5.7696e-05   0.0019187  9.7032e-05     0.00019  1.2278e-05  5.5908e-05     0.16678  3.0994e-06  1.5497e-06
  1.0133e-05  3.9577e-05   0.0057644           0   0.0017663  2.0266e-06  9.5367e-07      1.0368    0.084938  4.4106e-05  1.1802e-05  3.0398e-05  0.00017963  1.4305e-06   0.0001428   0.0006739  8.1417e-05    0.003802  6.3181e-06  0.00053666  0.00070916  8.8214e-06  8.5112e-05  0.00023577  2.3842e-07      6.9583
  9.8943e-06   0.0011354  0.00047339  1.6689e-05           0  0.00019358  0.00042966  0.00016616      3.4981  0.00060826           0  0.00032682  7.1526e-07  0.00014995  5.2212e-05   0.0018614      0.1429  0.00014852  8.3446e-07   0.0038441  0.00019799  0.00029166  7.5457e-05  3.7669e-05      8.4233  9.9773e-05
  0.00018094  1.1921e-07   0.0018958  0.00013255  2.3842e-07  9.0595e-05           0   0.0013073  1.1921e-07  1.1921e-07  4.1603e-05  3.5166e-05  1.5974e-05  2.1458e-06  0.00048328  4.7684e-07      1.0839  0.00044729  1.7881e-06  2.2053e-05  6.7949e-06      3.8367     0.17679      1.5243      3.3733  0.00057002
  0.00029917  1.1325e-05  1.1921e-07  2.6226e-06  5.0901e-05  3.8147e-06  5.3644e-06   3.004e-05  1.4305e-05   0.0003671  9.0595e-05  1.1325e-05  1.1921e-07  5.3524e-05  2.3842e-07  1.1802e-05  6.9141e-06  0.00013267     0.11959  4.7684e-07  1.9193e-05      4.4225  2.0385e-05  0.00019846  2.1815e-05      0.1399
  0.00047541  9.6078e-05      4.8916      5.8382  3.7669e-05  3.8147e-06           0  3.2424e-05  0.00015818  4.2318e-05  1.0729e-06  0.00086246  1.3113e-06   0.0011178  1.9073e-06  0.00029297   0.0010773           0           0   0.0048875  1.1921e-07  5.9605e-07  5.2093e-05  0.00027688  2.5153e-05   0.0013113
  5.2452e-06  8.5589e-05  0.00017272  7.6294e-06  1.7166e-05  7.6294e-06           0           0  3.3616e-05   0.0020698    0.035065  7.4145e-05  0.00040785           0  3.5763e-06  4.5299e-06           0  7.7483e-05  1.5497e-06  7.8675e-05  2.3842e-07   0.0029318  7.1526e-07  6.8305e-05  4.7684e-07  8.3446e-06
  1.6212e-05  5.3644e-06  0.00066973  1.6212e-05  1.2159e-05     5.4e-05  7.2717e-06  1.1563e-05           0  1.0729e-05  6.8901e-05  6.8543e-05  1.1921e-07   0.0004946  9.2983e-06  2.3603e-05    0.033042  9.5367e-07]"
0,ind,ClassOrderSampler,0.2923,"[ 0.00017796  3.9934e-05   0.0001608  1.9431e-05      4.1186  0.00075467     0.10523   0.0041753  0.00015806     5.4e-05           0  4.1723e-06  0.00019525    0.004361  9.5367e-07   8.583e-06  0.00013994   0.0078731  2.0265e-05   2.861e-06           0  1.1921e-06  1.0967e-05  3.4451e-05   0.0003559  0.00011575
  1.5736e-05  3.5763e-07  6.5563e-05   1.359e-05  0.00025627  6.6757e-06   1.502e-05  4.9471e-05  3.5763e-07           0  2.4199e-05  4.1723e-06  8.2609e-05   0.0036608           0  1.9312e-05  2.3842e-07  0.00057407   0.0066316  4.7684e-07   4.661e-05  4.7684e-07  1.3351e-05  1.7881e-06  8.7022e-06  3.9815e-05
  0.00019739  1.4543e-05  2.3842e-07  0.00021217           0    0.024967  2.3842e-06  4.7684e-07      8.7431  3.3379e-06           0  0.00034553  2.2411e-05    0.010382  5.9605e-07  3.5763e-07  3.3379e-06  9.5367e-07  9.9296e-05  1.2278e-05  6.8185e-05           0      5.3444  1.0252e-05  7.1526e-07  3.9815e-05
  1.1921e-07   0.0021386      1.6328  3.5763e-06   0.0021805      6.3008  0.00061171  0.00039415  5.9605e-07  4.3987e-05   0.0012406  0.00012802  1.9073e-06           0           0           0   0.0018038  1.4424e-05           0   2.861e-06   9.584e-05   3.159e-05   0.0013814  2.3842e-06      3.1736      2.3102
  2.3842e-06  2.2769e-05      8.1726           0  0.00054559   0.0011411     0.21819  2.9802e-06  0.00038116  8.8214e-06  3.6001e-05  0.00033742  0.00011718           0      6.6797  2.7418e-06     0.25755      2.9297  5.4954e-05      1.2662  1.0729e-06  0.00021586  7.2717e-06           0  3.5763e-07  2.0623e-05
  4.1007e-05  0.00043776       7.154       6.796  2.9683e-05           0  0.00066675  2.1815e-05  2.1458e-06  9.7151e-05   0.0021268     0.88296  3.2186e-06  2.8491e-05           0  1.5497e-06  1.2994e-05     0.39998  1.4305e-06   0.0011757  0.00024685      7.4279  1.9193e-05  2.3842e-07     0.51124  2.3842e-06
     1.8e-05  4.1007e-05  5.4836e-06  4.8876e-06      3.8065  7.7483e-05  0.00010502           0  5.9604e-06  1.3113e-06  3.8027e-05   0.0006882      2.1934  0.00016211   0.0011813  1.9193e-05  1.0133e-05   2.861e-06  7.8675e-05  2.3842e-07  0.00013958  6.4848e-05  5.0068e-06  2.1815e-05  1.1921e-07  7.2717e-06
           0  4.0173e-05           0   2.253e-05  0.00017546      16.366     0.10791  0.00063721   0.0058935  2.5034e-06  0.00033266  2.5034e-06  1.2517e-05  3.6955e-06     0.13115  0.00065139  5.8412e-06    0.012636]"
0,ind,ClassOrderSampler,0.7394000000000001,"[ 9.6559e-06    0.000277  2.9802e-06  1.9073e-06  0.00015246  0.00039022  9.1791e-06      2.8841  0.00029989  8.3446e-07  2.7418e-06  4.6491e-05  6.7949e-06  5.2689e-05  5.9605e-07  0.00056299  1.1921e-07  1.1921e-07  6.0797e-06  0.00043061           0  2.3842e-07  6.5565e-06   0.0043178  2.1338e-05  2.3842e-05
  0.00056299           0           0  2.3842e-07  8.8926e-05  4.7684e-07  0.00030167     0.21697  3.0875e-05      8.3377  9.3456e-05  0.00011586  1.4901e-05  0.00054011   1.955e-05  3.5763e-07  8.3446e-07           0      0.4076  3.5763e-07  3.5763e-07  5.0663e-05   0.0051856  5.4836e-06  2.7775e-05  7.3549e-05
   5.126e-06  0.00015508  3.5763e-07  1.1444e-05           0  2.8014e-05  4.8876e-06   0.0001577  5.4835e-05  3.7312e-05  0.00067724  2.3842e-07      0.3324   0.0034047    0.021314  1.1921e-07  2.9802e-06      7.1786  1.1921e-07   0.0073943  2.5034e-06  0.00059003   0.0027862  0.00026938   1.502e-05  3.3736e-05
  7.5102e-06  5.6028e-06  1.3471e-05  6.4373e-06  9.2983e-06  0.00033635  4.2915e-06  2.4438e-05     0.30901  5.9007e-05  7.6294e-06  1.5378e-05      2.0753   0.0032818  2.5034e-06      0.3017  1.3947e-05    0.024259  3.0994e-06  0.00047708  7.1526e-07  2.9802e-06           0   0.0001198    0.011813  0.00033468
           0      1.8308  7.1526e-07  5.4954e-05  1.3947e-05   4.053e-05  3.9339e-06   0.0038481  6.7949e-06           0  0.00047756           0   6.151e-05  1.6689e-06  4.0531e-06  5.4596e-05  4.7684e-07  6.6278e-05           0  0.00016402   0.0010311  0.00051342   0.0015694  1.2755e-05  2.6226e-06    0.011631
  9.5367e-07  3.2424e-05  3.5763e-06  0.00080505  0.00068891  1.1325e-05  1.1921e-06  5.6028e-06  4.2915e-06  5.8888e-05  6.3894e-05  7.0212e-05  0.00023541  5.8768e-05  7.7486e-06  2.4199e-05  3.0398e-05  4.2915e-06  1.1921e-07  3.5763e-07  5.4836e-06  4.7684e-07   1.502e-05  1.1325e-05   6.902e-05  1.1921e-06
  8.0582e-05  1.4782e-05  3.5763e-06           0  3.0994e-06           0   0.0001012  9.2983e-06  0.00078278  5.9605e-07  7.2715e-05  1.6451e-05   0.0061641  2.3842e-07  6.6757e-06  3.4928e-05     0.48989  6.6757e-06      4.9689  1.1921e-06  0.00022862   0.0026717           0  5.6384e-05  0.00024423  4.7684e-06
  1.5497e-06  2.1338e-05  5.6027e-05  0.00016461  0.00053117   0.0013134      0.0358  0.00012159  1.5736e-05  1.8835e-05  0.00014781  3.5763e-07  2.0266e-06           0  0.00039999  1.1206e-05  3.8742e-05  1.1921e-07]"
