,fold,sampler,pvalue,loss
0,ind,ClassOrderSampler,1.486490285874368e-12,"[-1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1]"
0,ind,ClassOrderSampler,1.407274276481809e-09,"[-1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1]"
0,ind,ClassOrderSampler,2.8407622429537525e-14,"[-1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1]"
0,ind,ClassOrderSampler,1.0443679017920367e-14,"[-1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1]"
0,ind,ClassOrderSampler,8.31814041489991e-10,"[-1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1]"
0,ind,ClassOrderSampler,9.80318938260455e-10,"[-1, -1, -1, -1, -1, -1]"
0,ind,ClassOrderSampler,8.525920659793627e-08,[]
0,ind,ClassOrderSampler,2.118474682744474e-09,[]
0,ind,ClassOrderSampler,3.8885569085667465e-12,[]
0,ind,ClassOrderSampler,7.121235542474358e-12,[]
0,ind,ClassOrderSampler,5.190015260160221e-13,[]
0,ind,ClassOrderSampler,9.890972477695244e-14,[]
0,ind,ClassOrderSampler,1.3231271097488468e-09,[]
0,ind,ClassOrderSampler,6.208133019375018e-09,[]
0,ind,ClassOrderSampler,2.0408931238164643e-08,[]
0,ind,ClassOrderSampler,1.7163425592838733e-05,[]
0,ind,ClassOrderSampler,2.7719021053790393e-10,[]
0,ind,ClassOrderSampler,7.166667737820949e-19,[]
0,ind,ClassOrderSampler,4.143468521049888e-15,[]
0,ind,ClassOrderSampler,1.201498304886601e-13,[]
0,ind,ClassOrderSampler,7.522366171095959e-18,[]
0,ind,ClassOrderSampler,2.1906836356294562e-10,[]
0,ind,ClassOrderSampler,1.499328403174217e-16,[]
0,ind,ClassOrderSampler,1.341808195102969e-14,[]
0,ind,ClassOrderSampler,4.816242857523983e-12,[]
0,ind,ClassOrderSampler,1.8726046104030892e-12,[]
0,ind,ClassOrderSampler,5.23552885689637e-09,[]
0,ind,ClassOrderSampler,2.934110566396346e-17,[]
0,ind,ClassOrderSampler,9.28863458232676e-11,[]
0,ind,ClassOrderSampler,2.6496098401974824e-20,[]
0,ind,ClassOrderSampler,6.95774554446818e-09,[]
0,ind,ClassOrderSampler,7.243303373134948e-14,[]
0,ind,ClassOrderSampler,1.2063460338643473e-15,[]
0,ind,ClassOrderSampler,5.565967247844287e-07,[]
0,ind,ClassOrderSampler,7.108666406105646e-09,[]
0,ind,ClassOrderSampler,5.7601193560239026e-08,[]
0,ind,ClassOrderSampler,4.939443416857847e-10,[]
