,fold,sampler,pvalue,loss
0,ind,ClassOrderSampler,4.2644938918840676e-172,"[-1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1]"
0,ind,ClassOrderSampler,1.1691259504560548e-156,"[-1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1]"
0,ind,ClassOrderSampler,8.434537917383417e-120,[]
0,ind,ClassOrderSampler,8.709870358924623e-122,[]
0,ind,ClassOrderSampler,3.519854417267211e-138,[]
0,ind,ClassOrderSampler,5.5112316046803695e-191,[]
0,ind,ClassOrderSampler,1.0522088950399468e-82,[]
0,ind,ClassOrderSampler,6.739186229988174e-91,[]
0,ind,ClassOrderSampler,1.2169596566789392e-155,[]
0,ind,ClassOrderSampler,7.746983410832673e-100,[]
0,ind,ClassOrderSampler,2.4161548857554794e-179,[]
0,ind,ClassOrderSampler,6.368915942641734e-72,[]
0,ind,ClassOrderSampler,2.6615189368667956e-130,[]
0,ind,ClassOrderSampler,1.3838769874421637e-52,[]
0,ind,ClassOrderSampler,1.0879741020945546e-186,[]
0,ind,ClassOrderSampler,3.8052001926404545e-59,[]
0,ind,ClassOrderSampler,4.297700582133072e-05,[]
0,ind,ClassOrderSampler,6.485197420336719e-06,[]
0,ind,ClassOrderSampler,6.916768716215615e-08,[]
0,ind,ClassOrderSampler,5.5891829495873665e-05,[]
0,ind,ClassOrderSampler,0.0001719654615380812,[]
0,ind,ClassOrderSampler,0.00017196546153808235,[]
0,ind,ClassOrderSampler,2.1537491978192882e-05,[]
0,ind,ClassOrderSampler,2.8160296201454297e-06,[]
0,ind,ClassOrderSampler,1.3962919002190416e-06,[]
0,ind,ClassOrderSampler,7.608902880071291e-05,[]
0,ind,ClassOrderSampler,8.492866459651424e-05,[]
0,ind,ClassOrderSampler,2.4095336047938006e-06,[]
0,ind,ClassOrderSampler,9.359693748428782e-05,[]
0,ind,ClassOrderSampler,4.533004639552672e-06,[]
0,ind,ClassOrderSampler,3.0647765082469264e-06,[]
0,ind,ClassOrderSampler,0.00027335737375912413,[]
0,ind,ClassOrderSampler,2.8614351905690474e-05,[]
0,ind,ClassOrderSampler,2.478977016309521e-06,[]
0,ind,ClassOrderSampler,1.043152263919205e-06,[]
0,ind,ClassOrderSampler,8.744522562651016e-07,[]
0,ind,ClassOrderSampler,5.134253518634567e-06,[]
0,ind,ClassOrderSampler,7.233258617596371e-06,[]
0,ind,ClassOrderSampler,1.966089108205305e-05,[]
0,ind,ClassOrderSampler,0.0017509528801530224,[]
0,ind,ClassOrderSampler,8.745756409214236e-06,[]
0,ind,ClassOrderSampler,2.5816555901301907e-05,[]
0,ind,ClassOrderSampler,1.0418249691358123e-05,[]
0,ind,ClassOrderSampler,0.00015651652488058023,[]
0,ind,ClassOrderSampler,0.00027335737375912413,[]
0,ind,ClassOrderSampler,1.3563532760690484e-06,[]
0,ind,ClassOrderSampler,8.492866459651424e-05,[]
0,ind,ClassOrderSampler,2.268543644401593e-05,[]
0,ind,ClassOrderSampler,9.13543701462743e-05,[]
0,ind,ClassOrderSampler,6.4851974203368215e-06,[]
0,ind,ClassOrderSampler,1.915410116244406e-05,[]
1,ind,ClusterSampler,6.8239199160727e-165,"[-1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1]"
1,ind,ClusterSampler,2.8162017629249765e-168,"[-1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1]"
1,ind,ClusterSampler,6.768551933118165e-52,[]
1,ind,ClusterSampler,7.808590065763284e-132,[]
1,ind,ClusterSampler,7.26827321412202e-122,[]
