,fold,sampler,pvalue,loss
0,ind,ClassOrderSampler,0.02656919393085357,"[-1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1]"
0,ind,ClassOrderSampler,0.06754347653471299,"[-1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1]"
0,ind,ClassOrderSampler,0.02510240807915261,"[-1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1]"
0,ind,ClassOrderSampler,0.0022714156868216488,"[-1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1]"
0,ind,ClassOrderSampler,0.07873450913042568,[]
0,ind,ClassOrderSampler,0.09865750257713381,[]
0,ind,ClassOrderSampler,0.21411290480732717,[]
0,ind,ClassOrderSampler,0.10983988737541958,[]
0,ind,ClassOrderSampler,0.003806892749250651,[]
0,ind,ClassOrderSampler,0.004420763389056067,[]
0,ind,ClassOrderSampler,0.009432379684980119,[]
0,ind,ClassOrderSampler,0.03912446374322982,[]
0,ind,ClassOrderSampler,0.20226067943861886,[]
0,ind,ClassOrderSampler,0.34887432058895645,[]
0,ind,ClassOrderSampler,0.8065181411083002,[]
0,ind,ClassOrderSampler,0.26888368774413707,[]
0,ind,ClassOrderSampler,4.060823362801241e-05,[]
0,ind,ClassOrderSampler,0.04084581529498121,[]
0,ind,ClassOrderSampler,0.003993153249471489,[]
0,ind,ClassOrderSampler,0.0012322238908532936,[]
0,ind,ClassOrderSampler,0.012872165816987089,[]
0,ind,ClassOrderSampler,0.0003864375943972879,[]
0,ind,ClassOrderSampler,2.3209426493398128e-05,[]
0,ind,ClassOrderSampler,0.35010393113422345,[]
0,ind,ClassOrderSampler,0.00018328809384097976,[]
0,ind,ClassOrderSampler,0.001101596602113478,[]
0,ind,ClassOrderSampler,5.802998042471766e-07,[]
0,ind,ClassOrderSampler,0.011169863836832924,[]
0,ind,ClassOrderSampler,0.31217207700593913,[]
0,ind,ClassOrderSampler,0.012030878921445963,[]
0,ind,ClassOrderSampler,0.07170383281960074,[]
0,ind,ClassOrderSampler,0.5337891606669154,[]
0,ind,ClassOrderSampler,0.787358626496966,[]
0,ind,ClassOrderSampler,0.6049212380915694,[]
0,ind,ClassOrderSampler,0.0016664741186309619,[]
0,ind,ClassOrderSampler,0.48369235007550904,[]
0,ind,ClassOrderSampler,0.4851780611861962,[]
0,ind,ClassOrderSampler,0.7933118355858491,[]
0,ind,ClassOrderSampler,0.49864526469918435,[]
0,ind,ClassOrderSampler,0.44443766980130894,[]
0,ind,ClassOrderSampler,0.19652721734643777,[]
0,ind,ClassOrderSampler,0.49714054812673103,[]
0,ind,ClassOrderSampler,0.825085037242225,[]
0,ind,ClassOrderSampler,0.48072746553774703,[]
0,ind,ClassOrderSampler,0.9050788468486277,[]
0,ind,ClassOrderSampler,0.9061493576107806,[]
0,ind,ClassOrderSampler,0.14848215010210009,[]
0,ind,ClassOrderSampler,0.8951708702147531,[]
0,ind,ClassOrderSampler,0.24894469529435503,[]
0,ind,ClassOrderSampler,0.7977437432554427,[]
0,ind,ClassOrderSampler,0.8549180352669007,[]
0,ind,ClassOrderSampler,0.4631261573812321,[]
0,ind,ClassOrderSampler,0.6840070702141123,[]
0,ind,ClassOrderSampler,0.366346069963499,[]
0,ind,ClassOrderSampler,0.34887432058895645,[]
0,ind,ClassOrderSampler,0.15044028977586196,[]
0,ind,ClassOrderSampler,0.8278834416884779,[]
0,ind,ClassOrderSampler,0.8639382965073785,[]
0,ind,ClassOrderSampler,0.17263740974458539,[]
0,ind,ClassOrderSampler,0.9114089277475339,[]
0,ind,ClassOrderSampler,0.8278834416884779,[]
0,ind,ClassOrderSampler,0.019810155193427225,[]
0,ind,ClassOrderSampler,0.3740024840969766,[]
0,ind,ClassOrderSampler,0.9506819259230994,[]
0,ind,ClassOrderSampler,0.8613859711610117,[]
0,ind,ClassOrderSampler,0.024817794155161423,[]
0,ind,ClassOrderSampler,0.4501446459756131,[]
0,ind,ClassOrderSampler,0.6097413974899832,[]
0,ind,ClassOrderSampler,0.6033160278957859,[]
0,ind,ClassOrderSampler,0.29981103378483503,[]
0,ind,ClassOrderSampler,0.9395859639413313,[]
0,ind,ClassOrderSampler,0.09499681976810227,[]
0,ind,ClassOrderSampler,0.1452640747097648,[]
0,ind,ClassOrderSampler,0.6597895659496937,[]
0,ind,ClassOrderSampler,0.49714054812673103,[]
0,ind,ClassOrderSampler,0.20392225789871718,[]
0,ind,ClassOrderSampler,0.7947923458761783,[]
0,ind,ClassOrderSampler,0.16757311377887882,[]
0,ind,ClassOrderSampler,0.772271032163935,[]
0,ind,ClassOrderSampler,0.018570862567163168,[]
0,ind,ClassOrderSampler,0.46312615738123086,[]
0,ind,ClassOrderSampler,0.11396647784984938,[]
0,ind,ClassOrderSampler,0.8664702863014478,[]
0,ind,ClassOrderSampler,0.7271748715668824,[]
0,ind,ClassOrderSampler,0.736640291710705,[]
0,ind,ClassOrderSampler,0.747603146146226,[]
0,ind,ClassOrderSampler,0.6210116858100151,[]
0,ind,ClassOrderSampler,0.48220881412704464,[]
0,ind,ClassOrderSampler,0.5969033768563073,[]
0,ind,ClassOrderSampler,0.2617769564043434,[]
0,ind,ClassOrderSampler,0.5825291992933866,[]
0,ind,ClassOrderSampler,0.037061905957976427,[]
0,ind,ClassOrderSampler,0.023843992008961108,[]
0,ind,ClassOrderSampler,0.897414683400551,[]
0,ind,ClassOrderSampler,0.37271944323598044,[]
0,ind,ClassOrderSampler,0.9412522703597896,[]
0,ind,ClassOrderSampler,0.4896481215243743,[]
0,ind,ClassOrderSampler,0.6630227208075599,[]
0,ind,ClassOrderSampler,0.2771757254710216,[]
0,ind,ClassOrderSampler,0.251863957108577,[]
0,ind,ClassOrderSampler,0.09145002882603594,[]
0,ind,ClassOrderSampler,0.7992145523393157,[]
0,ind,ClassOrderSampler,0.6420029760468828,[]
1,ind,ClusterSampler,1.2505968534943902e-09,"[-1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1]"
1,ind,ClusterSampler,1.565593714356464e-05,"[-1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1]"
1,ind,ClusterSampler,0.021122515206959482,"[-1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1]"
1,ind,ClusterSampler,1.1923926202031975e-11,"[-1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1]"
1,ind,ClusterSampler,1.5355321271705369e-06,[]
1,ind,ClusterSampler,0.012105260398173997,[]
1,ind,ClusterSampler,0.5857163782208441,[]
1,ind,ClusterSampler,0.007642737519727772,[]
1,ind,ClusterSampler,2.9687650118479086e-17,[]
1,ind,ClusterSampler,0.010495244919354873,[]
1,ind,ClusterSampler,5.558286149319778e-07,[]
1,ind,ClusterSampler,1.6428871199453998e-12,[]
1,ind,ClusterSampler,6.54021874162755e-17,[]
1,ind,ClusterSampler,0.05021264548726299,[]
1,ind,ClusterSampler,0.015165652445588235,[]
1,ind,ClusterSampler,2.6765758007392816e-13,[]
1,ind,ClusterSampler,2.6247610850994786e-37,[]
1,ind,ClusterSampler,7.877499645023588e-09,[]
1,ind,ClusterSampler,4.1090706795455027e-10,[]
1,ind,ClusterSampler,0.0008324737017594242,[]
1,ind,ClusterSampler,1.8327915194017286e-21,[]
1,ind,ClusterSampler,0.1024346690059868,[]
1,ind,ClusterSampler,1.8345303794047357e-46,[]
1,ind,ClusterSampler,8.13671902021361e-18,[]
1,ind,ClusterSampler,0.00017576403905274386,[]
1,ind,ClusterSampler,0.00016995588302868629,[]
1,ind,ClusterSampler,0.014715139456316336,[]
1,ind,ClusterSampler,0.014276661575207026,[]
1,ind,ClusterSampler,9.503260651237509e-17,[]
1,ind,ClusterSampler,0.1571171932210638,[]
1,ind,ClusterSampler,2.8339149117436474e-08,[]
1,ind,ClusterSampler,7.397393566993358e-06,[]
1,ind,ClusterSampler,0.0009121703412903236,[]
1,ind,ClusterSampler,0.18466558848569212,[]
1,ind,ClusterSampler,0.01740115761266583,[]
1,ind,ClusterSampler,0.0011098869379716906,[]
1,ind,ClusterSampler,0.0023536206199101153,[]
1,ind,ClusterSampler,0.0057362497169799334,[]
1,ind,ClusterSampler,0.0589276948041655,[]
1,ind,ClusterSampler,0.3427688838066226,[]
1,ind,ClusterSampler,0.029897783427694207,[]
1,ind,ClusterSampler,0.33077180535810313,[]
1,ind,ClusterSampler,0.0005436293175562388,[]
1,ind,ClusterSampler,9.744819986392702e-12,[]
1,ind,ClusterSampler,2.1124066837882422e-11,[]
1,ind,ClusterSampler,0.2567853516965075,[]
1,ind,ClusterSampler,1.4473924270340078e-25,[]
1,ind,ClusterSampler,0.005967739232405456,[]
1,ind,ClusterSampler,3.7440359607794565e-10,[]
1,ind,ClusterSampler,0.654938802847618,[]
1,ind,ClusterSampler,4.6540135863334544e-24,[]
1,ind,ClusterSampler,0.0015154119414257055,[]
1,ind,ClusterSampler,2.871108969123008e-22,[]
1,ind,ClusterSampler,0.18312717876304058,[]
1,ind,ClusterSampler,9.744819986392702e-12,[]
1,ind,ClusterSampler,2.916242619164064e-47,[]
1,ind,ClusterSampler,0.0005479147468548954,[]
1,ind,ClusterSampler,1.4577143012973983e-06,[]
1,ind,ClusterSampler,0.2098205187704176,[]
1,ind,ClusterSampler,0.0030741361936469326,[]
1,ind,ClusterSampler,3.930294197493404e-09,[]
1,ind,ClusterSampler,1.7722433684574842e-07,[]
1,ind,ClusterSampler,0.00010639570607635927,[]
