,fold,sampler,pvalue,loss
0,ind,ClassOrderSampler,0.02883503827570163,"[-1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1]"
0,ind,ClassOrderSampler,0.007237544452751682,"[-1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1]"
0,ind,ClassOrderSampler,0.07143654944636102,[]
0,ind,ClassOrderSampler,0.014808406583149046,[]
0,ind,ClassOrderSampler,0.06494022920568901,[]
0,ind,ClassOrderSampler,0.29276334392933195,[]
0,ind,ClassOrderSampler,0.4096511590164736,[]
0,ind,ClassOrderSampler,0.20159374291934457,[]
0,ind,ClassOrderSampler,0.46332194800902726,[]
0,ind,ClassOrderSampler,0.20159374291934457,[]
0,ind,ClassOrderSampler,0.1340215826761443,[]
0,ind,ClassOrderSampler,0.09431637171212964,[]
0,ind,ClassOrderSampler,0.035614712633158394,[]
0,ind,ClassOrderSampler,0.20159374291934457,[]
0,ind,ClassOrderSampler,0.09431637171212964,[]
0,ind,ClassOrderSampler,0.10318684944381334,[]
0,ind,ClassOrderSampler,0.06494022920568901,[]
0,ind,ClassOrderSampler,0.005638388773359207,[]
0,ind,ClassOrderSampler,0.035614712633158394,[]
0,ind,ClassOrderSampler,0.06494022920568901,[]
0,ind,ClassOrderSampler,0.1340215826761443,[]
0,ind,ClassOrderSampler,0.09431637171212964,[]
0,ind,ClassOrderSampler,0.10318684944381334,[]
0,ind,ClassOrderSampler,0.032068017514261284,[]
0,ind,ClassOrderSampler,0.006392541507766507,[]
0,ind,ClassOrderSampler,0.12300392451700602,[]
0,ind,ClassOrderSampler,0.10318684944381334,[]
0,ind,ClassOrderSampler,0.04374847081530197,[]
0,ind,ClassOrderSampler,0.08609088756628817,[]
0,ind,ClassOrderSampler,0.1584517677860415,[]
0,ind,ClassOrderSampler,0.05344703231951623,[]
0,ind,ClassOrderSampler,0.1458258918637001,[]
0,ind,ClassOrderSampler,0.06494022920568901,[]
0,ind,ClassOrderSampler,0.09431637171212964,[]
0,ind,ClassOrderSampler,0.4096511590164736,[]
0,ind,ClassOrderSampler,0.112737534770601,[]
0,ind,ClassOrderSampler,0.05344703231951623,[]
0,ind,ClassOrderSampler,0.09431637171212964,[]
0,ind,ClassOrderSampler,0.07143654944636102,[]
0,ind,ClassOrderSampler,0.1584517677860415,[]
0,ind,ClassOrderSampler,0.18630353783178355,[]
0,ind,ClassOrderSampler,0.253263298639521,[]
0,ind,ClassOrderSampler,0.3364257003845413,[]
0,ind,ClassOrderSampler,0.09431637171212964,[]
0,ind,ClassOrderSampler,0.253263298639521,[]
0,ind,ClassOrderSampler,0.07143654944636102,[]
0,ind,ClassOrderSampler,0.05895422140436825,[]
0,ind,ClassOrderSampler,0.020791997193519672,[]
0,ind,ClassOrderSampler,0.20159374291934457,[]
1,ind,ClusterSampler,0.014808406583149046,"[-1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1]"
1,ind,ClusterSampler,0.0022524542887572296,"[-1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1]"
1,ind,ClusterSampler,0.008182925625578114,[]
1,ind,ClusterSampler,0.07143654944636102,[]
1,ind,ClusterSampler,0.08609088756628817,[]
1,ind,ClusterSampler,0.020791997193519672,[]
1,ind,ClusterSampler,0.05344703231951623,[]
1,ind,ClusterSampler,0.016604826009144452,[]
1,ind,ClusterSampler,0.039499619549488454,[]
1,ind,ClusterSampler,0.010417041646170072,[]
1,ind,ClusterSampler,0.07847565209171033,[]
1,ind,ClusterSampler,0.05895422140436825,[]
1,ind,ClusterSampler,0.011729077340633958,[]
1,ind,ClusterSampler,0.04374847081530197,[]
1,ind,ClusterSampler,0.07847565209171033,[]
1,ind,ClusterSampler,0.09431637171212964,[]
1,ind,ClusterSampler,0.025892518939781218,[]
1,ind,ClusterSampler,0.025892518939781218,[]
1,ind,ClusterSampler,0.039499619549488454,[]
1,ind,ClusterSampler,0.0009715963032051572,[]
1,ind,ClusterSampler,0.002948022173855442,[]
1,ind,ClusterSampler,0.007237544452751682,[]
1,ind,ClusterSampler,0.002948022173855442,[]
1,ind,ClusterSampler,0.006392541507766507,[]
1,ind,ClusterSampler,0.04374847081530197,[]
1,ind,ClusterSampler,0.05344703231951623,[]
1,ind,ClusterSampler,0.013188183980475807,[]
1,ind,ClusterSampler,0.014808406583149046,[]
1,ind,ClusterSampler,0.035614712633158394,[]
1,ind,ClusterSampler,0.018593599293376836,[]
1,ind,ClusterSampler,0.04374847081530197,[]
1,ind,ClusterSampler,0.00015532540010352797,[]
1,ind,ClusterSampler,0.011729077340633958,[]
1,ind,ClusterSampler,0.06494022920568901,[]
1,ind,ClusterSampler,0.09431637171212964,[]
1,ind,ClusterSampler,0.005638388773359207,[]
1,ind,ClusterSampler,0.09431637171212964,[]
1,ind,ClusterSampler,0.011729077340633958,[]
